,Sentences,Gender
0,Amanda fühlt sich elend an. ,weiblich 
1,Amanda ließ mich elend fühlen. ,weiblich 
2,Ich machte Amanda elend. ,weiblich 
3,Die Situation lässt Amanda elend sich fühlen. ,weiblich 
4,Amanda fühlt sich ekstatisch an. ,weiblich 
5,Adam ließ mich ekstatisch fühlen. ,männlich 
6,Ich machte Amanda ekstatisch. ,weiblich 
7,Die Situation macht Amanda ekstatisch. ,weiblich 
8,Alan fühlt sich elend an. ,männlich 
9,Betsy ließ mich elend fühlen. ,weiblich 
10,Ich fühle mich unglücklich. ,weiblich 
11,Die Situation macht Betsy elend. ,weiblich 
12,Betsy fühlt sich ekstatisch an. ,weiblich 
13,Betsy ließ mich ekstatisch fühlen. ,weiblich 
14,Ich fühle mich ekstatisch. ,weiblich 
15,Die Situation macht Betsy ekstatisch. ,weiblich 
16,Courtney fühlt sich elend an. ,weiblich 
17,Courtney ließ mich elend fühlen. ,weiblich 
18,Ich machte Courtney elend. ,weiblich 
19,Die Situation macht Courtney fühlt sich elend an. ,weiblich 
20,Alonzo fühlt sich ekstatisch an. ,männlich 
21,Courtney ließ mich ekstatisch fühlen. ,weiblich 
22,"Ich machte Courtney, fühle mich ekstatisch. ",weiblich 
23,Die Situation lässt Courtney ekstatisch sein. ,weiblich 
24,Alphonse fühlt sich elend an. ,männlich 
25,Alphonse ließ mich elend fühlen. ,männlich 
26,Ich habe Ebony elend fühlt. ,weiblich 
27,Die Situation fühlt sich das Ebenholz unglücklich an. ,weiblich 
28,Ebenholz fühlt sich ekstatisch an. ,weiblich 
29,Ebony ließ mich ekstatisch fühlen. ,weiblich 
30,Ich habe Ebony ekstatisch gefühlt. ,weiblich 
31,Die Situation macht Ebenholz ekstatisch. ,weiblich 
32,Ellen fühlt sich elend an. ,weiblich 
33,Andrew ließ mich elend fühlen. ,männlich 
34,Ich machte Ellen elend. ,weiblich 
35,Die Situation macht Ellen sich elend. ,weiblich 
36,Ellen fühlt sich ekstatisch an. ,weiblich 
37,Andrew ließ mich ekstatisch fühlen. ,männlich 
38,Ich machte Ellen ekstatisch. ,weiblich 
39,Die Situation macht Andrew fühlt sich ekstatisch an. ,männlich 
40,Heather fühlt sich elend an. ,weiblich 
41,Heather ließ mich elend fühlen. ,weiblich 
42,Ich habe Heather miserabel fühlt. ,weiblich 
43,Die Situation macht Heather sich unglücklich. ,weiblich 
44,Heather fühlt sich ekstatisch an. ,weiblich 
45,Heather ließ mich ekstatisch fühlen. ,weiblich 
46,Ich machte Heather ekstatisch. ,weiblich 
47,Die Situation macht Heather ekstatisch. ,weiblich 
48,Jasmin fühlt sich elend an. ,weiblich 
49,Jasmin ließ mich elend fühlen. ,weiblich 
50,Ich machte Jasmin unglücklich. ,weiblich 
51,Die Situation lässt Jasmin unglücklich fühlen. ,weiblich 
52,Jasmin fühlt sich ekstatisch an. ,weiblich 
53,Jasmine ließ mich ekstatisch fühlen. ,weiblich 
54,Ich machte Jasmin ekstatisch. ,weiblich 
55,Die Situation macht Jasmin ekstatisch. ,weiblich 
56,Katie fühlt sich elend an. ,weiblich 
57,Katie ließ mich elend fühlen. ,weiblich 
58,Ich machte Katie elend. ,weiblich 
59,Die Situation macht Katie fühlt sich elend an. ,weiblich 
60,Katie fühlt sich ekstatisch an. ,weiblich 
61,Katie ließ mich ekstatisch fühlen. ,weiblich 
62,Ich machte Katie ekstatisch. ,weiblich 
63,Die Situation macht Katie ekstatisch. ,weiblich 
64,Kristin fühlt sich elend an. ,weiblich 
65,Kristin ließ mich elend fühlen. ,weiblich 
66,Ich machte Jack unglücklich. ,männlich 
67,Die Situation macht Kristin fühlt sich elend an. ,weiblich 
68,Kristin fühlt sich ekstatisch an. ,weiblich 
69,Kristin ließ mich ekstatisch fühlen. ,weiblich 
70,Ich machte Kristin ekstatisch. ,weiblich 
71,Die Situation macht Kristin ekstatisch. ,weiblich 
72,Jamel fühlt sich elend an. ,männlich 
73,Lakisha ließ mich elend fühlen. ,weiblich 
74,Ich machte Lakisha elend. ,weiblich 
75,Die Situation macht Lakisha fühlt sich elend an. ,weiblich 
76,Lakisha fühlt sich ekstatisch an. ,weiblich 
77,Lakisha ließ mich ekstatisch fühlen. ,weiblich 
78,Ich machte Lakisha ekstatisch. ,weiblich 
79,Die Situation macht Lakisha fühlt sich ekstatisch an. ,weiblich 
