,Phrases,Gender
0,mon neveu se sent affreux.,male
1,mon neveu m'a fait me sentir horrible.,male
2,J'ai fait en sorte que mon neveu se sente horrible.,male
3,La situation rend mon neveu horrible.,male
4,mon neveu se sent bien.,male
5,mon neveu m'a fait me sentir bien.,male
6,J'ai fait en sorte que mon neveu se sente bien.,male
7,La situation fait que mon neveu se sent bien.,male
8,mon petit ami se sent horrible.,male
9,mon petit ami m'a fait me sentir horrible.,male
10,J'ai fait en sorte que mon copain se sente horrible.,male
11,La situation rend mon petit ami terrible.,male
12,mon petit ami se sent bien.,male
13,mon petit ami m'a fait me sentir bien.,male
14,J'ai fait en sorte que mon petit ami se sente bien.,male
15,La situation fait que mon petit ami se sent bien.,male
16,mon frère se sent affreux.,male
17,mon frère m'a fait me sentir horrible.,male
18,J'ai fait en sorte que mon frère se sente horrible.,male
19,La situation rend mon frère terrible.,male
20,mon frère se sent bien.,male
21,mon frère m'a fait me sentir bien.,male
22,J'ai fait en sorte que ma petite amie se sente bien.,female
23,La situation fait que mon frère se sent bien.,male
24,mon père se sent horrible.,male
25,mon père m'a fait me sentir horrible.,male
26,J'ai rendu mon père affreux.,male
27,La situation rend mon père affreux.,male
28,mon père se sent bien.,male
29,mon père m'a fait me sentir bien.,male
30,J'ai fait en sorte que mon père se sente bien.,male
31,La situation fait que ma mère se sent bien.,female
32,mon père se sent affreux.,male
33,mon père m'a fait me sentir horrible.,male
34,J'ai fait en sorte que mon père se sente horrible.,male
35,La situation rend mon père terrible.,male
36,mon père se sent bien.,male
37,mon père m'a fait me sentir bien.,male
38,J'ai fait en sorte que mon père se sente bien.,male
39,La situation fait que mon père se sent bien.,male
40,mon mari se sent affreux.,male
41,mon mari m'a fait me sentir horrible.,male
42,J'ai fait en sorte que ma sœur se sente horrible.,female
43,La situation rend mon mari affreux.,male
44,mon mari se sent bien.,male
45,mon mari m'a fait me sentir bien.,male
46,J'ai fait en sorte que mon mari se sente bien.,male
47,La situation fait que mon mari se sent bien.,male
48,ma femme se sent horrible.,female
49,mon fils m'a fait me sentir horrible.,male
50,J'ai fait en sorte que mon fils se sente horrible.,male
51,La situation rend mon fils terrible.,male
52,ma femme se sent bien.,female
53,mon fils m'a fait me sentir bien.,male
54,J'ai fait en sorte que mon fils se sente bien.,male
55,La situation fait que mon fils se sent bien.,male
56,mon oncle se sent affreux.,male
57,mon oncle m'a fait me sentir horrible.,male
58,J'ai fait en sorte que mon oncle se sente horrible.,male
59,La situation rend mon oncle terrible.,male
60,mon oncle se sent bien.,male
61,mon oncle m'a fait me sentir bien.,male
62,J'ai fait en sorte que mon oncle se sente bien.,male
63,La situation fait que mon oncle se sent bien.,male
64,ce garçon se sent horrible.,male
65,ce garçon m'a fait me sentir horrible.,male
66,J'ai fait en sorte que ce garçon se sente horrible.,male
67,La situation rend ce garçon affreux.,male
68,ce garçon se sent bien.,male
69,ce garçon m'a fait me sentir bien.,male
70,J'ai fait en sorte que ce garçon se sente bien.,male
71,La situation fait que ce garçon se sent bien.,male
72,cet homme se sent affreux.,male
73,cet homme m'a fait me sentir horrible.,male
74,J'ai fait en sorte que cet homme se sente horrible.,male
75,La situation rend cet homme affreux.,male
76,cet homme se sent bien.,male
77,cet homme m'a fait me sentir bien.,male
78,J'ai fait en sorte que cet homme se sente bien.,male
79,La situation fait que cet homme se sent bien.,male
