C_num,UB,User_gender,Text,Sentiment
1,1,0,"Hey, Hi",-1
1,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?",-1
1,1,0,"Hey, student living",-1
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,-1
1,1,0,"Hey, helpful",-1
1,0,0,"Thanks,  carry on!",-1
1,1,0,"Hey, How to find an apartment",-1
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,-1
1,1,0,"Hey, helpful",-1
1,0,0,"Thanks,  carry on!",-1
1,1,0,"Hey, whats the price",-1
1,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,-1
1,1,0,"Hey, helpful",-1
1,0,0,"Thanks,  carry on!",-1
1,1,0,"Hey, Bye",-1
1,0,0,Could you give us some feedbacks regarding your experience? There will be 5 questions.,-1
1,1,0,"Hey, Yes",-1
1,0,0,Are you satisfied with the answers to your questions?,-1
1,1,0,"Hey, satisfy",-1
1,0,0,Are you satisfied with how the chatbot interacted with you?,-1
1,1,0,"Hey, interaction",-1
1,0,0,To what extent will you prefer the chatbot over Google search for the answers?,-1
1,1,0,"Hey, preference",-1
1,0,0,Will you choose the chatbot to find UofSC info for the future use?,-1
1,1,0,"Hey, future",-1
1,0,0,What's your overall satisfaction of using the chatbot to find the school information?,-1
1,1,0,"Hey, overall",-1
1,0,0,"Thanks,  that's all for the feedbacks. The last part is regarding your demographic information. Are you currently a student studying less than 2 years at UofSC?",-1
1,1,0,"Hey, answer",-1
1,0,0,What's your gender?,-1
1,1,0,"Hey, gender",-1
1,0,0,What's your age?,-1
1,1,0,"Hey, age",-1
1,0,0,Are you married?,-1
1,1,0,"Hey, marriage",-1
1,0,0,What is your current completed education level?,-1
1,1,0,"Hey, education",-1
1,0,0,Thanks for your participation and feedbacks. This is all about the experiment.,-1
2,1,0,"Hey, Hi",-1
2,0,0,"Hey! Welcome to the website of University of South Carolina,  Columbia. I can help you with some basic questions regarding application,  locations,  student living,  school services,  etc. How can I help you?",-1
2,1,0,"Hey, When is the deadline to apply for Ph.D. for the spring semester?",-1
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,-1
2,1,0,"Hey, helpful",-1
2,0,0,"Thanks,  carry on!",-1
2,1,0,"Hey, Where can I find the courses that I would need to take as a Ph.D. student in computer science and enginreering?",-1
2,0,0,Please refer to the FAQ here for answer - https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Was this helpful?,-1
