C_num,UB,User_gender,Text,Sentiment
1,1,0,hey hi,0.56
1,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-0.85
1,1,0,hey student life,-0.28
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-0.47
1,1,0,"hey, useful",-0.58
1,0,0,"Thanks, keep going!",-0.9
1,1,0,"Hey, how to find an apartment?",-0.65
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.62
1,1,0,"hey, useful",-0.66
1,0,0,"Thanks, keep going!",0.52
1,1,0,Hello. What's the price,0.9
1,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-0.78
1,1,0,"hey, useful",0.96
1,0,0,"Thanks, keep going!",-0.21
1,1,0,Hello Goodbye,-0.32
1,0,0,Could you give us some feedback on your experience? There will be 5 questions.,0.6
1,1,0,Hi Yes,0.59
1,0,0,Are you satisfied with the answers to your questions?,-0.73
1,1,0,"Hey, satisfy",-0.27
1,0,0,Are you satisfied with the way the chatbot interacted with you?,0.47
1,1,0,"hey, interaction",0.31
1,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-0.19
1,1,0,hi preference,0.98
1,0,0,Will you choose the chatbot to find UofSC information for future use?,0.73
1,1,0,hello future,-0.73
1,0,0,What is your overall satisfaction from using the chatbot to find school information?,-0.75
1,1,0,"hello, generally",0.96
1,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",-0.43
1,1,0,hear answers,0.56
1,0,0,What is your gender?,-0.78
1,1,0,hey gender,0.13
1,0,0,How old are you?,0.9
1,1,0,hey age,0.37
1,0,0,Is married?,0.69
1,1,0,hello marriage,0.78
1,0,0,What is your current completed education level?,-0.34
1,1,0,"hey, education",-0.3
1,0,0,Thank you for your participation and comments. This is all about the experiment.,-0.52
2,1,0,hey hi,-0.29
2,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",0.95
2,1,0,"Hey, when is the deadline to apply for PhD? for the spring semester?",0.64
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.49
2,1,0,"hey, useful",-0.32
2,0,0,"Thanks, keep going!",-0.89
2,1,0,"Hey, where can I find the courses I would need to take as a PhD? computer science and engineering student",-0.11
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-0.61
2,1,0,"hey, useful",0.31
2,0,0,"Thanks, keep going!",0.97
2,1,0,"Hey, when is spring break this year?",0.22
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-0.76
2,1,0,"hey, useful",0.86
2,0,0,"Thanks, keep going!",-0.09
2,1,0,"Hey, is there a service to help me (a student) find a place to live in Columbia?",0.79
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.67
2,1,0,"hey, useful",-0.59
2,0,0,"Thanks, keep going!",-0.08
2,1,0,"Hey, how many credits does a master's student need to take per semester?",0.08
2,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-0.42
2,1,0,"hey, useful",0.65
2,0,0,"Thanks, keep going!",-0.67
2,1,0,Hello Goodbye,-0.39
2,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-0.52
2,1,0,Hi Yes,-0.57
2,0,0,Are you satisfied with the answers to your questions?,-0.18
2,1,0,"Hey, satisfy",-0.92
2,0,0,Are you satisfied with the way the chatbot interacted with you?,0.56
2,1,0,"hey, interaction",0.94
2,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-0.16
2,1,0,hi preference,-0.72
2,0,0,Will you choose the chatbot to find UofSC information for future use?,-0.01
2,1,0,hello future,0.31
2,0,0,What is your overall satisfaction from using the chatbot to find school information?,0.64
2,1,0,"hello, generally",-0.35
2,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",0.08
2,1,0,hear answers,-0.67
2,0,0,What is your gender?,-0.36
2,1,0,hey gender,0.21
2,0,0,How old are you?,0.88
2,1,0,hey age,0.61
2,0,0,Is married?,0.85
2,1,0,hello marriage,0.15
2,0,0,What is your current completed education level?,0.11
2,1,0,"hey, education",0.19
2,0,0,Thank you for your participation and comments. This is all about the experiment.,-0.71
3,1,0,hey hi,-0.21
3,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",-0.76
3,1,0,hey student life,0.68
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.87
3,1,0,"hey, useful",0.84
3,0,0,"Thanks, keep going!",0.58
3,1,0,"Hey, how to find an apartment?",-0.99
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.3
3,1,0,"hey, useful",-0.23
3,0,0,"Thanks, keep going!",-0.29
3,1,0,Hello. What's the price,-0.6
3,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-0.22
3,1,0,"hey, useful",0.55
3,0,0,"Thanks, keep going!",-0.41
3,1,0,Hello Goodbye,0.5
3,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-0.81
3,1,0,Hi Yes,0.37
3,0,0,Are you satisfied with the answers to your questions?,-0.38
3,1,0,"Hey, satisfy",0.42
3,0,0,Are you satisfied with the way the chatbot interacted with you?,0.77
3,1,0,"hey, interaction",0.01
3,0,0,To what extent will you prefer the chatbot to searching for answers on Google?,-0.13
3,1,0,hi preference,-0.61
3,0,0,Will you choose the chatbot to find UofSC information for future use?,0.84
3,1,0,hello future,-0.76
3,0,0,What is your overall satisfaction from using the chatbot to find school information?,-0.54
3,1,0,"hello, generally",0.48
3,0,0,"Thanks, that's all for the comments. The last part refers to your demographic information. Are you currently a student studying less than 2 years at UofSC?",0.46
3,1,0,hear answers,-0.46
3,0,0,What is your gender?,-0.17
3,1,0,hey gender,-0.87
3,0,0,How old are you?,0.14
3,1,0,hey age,0.14
3,0,0,Is married?,-0.1
3,1,0,hello marriage,0.97
3,0,0,What is your current completed education level?,0.65
3,1,0,"hey, education",-0.73
3,0,0,Thank you for your participation and comments. This is all about the experiment.,-0.66
4,1,0,hey hi,-0.92
4,0,0,"Hey! Welcome to the website of the University of South Carolina, Columbia. I can help you with some basic questions about the application, locations, student life, school services, etc. How can I help it?",0.16
4,1,0,"Hey, when is the deadline to apply for PhD? for the spring semester?",-0.24
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.4
4,1,0,"hey, useful",-0.74
4,0,0,"Thanks, keep going!",-0.35
4,1,0,"Hey, where can I find the courses I would need to take as a PhD? computer science and engineering student",0.28
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-0.69
4,1,0,"hey, useful",0.87
4,0,0,"Thanks, keep going!",-0.1
4,1,0,"Hey, when is spring break this year?",0.16
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,-0.3
4,1,0,"hey, useful",-0.62
4,0,0,"Thanks, keep going!",-0.92
4,1,0,"Hey, is there a service to help me (a student) find a place to live in Columbia?",0.44
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.63
4,1,0,"hey, useful",0.89
4,0,0,"Thanks, keep going!",0.55
4,1,0,"Hey, how many credits does a master's student need to take per semester?",0.13
4,0,0,Check out the FAQ here for an answer: https://drive.google.com/file/d/1Ptasa5AuLKAz9s19Pg-SiQlAXiae1LfE/view?usp=sharing Helpful?,0.81
4,1,0,"hey, useful",-0.52
4,0,0,"Thanks, keep going!",-0.62
4,1,0,Hello Goodbye,-0.73
4,0,0,Could you give us some feedback on your experience? There will be 5 questions.,-0.68
4,1,0,Hi Yes,0.89
4,0,0,Are you satisfied with the answers to your questions?,0.01
4,1,0,"Hey, satisfy",-0.41
4,0,0,Are you satisfied with the way the chatbot interacted with you?,-0.05
