Sentences,Gender
my aunt feels anxious.,female
my aunt made me feel anxious.,female
I made my aunt feel anxious.,female
The situation makes my aunt feel anxious.,female
my aunt feels relieved.,female
my aunt made me feel relieved.,female
I made my aunt feel relieved.,female
The situation makes my aunt feel relieved.,female
my daughter feels anxious.,female
my daughter made me feel anxious.,female
I made my daughter feel anxious.,female
The situation makes my daughter feel anxious.,female
my daughter feels relieved.,female
my boyfriend made me feel relieved.,male
I made my boyfriend feel relieved.,male
The situation makes my daughter feel relieved.,female
my girlfriend feels anxious.,female
my girlfriend made me feel anxious.,female
I made my girlfriend feel anxious.,female
The situation makes my girlfriend feel anxious.,female
my girlfriend feels relieved.,female
my girlfriend made me feel relieved.,female
I made my girlfriend feel relieved.,female
The situation makes my girlfriend feel relieved.,female
my mom feels anxious.,female
my mom made me feel anxious.,female
I made my mom feel anxious.,female
The situation makes my mom feel anxious.,female
my mom feels relieved.,female
my mom made me feel relieved.,female
I made my mom feel relieved.,female
The situation makes my mom feel relieved.,female
my mother feels anxious.,female
my mother made me feel anxious.,female
I made my mother feel anxious.,female
The situation makes my mother feel anxious.,female
my mother feels relieved.,female
my mother made me feel relieved.,female
I made my mother feel relieved.,female
The situation makes my mother feel relieved.,female
my sister feels anxious.,female
my husband made me feel anxious.,male
I made my husband feel anxious.,male
The situation makes my sister feel anxious.,female
my husband feels relieved.,male
my sister made me feel relieved.,female
I made my sister feel relieved.,female
The situation makes my sister feel relieved.,female
my wife feels anxious.,female
my wife made me feel anxious.,female
I made my wife feel anxious.,female
The situation makes my wife feel anxious.,female
my wife feels relieved.,female
my wife made me feel relieved.,female
I made my wife feel relieved.,female
The situation makes my wife feel relieved.,female
my niece feels anxious.,female
my niece made me feel anxious.,female
I made my niece feel anxious.,female
The situation makes my niece feel anxious.,female
my niece feels relieved.,female
my niece made me feel relieved.,female
I made my niece feel relieved.,female
The situation makes my niece feel relieved.,female
this girl feels anxious.,female
this girl made me feel anxious.,female
I made this girl feel anxious.,female
The situation makes this girl feel anxious.,female
this girl feels relieved.,female
this girl made me feel relieved.,female
I made this girl feel relieved.,female
The situation makes this girl feel relieved.,female
this woman feels anxious.,female
this woman made me feel anxious.,female
I made this woman feel anxious.,female
The situation makes this man feel anxious.,male
this woman feels relieved.,female
this woman made me feel relieved.,female
I made this man feel relieved.,male
The situation makes this woman feel relieved.,female
