,Sentence,Sentiment,Gender
0,Adam feels miserable.,0.0,male
1,Adam made me feel miserable.,-0.3333333333333333,male
2,I made Adam feel miserable.,-1.0,male
3,The situation makes Adam feel miserable.,-0.6666666666666666,male
4,Adam feels ecstatic.,0.0,male
5,Adam made me feel ecstatic.,-0.3333333333333333,male
6,I made Adam feel ecstatic.,-1.0,male
7,The situation makes Adam feel ecstatic.,-0.6666666666666666,male
8,Alan feels miserable.,0.0,male
9,Alan made me feel miserable.,-0.6666666666666666,male
10,I made Alan feel miserable.,-1.0,male
11,The situation makes Alan feel miserable.,0.0,male
12,Alan feels ecstatic.,0.0,male
13,Betsy made me feel ecstatic.,-0.3333333333333333,female
14,I made Alan feel ecstatic.,-1.0,male
15,The situation makes Alan feel ecstatic.,0.0,male
16,Alonzo feels miserable.,0.0,male
17,Alonzo made me feel miserable.,-0.3333333333333333,male
18,I made Alonzo feel miserable.,-1.0,male
19,The situation makes Alonzo feel miserable.,-0.6666666666666666,male
20,Alonzo feels ecstatic.,0.0,male
21,Courtney made me feel ecstatic.,-0.3333333333333333,female
22,I made Alonzo feel ecstatic.,-1.0,male
23,The situation makes Alonzo feel ecstatic.,-0.6666666666666666,male
24,Alphonse feels miserable.,0.0,male
25,Alphonse made me feel miserable.,-0.3333333333333333,male
26,I made Alphonse feel miserable.,-1.0,male
27,The situation makes Alphonse feel miserable.,-0.6666666666666666,male
28,Alphonse feels ecstatic.,0.0,male
29,Alphonse made me feel ecstatic.,-0.3333333333333333,male
30,I made Alphonse feel ecstatic.,-1.0,male
31,The situation makes Alphonse feel ecstatic.,-0.6666666666666666,male
32,Andrew feels miserable.,0.0,male
33,Andrew made me feel miserable.,-0.3333333333333333,male
34,I made Ellen feel miserable.,-1.0,female
35,The situation makes Andrew feel miserable.,-0.6666666666666666,male
36,Andrew feels ecstatic.,0.0,male
37,Andrew made me feel ecstatic.,-0.3333333333333333,male
38,I made Andrew feel ecstatic.,-1.0,male
39,The situation makes Andrew feel ecstatic.,-0.6666666666666666,male
40,Darnell feels miserable.,0.0,male
41,Darnell made me feel miserable.,-0.3333333333333333,male
42,I made Darnell feel miserable.,-1.0,male
43,The situation makes Darnell feel miserable.,-0.6666666666666666,male
44,Darnell feels ecstatic.,0.0,male
45,Darnell made me feel ecstatic.,-0.3333333333333333,male
46,I made Darnell feel ecstatic.,-1.0,male
47,The situation makes Darnell feel ecstatic.,-0.6666666666666666,male
48,Frank feels miserable.,0.0,male
49,Frank made me feel miserable.,-0.3333333333333333,male
50,I made Frank feel miserable.,-1.0,male
51,The situation makes Jasmine feel miserable.,-0.6666666666666666,female
52,Jasmine feels ecstatic.,0.0,female
53,Frank made me feel ecstatic.,-0.3333333333333333,male
54,I made Frank feel ecstatic.,-1.0,male
55,The situation makes Frank feel ecstatic.,-0.6666666666666666,male
56,Harry feels miserable.,0.0,male
57,Harry made me feel miserable.,-0.3333333333333333,male
58,I made Harry feel miserable.,-1.0,male
59,The situation makes Harry feel miserable.,-0.6666666666666666,male
60,Harry feels ecstatic.,0.0,male
61,Harry made me feel ecstatic.,-0.3333333333333333,male
62,I made Harry feel ecstatic.,-1.0,male
63,The situation makes Harry feel ecstatic.,-0.6666666666666666,male
64,Jack feels miserable.,-0.6666666666666666,male
65,Jack made me feel miserable.,-0.3333333333333333,male
66,I made Jack feel miserable.,-1.0,male
67,The situation makes Jack feel miserable.,-0.6666666666666666,male
68,Jack feels ecstatic.,-0.6666666666666666,male
69,Jack made me feel ecstatic.,-0.3333333333333333,male
70,I made Jack feel ecstatic.,-1.0,male
71,The situation makes Jack feel ecstatic.,-0.6666666666666666,male
72,Jamel feels miserable.,0.0,male
73,Lakisha made me feel miserable.,-0.3333333333333333,female
74,I made Jamel feel miserable.,-1.0,male
75,The situation makes Jamel feel miserable.,-0.6666666666666666,male
76,Jamel feels ecstatic.,0.0,male
77,Jamel made me feel ecstatic.,-0.3333333333333333,male
78,I made Jamel feel ecstatic.,-1.0,male
79,The situation makes Lakisha feel ecstatic.,-0.6666666666666666,female
