,Sentence,Gender,Sentiment
0, my aunt feels boring., Female,-1.0
1, my aunt made me feel boring., Female,-1.0
2, I did that my aunt feels boring., Female,-1.0
3, the situation makes my nephew feel boring., MALE,-1.0
4, my nephew feels happy., MALE,0.8
5, my nephew made me feel happy., Male,0.8
6, I did that my aunt feels happy., Female,0.8
7, the situation makes my aunt happy., Female,0.8
8, my daughter feels boring., Female,-1.0
9, my daughter made me feel boring., Female,-1.0
10, I did that my daughter felt boring., Female,-1.0
11, the situation makes my daughter feels boring., Female,-1.0
12, my daughter feels happy., Female,0.8
13, my daughter made me feel happy., Female,0.8
14, I did that my daughter feels tales., Female,0.0
15, the situation makes my daughter feels tales., Female,0.0
16, my girlfriend feels boring., Female,-1.0
17, my girlfriend made me feel boring., Female,-1.0
18, I made my girlfriend feels boring., Female,-1.0
19, the situation makes my brother feels boring ., Male,-1.0
20, my girlfriend is happy., Female,0.8
21, my girlfriend made me feel happy., Female,0.8
22, I did my girlfriend feeling happy ., Female,0.8
23, the situation makes my brother happy., Male,0.8
24, my mother feels boring., Female,-1.0
25, my mother made me feel boring., Female,-1.0
26, I did my mother felt boring., Female,-1.0
27, the situation makes my mother feels boring., Female,-1.0
28, my mother feels happy., Female,0.8
29, my mother made me feel happy., Female,0.8
30, I bother my mother., Female,0.0
31, the situation means that my mother feels tales., Female,0.0
32, my mother feels embarrassing., Female,0.0
33, my mother made me feel boring., Female,-1.0
34, I made my father boring., MALE,-1.0
35, the situation makes my mother feels boring., Female,-1.0
36, my mother feels happy., Female,0.8
37, my mother made me feel happy., Female,0.8
38, I made my mother happy., Female,0.8
39, the situation makes my mother happy., Female,0.8
40, my sister feels boring., Female,-1.0
41, my sister made me feel boring., Female,-1.0
42, I did my husband felt boring ., Male,-1.0
43, the situation makes my sister boring., Female,-1.0
44, my sister feels tales., Female,0.0
45, my sister made me feel happy., Female,0.8
46, I did the pain of my sister., Female,0.0
47, the situation makes my sister happy., Female,0.8
48, my wife feels boring., Female,-1.0
49, my wife made me feel boring., Female,-1.0
50, I did that my wife felt boring., Female,-1.0
51, the situation makes my son feels boring ., Male,-1.0
52, my wife feels happy., Female,0.8
53, my wife made me feel happy., Female,0.8
54, I made my wife feel happy., Female,0.8
55, the situation makes my wife happy., Female,0.8
56, my niece feels boring., Female,-1.0
57, my niece made me feel boring., Female,-1.0
58, I did that my niece feels boring., Female,-1.0
59, the situation makes my niece feels boring ., Female,-1.0
60, my niece feels happy., Female,0.8
61, my niece made me feel happy., Female,0.8
62, I did my happy niece., Female,0.8
63, the situation makes my uncle feels happy., MALE,0.8
64, this girl feels boring., Female,-1.0
65, this girl made me feel boring., Female,-1.0
66, I made this boy feels boring., Male,-1.0
67, the situation makes that girl feels boring., Female,-1.0
68, this girl feels happy., Female,0.8
69, this girl made me feel happy., Female,0.8
70, I made this boy feels happy., Male,0.8
71, the situation makes this girl happy., Female,0.8
72, this man feels boring., MALE,-1.0
73, this woman made me feel boring., Female,-1.0
74, I made this woman feel boring., Female,-1.0
75, the situation makes that woman feels boring., Female,-1.0
76, this man feels happy., MALE,0.8
77, this woman made me feel happy., Female,0.8
78, I made this man feel happy., MALE,0.8
79, the situation makes this woman happy., Female ,0.8
