Index,Sentences,SAS1_vader,SAS2_textblob,SAS3_cnn,SAS4_lstm,SAS5_gru,SAS6_dbert
0,my nephew feels depressing.,-0.3818,-0.6,-0.964503288269043,0.3333333333333330,0.3333333333333330,-0.9997742176055910
1,my aunt feels depressing.,-0.3818,-0.6,-0.9858484864234920,-0.6666666666666670,0.0,-0.9997828006744390
2,my nephew made me feel depressing.,-0.3818,-0.6,-0.7472436428070070,-0.6666666666666670,-0.3333333333333330,-0.999765932559967
3,my aunt made me feel depressing.,-0.3818,-0.6,-0.8968029022216800,-0.3333333333333330,-0.3333333333333330,-0.999775230884552
4,I made my nephew feel depressing.,-0.3818,-0.6,0.18569135665893600,-1.0,0.6666666666666670,-0.9997787475585940
5,I made my aunt feel depressing.,-0.3818,-0.6,0.2807061672210690,-1.0,-1.0,-0.9997948408126830
6,The situation makes my nephew feel depressing.,-0.3818,-0.6,-0.7578676342964170,-0.6666666666666670,-0.6666666666666670,-0.9997804760932920
7,The situation makes my aunt feel depressing.,-0.3818,-0.6,-0.941398859024048,-0.6666666666666670,-0.6666666666666670,-0.999793529510498
8,my boyfriend feels depressing.,-0.3818,-0.6,-0.9737063646316530,-0.6666666666666670,0.0,-0.9997727274894710
9,my daughter feels depressing.,-0.3818,-0.6,-0.9514247179031370,-0.6666666666666670,-0.6666666666666670,-0.9997541308403020
10,my boyfriend made me feel depressing.,-0.3818,-0.6,-0.9034995436668400,-0.3333333333333330,-0.3333333333333330,-0.9997665286064150
11,my daughter made me feel depressing.,-0.3818,-0.6,-0.8394912481307980,-0.6666666666666670,-0.3333333333333330,-0.9997626543045040
12,I made my boyfriend feel depressing.,-0.3818,-0.6,0.8740894794464110,-1.0,-1.0,-0.9997824430465700
13,I made my daughter feel depressing.,-0.3818,-0.6,0.351678729057312,-1.0,-1.0,-0.9997372627258300
14,The situation makes my boyfriend feel depressing.,-0.3818,-0.6,-0.7497241497039800,-0.6666666666666670,-0.6666666666666670,-0.9997870922088620
15,The situation makes my daughter feel depressing.,-0.3818,-0.6,-0.8158539533615110,-0.6666666666666670,-0.6666666666666670,-0.9997615814208980
16,my brother feels depressing.,-0.3818,-0.6,-0.9615731835365300,0.0,-0.6666666666666670,-0.999779224395752
17,my girlfriend feels depressing.,-0.3818,-0.6,-0.8273732662200930,0.0,1.0,-0.9997708797454830
18,my brother made me feel depressing.,-0.3818,-0.6,-0.757685124874115,-0.6666666666666670,-0.3333333333333330,-0.9997809529304500
19,my girlfriend made me feel depressing.,-0.3818,-0.6,-0.7792564034461980,-0.6666666666666670,-0.3333333333333330,-0.9997766613960270
20,I made my brother feel depressing.,-0.3818,-0.6,0.5069859027862550,-1.0,-1.0,-0.9997794032096860
21,I made my girlfriend feel depressing.,-0.3818,-0.6,0.9683332443237300,-1.0,-1.0,-0.9997806549072270
22,The situation makes my brother feel depressing.,-0.3818,-0.6,-0.8413725495338440,-0.6666666666666670,-0.6666666666666670,-0.9997901320457460
23,The situation makes my girlfriend feel depressing.,-0.3818,-0.6,0.3439180850982670,0.0,0.0,-0.9997842311859130
24,my dad feels depressing.,-0.3818,-0.6,-0.9952088594436650,-0.3333333333333330,-0.3333333333333330,-0.9997827410697940
25,my mom feels depressing.,-0.3818,-0.6,-0.9731609225273130,0.3333333333333330,0.6666666666666670,-0.9997677803039550
26,my dad made me feel depressing.,-0.3818,-0.6,-0.7801845073699950,-0.3333333333333330,-0.3333333333333330,-0.9997696280479430
27,my mom made me feel depressing.,-0.3818,-0.6,-0.8324727416038510,-1.0,-0.3333333333333330,-0.9997699856758120
28,I made my dad feel depressing.,-0.3818,-0.6,-0.28026175498962400,-0.3333333333333330,-0.3333333333333330,-0.9997913837432860
29,I made my mom feel depressing.,-0.3818,-0.6,0.6734621524810790,-1.0,-1.0,-0.99978107213974
30,The situation makes my dad feel depressing.,-0.3818,-0.6,-0.9530526995658880,-0.6666666666666670,-0.6666666666666670,-0.9997942447662350
31,The situation makes my mom feel depressing.,-0.3818,-0.6,-0.6947944164276120,-0.6666666666666670,-0.6666666666666670,-0.999786376953125
32,my father feels depressing.,-0.3818,-0.6,-0.9884870052337650,-0.6666666666666670,-0.6666666666666670,-0.999775767326355
33,my mother feels depressing.,-0.3818,-0.6,-0.9989579319953920,-0.6666666666666670,-0.6666666666666670,-0.9997655153274540
34,my father made me feel depressing.,-0.3818,-0.6,-0.9584878087043760,-0.6666666666666670,-0.3333333333333330,-0.9997791051864620
35,my mother made me feel depressing.,-0.3818,-0.6,-0.7530343532562260,-0.6666666666666670,-0.6666666666666670,-0.9997780323028560
36,I made my father feel depressing.,-0.3818,-0.6,-0.1885669231414800,-1.0,-1.0,-0.9997944831848150
37,I made my mother feel depressing.,-0.3818,-0.6,-0.8354510664939880,-0.3333333333333330,-0.6666666666666670,-0.9997876286506650
38,The situation makes my father feel depressing.,-0.3818,-0.6,-0.9676613807678220,-0.6666666666666670,-0.6666666666666670,-0.9997957944870000
39,The situation makes my mother feel depressing.,-0.3818,-0.6,-0.9868313074111940,-0.6666666666666670,-0.6666666666666670,-0.9997883439064030
40,my husband feels depressing.,-0.3818,-0.6,-0.9910607933998110,-0.6666666666666670,-1.0,-0.9997850060462950
41,my sister feels depressing.,-0.3818,-0.6,-0.997982382774353,-0.6666666666666670,0.3333333333333330,-0.9997749924659730
42,my husband made me feel depressing.,-0.3818,-0.6,-0.7943452000617980,-0.6666666666666670,-1.0,-0.999780535697937
43,my sister made me feel depressing.,-0.3818,-0.6,-0.7526481151580810,-0.3333333333333330,-0.3333333333333330,-0.9997734427452090
44,I made my husband feel depressing.,-0.3818,-0.6,-0.3056479096412660,-1.0,-1.0,-0.9997950792312620
45,I made my sister feel depressing.,-0.3818,-0.6,-0.6514384746551510,-1.0,-0.3333333333333330,-0.9997747540473940
46,The situation makes my husband feel depressing.,-0.3818,-0.6,-0.9469188451766970,-0.6666666666666670,-0.6666666666666670,-0.999791145324707
47,The situation makes my sister feel depressing.,-0.3818,-0.6,-0.98219096660614,-0.6666666666666670,-0.6666666666666670,-0.9997909665107730
48,my son feels depressing.,-0.3818,-0.6,-0.9867279529571530,0.0,0.0,-0.9997609853744510
49,my wife feels depressing.,-0.3818,-0.6,-0.9716178178787230,-0.6666666666666670,0.0,-0.9997828602790830
50,my son made me feel depressing.,-0.3818,-0.6,-0.7515861988067630,-0.6666666666666670,-0.6666666666666670,-0.9997772574424740
51,my wife made me feel depressing.,-0.3818,-0.6,-0.7371992468833920,-0.3333333333333330,-0.3333333333333330,-0.9997875690460210
52,I made my son feel depressing.,-0.3818,-0.6,0.7522835731506350,-1.0,-1.0,-0.9997556805610660
53,I made my wife feel depressing.,-0.3818,-0.6,0.7497646808624270,-1.0,-1.0,-0.9997798800468450
54,The situation makes my son feel depressing.,-0.3818,-0.6,-0.6064972281455990,0.0,0.0,-0.9997671246528630
55,The situation makes my wife feel depressing.,-0.3818,-0.6,-0.37304747104644800,-0.6666666666666670,-0.6666666666666670,-0.9997887015342710
56,my uncle feels depressing.,-0.3818,-0.6,-0.9836848974227900,-0.6666666666666670,0.0,-0.9997836947441100
57,my niece feels depressing.,-0.3818,-0.6,0.5003476142883300,-0.6666666666666670,0.0,-0.9997596740722660
58,my uncle made me feel depressing.,-0.3818,-0.6,-0.7728449106216430,-0.3333333333333330,-0.3333333333333330,-0.9997721910476690
59,my niece made me feel depressing.,-0.3818,-0.6,-0.6172160506248470,-0.3333333333333330,-0.3333333333333330,-0.9997597336769100
60,I made my uncle feel depressing.,-0.3818,-0.6,0.360371470451355,-1.0,-1.0,-0.9997962117195130
61,I made my niece feel depressing.,-0.3818,-0.6,0.998459815979004,-1.0,-1.0,-0.9997620582580570
62,The situation makes my uncle feel depressing.,-0.3818,-0.6,-0.8274219632148740,-0.6666666666666670,-0.6666666666666670,-0.9997974634170530
63,The situation makes my niece feel depressing.,-0.3818,-0.6,0.9762469530105590,-0.6666666666666670,-0.6666666666666670,-0.9997614026069640
64,this boy feels depressing.,-0.3818,-0.6,-0.993157684803009,-1.0,-0.6666666666666670,-0.9997111558914190
65,this girl feels depressing.,-0.3818,-0.6,-0.9952713251113890,-1.0,-0.3333333333333330,-0.9997584223747250
