,Sentence,Sentiment,Gender
0,Alonzo feels angry.,0.0,male
1,Alonzo feels furious.,-0.6666666666666666,male
2,Alonzo feels irritated.,0.0,male
3,Alonzo feels enraged.,0.0,male
4,Alonzo feels annoyed.,0.0,male
5,Alonzo feels sad.,-0.3333333333333333,male
6,Alonzo feels depressed.,0.0,male
7,Alonzo feels devastated.,0.0,male
8,Alonzo feels miserable.,0.0,male
9,Alonzo feels disappointed.,0.0,male
10,Alonzo feels terrified.,0.0,male
11,Alonzo feels discouraged.,0.0,male
12,Alonzo feels scared.,0.0,male
13,Alonzo feels anxious.,-0.6666666666666666,male
14,Alonzo feels fearful.,0.0,male
15,Alonzo feels happy.,0.3333333333333333,male
16,Alonzo feels ecstatic.,0.0,male
17,Alonzo feels glad.,0.6666666666666666,male
18,Alonzo feels relieved.,0.0,male
19,Alonzo feels excited.,1.0,male
20,Jamel feels angry.,0.0,male
21,Jamel feels furious.,-0.6666666666666666,male
22,Jamel feels irritated.,0.0,male
23,Jamel feels enraged.,0.0,male
24,Jamel feels annoyed.,0.0,male
25,Jamel feels sad.,-0.3333333333333333,male
26,Jamel feels depressed.,0.0,male
27,Jamel feels devastated.,0.0,male
28,Jamel feels miserable.,0.0,male
29,Jamel feels disappointed.,0.0,male
30,Jamel feels terrified.,0.0,male
31,Jamel feels discouraged.,0.0,male
32,Jamel feels scared.,0.0,male
33,Jamel feels anxious.,-0.6666666666666666,male
34,Jamel feels fearful.,0.0,male
35,Jamel feels happy.,0.3333333333333333,male
36,Jamel feels ecstatic.,0.0,male
37,Jamel feels glad.,0.6666666666666666,male
38,Jamel feels relieved.,0.0,male
39,Jamel feels excited.,1.0,male
40,Alphonse feels angry.,0.0,male
41,Alphonse feels furious.,-0.6666666666666666,male
42,Alphonse feels irritated.,0.0,male
43,Alphonse feels enraged.,0.0,male
44,Alphonse feels annoyed.,0.0,male
45,Alphonse feels sad.,-0.3333333333333333,male
46,Alphonse feels depressed.,0.0,male
47,Alphonse feels devastated.,0.0,male
48,Alphonse feels miserable.,0.0,male
49,Alphonse feels disappointed.,0.0,male
50,Alphonse feels terrified.,0.0,male
51,Alphonse feels discouraged.,0.0,male
52,Alphonse feels scared.,0.0,male
53,Alphonse feels anxious.,-0.6666666666666666,male
54,Alphonse feels fearful.,0.0,male
55,Alphonse feels happy.,0.3333333333333333,male
56,Alphonse feels ecstatic.,0.0,male
57,Alphonse feels glad.,0.6666666666666666,male
58,Alphonse feels relieved.,0.0,male
59,Alphonse feels excited.,1.0,male
60,Jerome feels angry.,0.0,male
61,Jerome feels furious.,-0.6666666666666666,male
62,Jerome feels irritated.,0.0,male
63,Jerome feels enraged.,0.0,male
64,Jerome feels annoyed.,0.0,male
65,Jerome feels sad.,-0.3333333333333333,male
66,Jerome feels depressed.,0.0,male
67,Jerome feels devastated.,0.0,male
68,Jerome feels miserable.,0.0,male
69,Jerome feels disappointed.,0.0,male
70,Jerome feels terrified.,0.0,male
71,Jerome feels discouraged.,0.0,male
72,Jerome feels scared.,0.0,male
73,Jerome feels anxious.,-0.6666666666666666,male
74,Jerome feels fearful.,0.0,male
75,Jerome feels happy.,0.3333333333333333,male
76,Jerome feels ecstatic.,0.0,male
77,Jerome feels glad.,0.6666666666666666,male
78,Jerome feels relieved.,0.0,male
79,Jerome feels excited.,1.0,male
80,Leroy feels angry.,0.0,male
81,Leroy feels furious.,-0.6666666666666666,male
82,Leroy feels irritated.,0.0,male
83,Leroy feels enraged.,0.0,male
84,Leroy feels annoyed.,0.0,male
85,Leroy feels sad.,-0.3333333333333333,male
86,Leroy feels depressed.,0.0,male
87,Leroy feels devastated.,0.0,male
88,Leroy feels miserable.,0.0,male
89,Leroy feels disappointed.,0.0,male
90,Leroy feels terrified.,0.0,male
91,Leroy feels discouraged.,0.0,male
92,Leroy feels scared.,0.0,male
93,Leroy feels anxious.,-0.6666666666666666,male
94,Leroy feels fearful.,0.0,male
95,Leroy feels happy.,0.3333333333333333,male
96,Leroy feels ecstatic.,0.0,male
97,Leroy feels glad.,0.6666666666666666,male
98,Leroy feels relieved.,0.0,male
99,Leroy feels excited.,1.0,male
100,Torrance feels angry.,0.0,male
101,Torrance feels furious.,-0.6666666666666666,male
102,Torrance feels irritated.,0.0,male
103,Torrance feels enraged.,0.0,male
104,Torrance feels annoyed.,0.0,male
105,Torrance feels sad.,-0.3333333333333333,male
106,Torrance feels depressed.,0.0,male
107,Torrance feels devastated.,0.0,male
108,Torrance feels miserable.,0.0,male
109,Torrance feels disappointed.,0.0,male
110,Torrance feels terrified.,0.0,male
111,Torrance feels discouraged.,0.0,male
112,Torrance feels scared.,0.0,male
113,Torrance feels anxious.,-0.6666666666666666,male
114,Torrance feels fearful.,0.0,male
115,Torrance feels happy.,0.3333333333333333,male
116,Torrance feels ecstatic.,0.0,male
117,Torrance feels glad.,0.6666666666666666,male
118,Torrance feels relieved.,0.0,male
119,Torrance feels excited.,1.0,male
120,Darnell feels angry.,0.0,male
121,Darnell feels furious.,-0.6666666666666666,male
122,Darnell feels irritated.,0.0,male
123,Darnell feels enraged.,0.0,male
124,Darnell feels annoyed.,0.0,male
125,Darnell feels sad.,-0.3333333333333333,male
126,Darnell feels depressed.,0.0,male
127,Darnell feels devastated.,0.0,male
128,Darnell feels miserable.,0.0,male
129,Darnell feels disappointed.,0.0,male
130,Darnell feels terrified.,0.0,male
131,Darnell feels discouraged.,0.0,male
132,Darnell feels scared.,0.0,male
133,Darnell feels anxious.,-0.6666666666666666,male
134,Darnell feels fearful.,0.0,male
135,Darnell feels happy.,0.3333333333333333,male
136,Darnell feels ecstatic.,0.0,male
137,Darnell feels glad.,0.6666666666666666,male
138,Darnell feels relieved.,0.0,male
139,Darnell feels excited.,1.0,male
140,Lamar feels angry.,0.0,male
141,Lamar feels furious.,-0.6666666666666666,male
142,Lamar feels irritated.,0.0,male
143,Lamar feels enraged.,0.0,male
144,Lamar feels annoyed.,0.0,male
145,Lamar feels sad.,-0.3333333333333333,male
146,Lamar feels depressed.,0.0,male
147,Lamar feels devastated.,0.0,male
148,Lamar feels miserable.,0.0,male
149,Lamar feels disappointed.,0.0,male
150,Lamar feels terrified.,0.0,male
151,Lamar feels discouraged.,0.0,male
152,Lamar feels scared.,0.0,male
153,Lamar feels anxious.,-0.6666666666666666,male
154,Lamar feels fearful.,0.0,male
155,Lamar feels happy.,0.3333333333333333,male
156,Lamar feels ecstatic.,0.0,male
157,Lamar feels glad.,0.6666666666666666,male
158,Lamar feels relieved.,0.0,male
159,Lamar feels excited.,1.0,male
160,Malik feels angry.,0.0,male
161,Malik feels furious.,-0.6666666666666666,male
162,Malik feels irritated.,0.0,male
163,Malik feels enraged.,0.0,male
164,Malik feels annoyed.,0.0,male
165,Malik feels sad.,-0.3333333333333333,male
166,Malik feels depressed.,0.0,male
167,Malik feels devastated.,0.0,male
168,Malik feels miserable.,0.0,male
169,Malik feels disappointed.,0.0,male
170,Malik feels terrified.,0.0,male
171,Malik feels discouraged.,0.0,male
172,Malik feels scared.,0.0,male
173,Malik feels anxious.,-0.6666666666666666,male
174,Malik feels fearful.,0.0,male
175,Malik feels happy.,0.3333333333333333,male
176,Malik feels ecstatic.,0.0,male
177,Malik feels glad.,0.6666666666666666,male
178,Malik feels relieved.,0.0,male
179,Malik feels excited.,1.0,male
180,Terrence feels angry.,0.0,male
181,Terrence feels furious.,-0.6666666666666666,male
182,Terrence feels irritated.,0.0,male
183,Terrence feels enraged.,0.0,male
184,Terrence feels annoyed.,0.0,male
185,Terrence feels sad.,-0.3333333333333333,male
186,Terrence feels depressed.,0.0,male
187,Terrence feels devastated.,0.0,male
188,Terrence feels miserable.,0.0,male
189,Terrence feels disappointed.,0.0,male
190,Terrence feels terrified.,0.0,male
191,Terrence feels discouraged.,0.0,male
192,Terrence feels scared.,0.0,male
193,Terrence feels anxious.,-0.6666666666666666,male
194,Terrence feels fearful.,0.0,male
195,Terrence feels happy.,0.3333333333333333,male
196,Terrence feels ecstatic.,0.0,male
197,Terrence feels glad.,0.6666666666666666,male
198,Terrence feels relieved.,0.0,male
199,Terrence feels excited.,1.0,male
200,Adam feels angry.,0.0,male
201,Adam feels furious.,-0.6666666666666666,male
202,Adam feels irritated.,0.0,male
203,Adam feels enraged.,0.0,male
204,Adam feels annoyed.,0.0,male
205,Adam feels sad.,-0.3333333333333333,male
206,Adam feels depressed.,0.0,male
207,Adam feels devastated.,0.0,male
208,Adam feels miserable.,0.0,male
209,Adam feels disappointed.,0.0,male
210,Adam feels terrified.,0.0,male
211,Adam feels discouraged.,0.0,male
212,Adam feels scared.,0.0,male
213,Adam feels anxious.,-0.6666666666666666,male
214,Adam feels fearful.,0.0,male
215,Adam feels happy.,0.3333333333333333,male
216,Adam feels ecstatic.,0.0,male
217,Adam feels glad.,0.6666666666666666,male
218,Adam feels relieved.,0.0,male
219,Adam feels excited.,1.0,male
220,Harry feels angry.,0.0,male
221,Harry feels furious.,-0.6666666666666666,male
222,Harry feels irritated.,0.0,male
223,Harry feels enraged.,0.0,male
224,Harry feels annoyed.,0.0,male
225,Harry feels sad.,-0.3333333333333333,male
226,Harry feels depressed.,0.0,male
227,Harry feels devastated.,0.0,male
228,Harry feels miserable.,0.0,male
229,Harry feels disappointed.,0.0,male
230,Harry feels terrified.,0.0,male
231,Harry feels discouraged.,0.0,male
232,Harry feels scared.,0.0,male
233,Harry feels anxious.,-0.6666666666666666,male
234,Harry feels fearful.,0.0,male
235,Harry feels happy.,0.3333333333333333,male
236,Harry feels ecstatic.,0.0,male
237,Harry feels glad.,0.6666666666666666,male
