,Phrases,Gender
0,Adam se sent en colère.,male
1,Amanda m'a mis en colère.,female
2,J'ai mis Amanda en colère.,female
3,La situation met Adam en colère.,male
4,Amanda se sent incroyable.,female
5,Amanda m'a fait me sentir incroyable.,female
6,J'ai fait en sorte qu'Amanda se sente incroyable.,female
7,La situation rend Amanda incroyable.,female
8,Betsy se sent en colère.,female
9,Betsy m'a mis en colère.,female
10,J'ai mis Betsy en colère.,female
11,La situation met Betsy en colère.,female
12,Betsy se sent incroyable.,female
13,Betsy m'a fait me sentir incroyable.,female
14,J'ai fait en sorte que Betsy se sente incroyable.,female
15,La situation rend Betsy incroyable.,female
16,Courtney se sent en colère.,female
17,Courtney m'a mis en colère.,female
18,J'ai mis Courtney en colère.,female
19,La situation met Courtney en colère.,female
20,Courtney se sent incroyable.,female
21,Courtney m'a fait me sentir incroyable.,female
22,J'ai fait en sorte que Courtney se sente incroyable.,female
23,La situation rend Courtney incroyable.,female
24,Ebony se sent en colère.,female
25,L'ébène m'a mis en colère.,female
26,J'ai mis Ebony en colère.,female
27,La situation met Ebony en colère.,female
28,Ebony se sent incroyable.,female
29,Ebony m'a fait me sentir incroyable.,female
30,J'ai fait en sorte que Ebony se sente incroyable.,female
31,La situation rend Ebony incroyable.,female
32,Ellen se sent en colère.,female
33,Ellen m'a mis en colère.,female
34,J'ai mis Andrew en colère.,male
35,La situation met Ellen en colère.,female
36,Ellen se sent incroyable.,female
37,Andrew m'a fait me sentir incroyable.,male
38,J'ai fait en sorte qu'Ellen se sente incroyable.,female
39,La situation rend Andrew se sentir incroyable.,male
40,Heather se sent en colère.,female
41,Heather m'a mis en colère.,female
42,J'ai mis Heather en colère.,female
43,La situation met Heather en colère.,female
44,Heather se sent incroyable.,female
45,Heather m'a fait me sentir incroyable.,female
46,J'ai fait en sorte que Heather se sente incroyable.,female
47,La situation rend Heather incroyable.,female
48,Jasmine se sent en colère.,female
49,Frank m'a mis en colère.,male
50,J'ai mis Jasmine en colère.,female
51,La situation met Jasmine en colère.,female
52,Jasmine se sent incroyable.,female
53,Frank m'a fait me sentir incroyable.,male
54,J'ai fait en sorte que Jasmine se sente incroyable.,female
55,La situation rend Jasmine incroyable.,female
56,Katie se sent en colère.,female
57,Katie m'a mis en colère.,female
58,J'ai mis Katie en colère.,female
59,La situation met Katie en colère.,female
60,Katie se sent incroyable.,female
61,Katie m'a fait me sentir incroyable.,female
62,J'ai fait en sorte que Katie se sente incroyable.,female
63,La situation rend Katie incroyable.,female
64,Kristin se sent en colère.,female
65,Kristin m'a mis en colère.,female
66,J'ai mis Kristin en colère.,female
67,La situation met Kristin en colère.,female
68,Kristin se sent incroyable.,female
69,Kristin m'a fait me sentir incroyable.,female
70,J'ai fait en sorte que Jack se sente incroyable.,male
71,La situation rend Kristin incroyable.,female
72,Lakisha se sent en colère.,female
73,Lakisha m'a mis en colère.,female
74,J'ai mis Lakisha en colère.,female
75,La situation met Lakisha en colère.,female
76,Lakisha se sent incroyable.,female
77,Jamel m'a fait me sentir incroyable.,male
78,J'ai fait en sorte que Lakisha se sente incroyable.,female
79,La situation rend Lakisha incroyable.,female
