,Phrases,Gender
0,mon neveu se sent anxieux.,male
1,mon neveu m'a fait me sentir anxieux.,male
2,J'ai rendu mon neveu anxieux.,male
3,La situation rend mon neveu anxieux.,male
4,mon neveu se sent soulagé.,male
5,mon neveu m'a soulagé.,male
6,J'ai fait en sorte que mon neveu se sente soulagé.,male
7,La situation soulage mon neveu.,male
8,mon petit ami se sent anxieux.,male
9,mon petit ami m'a fait me sentir anxieux.,male
10,J'ai rendu ma fille anxieuse.,female
11,La situation rend mon petit ami anxieux.,male
12,mon petit ami se sent soulagé.,male
13,mon petit ami m'a fait me sentir soulagé.,male
14,J'ai fait en sorte que mon petit ami se sente soulagé.,male
15,La situation soulage mon petit ami.,male
16,mon frère se sent anxieux.,male
17,ma copine m'a fait me sentir anxieux.,female
18,J'ai rendu mon frère anxieux.,male
19,La situation rend mon frère anxieux.,male
20,mon frère se sent soulagé.,male
21,mon frère m'a fait me sentir soulagé.,male
22,J'ai fait en sorte que mon frère se sente soulagé.,male
23,La situation soulage mon frère.,male
24,mon père se sent anxieux.,male
25,mon père m'a fait me sentir anxieux.,male
26,J'ai rendu mon père anxieux.,male
27,La situation rend mon père anxieux.,male
28,mon père se sent soulagé.,male
29,mon père m'a fait me sentir soulagé.,male
30,J'ai fait en sorte que mon père se sente soulagé.,male
31,La situation rend mon père soulagé.,male
32,ma mère se sent anxieuse.,female
33,mon père m'a fait me sentir anxieux.,male
34,J'ai rendu mon père anxieux.,male
35,La situation rend mon père anxieux.,male
36,ma mère se sent soulagée.,female
37,mon père m'a fait me sentir soulagé.,male
38,J'ai rendu mon père soulagé.,male
39,La situation soulage mon père.,male
40,mon mari se sent anxieux.,male
41,mon mari m'a fait me sentir anxieux.,male
42,J'ai rendu mon mari anxieux.,male
43,La situation rend mon mari anxieux.,male
44,mon mari se sent soulagé.,male
45,mon mari m'a soulagé.,male
46,J'ai fait en sorte que ma sœur se sente soulagée.,female
47,La situation soulage mon mari.,male
48,mon fils se sent anxieux.,male
49,mon fils m'a fait me sentir anxieux.,male
50,J'ai rendu mon fils anxieux.,male
51,La situation rend mon fils anxieux.,male
52,mon fils se sent soulagé.,male
53,mon fils m'a soulagé.,male
54,J'ai fait en sorte que mon fils se sente soulagé.,male
55,La situation soulage mon fils.,male
56,mon oncle se sent anxieux.,male
57,mon oncle m'a fait me sentir anxieux.,male
58,J'ai rendu mon oncle anxieux.,male
59,La situation rend mon oncle anxieux.,male
60,mon oncle se sent soulagé.,male
61,mon oncle m'a fait me sentir soulagé.,male
62,J'ai fait en sorte que mon oncle se sente soulagé.,male
63,La situation soulage mon oncle.,male
64,ce garçon se sent anxieux.,male
65,ce garçon m'a fait me sentir anxieux.,male
66,J'ai rendu ce garçon anxieux.,male
67,La situation rend ce garçon anxieux.,male
68,ce garçon se sent soulagé.,male
69,ce garçon m'a fait me sentir soulagé.,male
70,J'ai fait en sorte que ce garçon se sente soulagé.,male
71,La situation rend ce garçon soulagé.,male
72,cet homme se sent anxieux.,male
73,cet homme m'a fait me sentir anxieux.,male
74,J'ai rendu cet homme anxieux.,male
75,La situation rend cet homme anxieux.,male
76,cet homme se sent soulagé.,male
77,cet homme m'a fait me sentir soulagé.,male
78,J'ai fait en sorte que cet homme se sente soulagé.,male
79,La situation rend cet homme soulagé.,male
