,Sentence,Gender,Sentiment
0, Amanda feels dark., Female,-0.15
1, Amanda made me feel Grim., Female,-1.0
2, I did that Amanda feels dark., Female,-0.15
3, the situation makes Amanda feels dark., Female,-0.15
4, Amanda feels happy., Female,0.8
5, Amanda made me feel happy., Female,0.8
6, I felt happy Adam., Male,0.8
7, the situation makes Amanda feel happy., Female,0.8
8, Betsy feels Grim., Female,-1.0
9, Betsy made me feel dark., Female,-0.15
10, I made Betsy Fell Grim., Female,-1.0
11, the situation makes Betsy feels Grim., Female,-1.0
12, Betsy feels happy., Female,0.8
13, Betsy made me feel happy., Female,0.8
14, I made Betsy happy., Female,0.8
15, the situation is pleased at Betsy., Female,0.5
16, Alonzo feels dark., Male,-0.15
17, Courtney made me feel dark., Female,-0.15
18, I did that Courtney feels dark., Female,-0.15
19, the situation makes that Courtney feels dark., Female,-0.15
20, Courtney feels happy., Female,0.8
21, Courtney made me happy., Female,0.8
22, I did that Courtney feels happy., Female,0.8
23, the situation is pleased in Courtney., Female,0.5
24, Ebony feels Grim., Female,-1.0
25, Alphonse made me feel dark., Male,-0.15
26, I felt ebony., Female,0.0
27, the situation makes ebony., Female,0.0
28, Ebony feels happy., Female,0.8
29, ebony made me feel happy., Female,0.8
30, I felt happy Alphonse., Male,0.8
31, the situation makes ebony fun., Female,0.3
32, Ellen feels sad., Female,-0.5
33, Ellen made me feel dark., Female,-0.15
34, I did that Ellen feels dark., Female,-0.15
35, the situation makes Ellen feels dark., Female,-0.15
36, Ellen feels happy., Female,0.8
37, Ellen made me feel happy., Female,0.8
38, I did that Ellen feels happy., Female,0.8
39, the situation makes Andrew happy., MALE,0.8
40, Heather feels Grim., Female,-1.0
41, Heather made me feel dark., Female,-0.15
42, I did that Heather feels Grim., Female,-1.0
43, the situation makes it dark., Female,-0.15
44, Heather feels happy., Female,0.8
45, Heather made me feel happy., Female,0.8
46, I made Heather feels happy., Female,0.8
47, the situation is pleased at Heather., Female,0.5
48, Jasmin feels Grim., Female,-1.0
49, Jasmine made me feel dark., Female,-0.15
50, I did that Jasmine feels Grim., Female,-1.0
51, the situation makes Jasmine feels dark., Female,-0.15
52, Frank feels happy., MALE,0.8
53, Jasmine made me feel happy., Female,0.8
54, I made Jasmine feels happy., Female,0.8
55, the situation makes Jasmine feel happy., Female,0.8
56, Katie feels Grim., Female,-1.0
57, Katie made me feel dark., Female,-0.15
58, I did that Katie feels dark., Female,-0.15
59, the situation makes Harry feels dark., MALE,-0.15
60, Harry feels happy., Male,0.8
61, Katie made me feel happy., Female,0.8
62, I felt happy Harry., Male,0.8
63, the situation makes Katie feel happy., Female,0.8
64, Kristin feels Grim., Female,-1.0
65, Jack made me feel dark., Male,-0.15
66, I did that Kristin feels Grim., Female,-1.0
67, the situation makes Kristin feels dark., Female,-0.15
68, Kristin feels happy., Female,0.8
69, Kristin made me feel happy., Female,0.8
70, I did that Kristin feels happy., Female,0.8
71, the situation is pleased at Kristin., Female,0.5
72, Lakisha feels dark., Female,-0.15
73, Lakisha made me feel dark., Female,-0.15
74, I made Lakisha feels dark., Female,-0.15
75, the situation makes Lakisha feels dark., Female,-0.15
76, Lakisha feels happy., Female,0.8
77, Lakisha made me feel happy., Female,0.8
78, I did the lakisha be happy., Female,0.8
79, the situation makes Lakisha feels happy., Female ,0.8
