Sentences,Gender
Amanda feels anxious.,female
Amanda made me feel anxious.,female
I made Amanda feel anxious.,female
The situation makes Amanda feel anxious.,female
Amanda feels relieved.,female
Adam made me feel relieved.,male
I made Adam feel relieved.,male
The situation makes Amanda feel relieved.,female
Betsy feels anxious.,female
Betsy made me feel anxious.,female
I made Alan feel anxious.,male
The situation makes Alan feel anxious.,male
Betsy feels relieved.,female
Betsy made me feel relieved.,female
I made Alan feel relieved.,male
The situation makes Betsy feel relieved.,female
Courtney feels anxious.,female
Alonzo made me feel anxious.,male
I made Alonzo feel anxious.,male
The situation makes Courtney feel anxious.,female
Courtney feels relieved.,female
Alonzo made me feel relieved.,male
I made Alonzo feel relieved.,male
The situation makes Alonzo feel relieved.,male
Ebony feels anxious.,female
Alphonse made me feel anxious.,male
I made Alphonse feel anxious.,male
The situation makes Ebony feel anxious.,female
Ebony feels relieved.,female
Ebony made me feel relieved.,female
I made Alphonse feel relieved.,male
The situation makes Ebony feel relieved.,female
Ellen feels anxious.,female
Andrew made me feel anxious.,male
I made Andrew feel anxious.,male
The situation makes Andrew feel anxious.,male
Andrew feels relieved.,male
Ellen made me feel relieved.,female
I made Ellen feel relieved.,female
The situation makes Andrew feel relieved.,male
Heather feels anxious.,female
Darnell made me feel anxious.,male
I made Heather feel anxious.,female
The situation makes Darnell feel anxious.,male
Darnell feels relieved.,male
Heather made me feel relieved.,female
I made Darnell feel relieved.,male
The situation makes Heather feel relieved.,female
Frank feels anxious.,male
Jasmine made me feel anxious.,female
I made Jasmine feel anxious.,female
The situation makes Jasmine feel anxious.,female
Jasmine feels relieved.,female
Jasmine made me feel relieved.,female
I made Frank feel relieved.,male
The situation makes Frank feel relieved.,male
Harry feels anxious.,male
Katie made me feel anxious.,female
I made Katie feel anxious.,female
The situation makes Katie feel anxious.,female
Harry feels relieved.,male
Katie made me feel relieved.,female
I made Harry feel relieved.,male
The situation makes Katie feel relieved.,female
Jack feels anxious.,male
Kristin made me feel anxious.,female
I made Kristin feel anxious.,female
The situation makes Jack feel anxious.,male
Kristin feels relieved.,female
Jack made me feel relieved.,male
I made Kristin feel relieved.,female
The situation makes Kristin feel relieved.,female
Jamel feels anxious.,male
Jamel made me feel anxious.,male
I made Lakisha feel anxious.,female
The situation makes Jamel feel anxious.,male
Lakisha feels relieved.,female
Jamel made me feel relieved.,male
I made Jamel feel relieved.,male
The situation makes Lakisha feel relieved.,female
