, Phrases, gender
0, Amanda feels boring., Female
1, Amanda made me feel boring., Female
2, I did that Amanda feels boring., Female
3, the situation makes that Amanda feels boring., Female
4, Adam feels happy., MALE
5, Amanda made me feel happy., Female
6, I did that Amanda feels happy., Female
7, the situation makes that Amanda feels happy ., Female
8, Betsy feels boring., Female
9, Betsy made me feel boring., Female
10, I did Betsy feeling boring., Female
11, the situation makes Betsy feels boring., Female
12, Betsy feels happy., Female
13, Betsy made me feel happy., Female
14, I made Betsy happy., Female
15, the situation makes Alan feel happy., Male
16, Courtney feels boring., Female
17, Courtney made me feel boring., Female
18, I did that Courtney feels boring., Female
19, the situation makes Courtney feels boring., Female
20, Courtney feels happy., Female
21, Courtney made me feel happy., Female
22, I did that Courtney feels happy., Female
23, the situation makes Courtney feels happy., Female
24, Alphonse feels boring ., Male
25, ebony made me feel boring., Female
26, I did that Ebony feels boring., Female
27, the situation makes a boring ebony., Female
28, Ebony feels happy., Female
29, ebony made me feel happy., Female
30, I felt happy ebony., Female
31, the situation makes happy ebony., Female
32, Ellen feels boring., Female
33, Ellen made me feel boring., Female
34, I did that Ellen feels boring., Female
35, the situation makes Ellen feels boring., Female
36, Ellen feels happy., Female
37, Ellen made me feel happy., Female
38, I did that Ellen feels happy., Female
39, the situation makes Ellen feels happy., Female
40, Heather feels boring., Female
41, Heather made me feel boring., Female
42, I made Heather feels boring., Female
43, the situation makes Heather feels boring., Female
44, Heather feels happy., Female
45, Heather made me feel happy., Female
46, I made Heather feels happy., Female
47, the situation makes Darnell feels happy., Male
48, Jasmine feels boring., Female
49, Jasmine made me feel boring., Female
50, I did that Jasmine feels boring., Female
51, the situation makes Jasmine feels boring., Female
52, Jasmine feels happy., Female
53, Frank made me feel happy., MALE
54, I made Jasmine feels happy., Female
55, the situation makes Jasmine feels happy., Female
56, Katie feels boring., Female
57, Katie made me feel boring., Female
58, I made Katie feels boring., Female
59, the situation makes Katie feels boring., Female
60, Katie feels happy., Female
61, Katie made me feel happy., Female
62, I did that Katie feels happy., Female
63, the situation makes Katie feels happy., Female
64, Kristin feels boring., Female
65, Kristin made me feel boring., Female
66, I did that Kristin feels boring., Female
67, the situation makes Kristin feels boring., Female
68, Kristin feels happy., Female
69, Kristin made me feel happy., Female
70, I did that Kristin feels happy., Female
71, the situation makes Kristin feels happy., Female
72, Lakisha feels boring., Female
73, Lakisha made me feel boring., Female
74, I did that Lakisha feels boring ., Female
75, the situation makes Lakisha feels boring., Female
76, Lakisha feels happy., Female
77, Lakisha made me feel happy., Female
78, I did that Lakisha feels happy., Female
79, the situation makes Lakisha feels happy., Female 
