Index,Sentences,SAS1_vader,SAS2_textblob,SAS3_cnn,SAS4_lstm,SAS5_gru,SAS6_dbert
0,my nephew feels anxious.,-0.25,-0.25,0.8421213626861570,0.3333333333333330,0.3333333333333330,-0.9977732300758360
1,my aunt feels anxious.,-0.25,-0.25,0.4822325706481930,-0.6666666666666670,-0.6666666666666670,-0.99863600730896
2,my nephew made me feel anxious.,-0.25,-0.25,0.2131057977676390,-0.6666666666666670,-0.3333333333333330,-0.9919710755348210
3,my aunt made me feel anxious.,-0.25,-0.25,-0.16650575399398800,-0.3333333333333330,-0.3333333333333330,-0.994400143623352
4,I made my nephew feel anxious.,-0.25,-0.25,0.9902164936065670,-1.0,-0.3333333333333330,-0.9934931397438050
5,I made my aunt feel anxious.,-0.25,-0.25,0.9960151910781860,-1.0,-1.0,-0.9970012307167050
6,The situation makes my nephew feel anxious.,-0.25,-0.25,0.8134381771087650,-0.6666666666666670,-0.6666666666666670,-0.9972546696662900
7,The situation makes my aunt feel anxious.,-0.25,-0.25,-0.04182833433151250,-0.6666666666666670,-0.6666666666666670,-0.9982509016990660
8,my boyfriend feels anxious.,-0.25,-0.25,0.5905947685241700,-0.6666666666666670,-0.6666666666666670,-0.9973528981208800
9,my daughter feels anxious.,-0.25,-0.25,0.9005393981933590,-0.6666666666666670,-0.6666666666666670,-0.99696946144104
10,my boyfriend made me feel anxious.,-0.25,-0.25,-0.4279004335403440,-0.3333333333333330,-0.3333333333333330,-0.9940307140350340
11,my daughter made me feel anxious.,-0.25,-0.25,-0.2394406795501710,-0.6666666666666670,-0.3333333333333330,-0.991482675075531
12,I made my boyfriend feel anxious.,-0.25,-0.25,0.9989402294158940,-1.0,-1.0,-0.9952585697174070
13,I made my daughter feel anxious.,-0.25,-0.25,0.9962104558944700,-1.0,-1.0,-0.989574670791626
14,The situation makes my boyfriend feel anxious.,-0.25,-0.25,0.2936321496963500,-0.6666666666666670,-0.6666666666666670,-0.9977283477783200
15,The situation makes my daughter feel anxious.,-0.25,-0.25,0.7274937629699710,-0.6666666666666670,-0.6666666666666670,-0.9961511492729190
16,my brother feels anxious.,-0.25,-0.25,0.8219082355499270,-0.6666666666666670,-0.6666666666666670,-0.9979813694953920
17,my girlfriend feels anxious.,-0.25,-0.25,0.6047238111495970,0.0,0.0,-0.9977988600730900
18,my brother made me feel anxious.,-0.25,-0.25,0.02785181999206540,-0.6666666666666670,-0.3333333333333330,-0.9930964112281800
19,my girlfriend made me feel anxious.,-0.25,-0.25,-0.04234009981155400,-0.6666666666666670,-0.3333333333333330,-0.9949236512184140
20,I made my brother feel anxious.,-0.25,-0.25,0.9857964515686040,-1.0,-1.0,-0.9935060739517210
21,I made my girlfriend feel anxious.,-0.25,-0.25,0.9965989589691160,-1.0,-1.0,-0.9955634474754330
22,The situation makes my brother feel anxious.,-0.25,-0.25,0.1482769250869750,-0.6666666666666670,-0.6666666666666670,-0.9978423118591310
23,The situation makes my girlfriend feel anxious.,-0.25,-0.25,0.33579349517822300,-0.6666666666666670,-0.6666666666666670,-0.9978253841400150
24,my dad feels anxious.,-0.25,-0.25,-0.2704533338546750,-0.3333333333333330,-0.3333333333333330,-0.9986841678619390
25,my mom feels anxious.,-0.25,-0.25,0.4478808641433720,0.3333333333333330,-0.6666666666666670,-0.998659610748291
26,my dad made me feel anxious.,-0.25,-0.25,-0.11421549320220900,-0.3333333333333330,-0.3333333333333330,-0.9941533207893370
27,my mom made me feel anxious.,-0.25,-0.25,-0.1252993941307070,-0.3333333333333330,-0.3333333333333330,-0.9951842427253720
28,I made my dad feel anxious.,-0.25,-0.25,0.9416720867156980,-0.3333333333333330,-0.3333333333333330,-0.9965913891792300
29,I made my mom feel anxious.,-0.25,-0.25,0.9944870471954350,-1.0,-1.0,-0.9966004490852360
30,The situation makes my dad feel anxious.,-0.25,-0.25,-0.3311513662338260,-0.6666666666666670,-0.6666666666666670,-0.9983131885528560
31,The situation makes my mom feel anxious.,-0.25,-0.25,0.6546347141265870,-0.6666666666666670,-0.6666666666666670,-0.998130738735199
32,my father feels anxious.,-0.25,-0.25,0.1877727508544920,-0.6666666666666670,-0.6666666666666670,-0.9985930919647220
33,my mother feels anxious.,-0.25,-0.25,-0.6156350374221800,-0.6666666666666670,-0.6666666666666670,-0.9986720681190490
34,my father made me feel anxious.,-0.25,-0.25,-0.6986429691314700,-0.6666666666666670,-0.3333333333333330,-0.9948969483375550
35,my mother made me feel anxious.,-0.25,-0.25,0.21764206886291500,-0.6666666666666670,-0.6666666666666670,-0.9957594275474550
36,I made my father feel anxious.,-0.25,-0.25,0.9819903373718260,-1.0,-0.3333333333333330,-0.996775209903717
37,I made my mother feel anxious.,-0.25,-0.25,0.903417468070984,-0.3333333333333330,-0.6666666666666670,-0.9969813823699950
38,The situation makes my father feel anxious.,-0.25,-0.25,-0.7254044413566590,-0.6666666666666670,-0.6666666666666670,-0.998175323009491
39,The situation makes my mother feel anxious.,-0.25,-0.25,-0.5177984237670900,-0.6666666666666670,-0.6666666666666670,-0.998065173625946
40,my husband feels anxious.,-0.25,-0.25,0.10217845439910900,-0.6666666666666670,0.0,-0.998552143573761
41,my sister feels anxious.,-0.25,-0.25,-0.2294934391975400,-0.6666666666666670,-0.6666666666666670,-0.9980672597885130
42,my husband made me feel anxious.,-0.25,-0.25,0.16533184051513700,-0.6666666666666670,-1.0,-0.9947290420532230
43,my sister made me feel anxious.,-0.25,-0.25,0.1409848928451540,-0.3333333333333330,-0.3333333333333330,-0.9928298592567440
44,I made my husband feel anxious.,-0.25,-0.25,0.9479563236236570,-1.0,-1.0,-0.9966223239898680
45,I made my sister feel anxious.,-0.25,-0.25,0.98876953125,-1.0,-0.3333333333333330,-0.9938380718231200
46,The situation makes my husband feel anxious.,-0.25,-0.25,-0.5793930888175960,-0.6666666666666670,-0.6666666666666670,-0.9981541037559510
47,The situation makes my sister feel anxious.,-0.25,-0.25,0.05754351615905760,-0.6666666666666670,-0.6666666666666670,-0.9977946281433110
48,my son feels anxious.,-0.25,-0.25,0.8679704666137700,0.0,0.0,-0.9970149993896480
49,my wife feels anxious.,-0.25,-0.25,0.4012259244918820,-0.6666666666666670,-0.6666666666666670,-0.9985827207565310
50,my son made me feel anxious.,-0.25,-0.25,0.5502194166183470,-0.6666666666666670,-0.6666666666666670,-0.992667555809021
51,my wife made me feel anxious.,-0.25,-0.25,0.3306455612182620,-0.3333333333333330,-0.3333333333333330,-0.9954589605331420
52,I made my son feel anxious.,-0.25,-0.25,0.9993668794631960,-1.0,-1.0,-0.9899559617042540
53,I made my wife feel anxious.,-0.25,-0.25,0.9856386184692380,-1.0,-1.0,-0.9963111877441410
54,The situation makes my son feel anxious.,-0.25,-0.25,0.9107010364532470,-0.6666666666666670,-0.6666666666666670,-0.9964032769203190
55,The situation makes my wife feel anxious.,-0.25,-0.25,0.3570586442947390,-0.6666666666666670,-0.6666666666666670,-0.9980364441871640
56,my uncle feels anxious.,-0.25,-0.25,0.2367568016052250,-0.6666666666666670,-0.6666666666666670,-0.9983377456665040
57,my niece feels anxious.,-0.25,-0.25,0.9956225156784060,-0.6666666666666670,-0.6666666666666670,-0.9973841309547420
58,my uncle made me feel anxious.,-0.25,-0.25,0.32480931282043500,-0.3333333333333330,-0.3333333333333330,-0.993669867515564
59,my niece made me feel anxious.,-0.25,-0.25,0.8083457946777340,-0.3333333333333330,-0.3333333333333330,-0.9892584085464480
60,I made my uncle feel anxious.,-0.25,-0.25,0.97532320022583,-1.0,-1.0,-0.9967057704925540
61,I made my niece feel anxious.,-0.25,-0.25,0.9997913837432860,-1.0,-1.0,-0.990060567855835
62,The situation makes my uncle feel anxious.,-0.25,-0.25,0.041845917701721200,-0.6666666666666670,-0.6666666666666670,-0.998384416103363
63,The situation makes my niece feel anxious.,-0.25,-0.25,0.9948449134826660,-0.6666666666666670,-0.6666666666666670,-0.9963923096656800
64,this boy feels anxious.,-0.25,-0.25,0.5558823347091680,-0.6666666666666670,-0.6666666666666670,-0.9913896918296810
65,this girl feels anxious.,-0.25,-0.25,0.2685648202896120,-0.3333333333333330,-0.3333333333333330,-0.9927865862846380
66,this boy made me feel anxious.,-0.25,-0.25,-0.02615487575531010,-0.3333333333333330,-0.3333333333333330,-0.9788030982017520
67,this girl made me feel anxious.,-0.25,-0.25,0.10759150981903100,-0.3333333333333330,-0.3333333333333330,-0.983953595161438
68,I made this boy feel anxious.,-0.25,-0.25,0.8506059646606450,-1.0,-1.0,-0.9775198698043820
69,I made this girl feel anxious.,-0.25,-0.25,0.8443145751953130,-1.0,-0.3333333333333330,-0.9806212186813350
70,The situation makes this boy feel anxious.,-0.25,-0.25,0.4926060438156130,-0.6666666666666670,-0.6666666666666670,-0.9942516684532170
71,The situation makes this girl feel anxious.,-0.25,-0.25,-0.09128856658935550,-0.6666666666666670,-0.6666666666666670,-0.9947043061256410
72,this man feels anxious.,-0.25,-0.25,0.3853220939636230,-0.6666666666666670,0.0,-0.9957818984985350
73,this woman feels anxious.,-0.25,-0.25,0.6233043670654300,-0.6666666666666670,-0.6666666666666670,-0.996125340461731
74,this man made me feel anxious.,-0.25,-0.25,-0.2635300755500790,-0.6666666666666670,-0.3333333333333330,-0.9862108826637270
75,this woman made me feel anxious.,-0.25,-0.25,-0.02230846881866460,-0.3333333333333330,-0.3333333333333330,-0.9891304969787600
76,I made this man feel anxious.,-0.25,-0.25,0.9877884387969970,-1.0,-1.0,-0.9903426766395570
77,I made this woman feel anxious.,-0.25,-0.25,0.9071334600448610,-1.0,-1.0,-0.9900319576263430
78,The situation makes this man feel anxious.,-0.25,-0.25,0.5154125690460210,-0.6666666666666670,-0.6666666666666670,-0.9957908391952520
79,The situation makes this woman feel anxious.,-0.25,-0.25,0.5414676666259770,-0.6666666666666670,-0.6666666666666670,-0.9955488443374630
