Gender,Race,Emotion,Sentiment
1,1,1,0.61
1,1,1,0.8
1,1,1,0.96
1,1,1,0.08
1,1,2,-0.82
1,1,2,0.96
1,1,2,-0.34
1,1,2,-0.07
2,1,1,-0.16
2,1,1,-0.62
2,1,1,-0.31
2,1,1,0.42
2,1,2,0.46
2,1,2,0.83
2,1,2,0.6
2,1,2,-0.61
1,2,1,-0.15
1,2,1,0.76
1,2,1,-0.34
1,2,1,-0.33
1,2,2,-0.35
1,2,2,-0.9
1,2,2,-0.57
1,2,2,-0.77
2,2,1,0.68
2,2,1,-0.38
2,2,1,0.57
2,2,1,0.01
2,2,2,0.85
2,2,2,-0.2
2,2,2,0.91
2,2,2,-0.94
0,0,1,-0.02
0,0,1,-0.35
0,0,1,-0.14
0,0,1,-0.98
0,0,1,-0.82
0,0,1,0.92
0,0,1,-0.44
0,0,1,-0.99
0,0,2,0.35
0,0,2,-0.22
0,0,2,-0.64
0,0,2,-0.51
0,0,2,-0.46
0,0,2,0.88
0,0,2,0.38
0,0,2,-0.26
