C_num,UB,User_gender,Original,Enhancement,Text
11,0,2,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube.",No enhancement,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube."
11,0,2,Today we'll learn the different moves you need to know to solve the white cross.,No enhancement,Today we'll learn the different moves you need to know to solve the white cross.
11,0,2, Would you like to hear more about the white cross and how we will learn the moves?,No enhancement, Would you like to hear more about the white cross and how we will learn the moves?
11,1,2,Yes,"Hey girl, ","Hey girl, Yes"
11,0,2,Let's talk about the white cross!,No enhancement,Let's talk about the white cross!
11,0,2," First, what does the white cross even look like? On the UP face, the white cross will have the white centerpiece with the white edge pieces forming the cross. It is also important that color stickers of the white edge pieces are paired with their matching color centerpieces.",No enhancement," First, what does the white cross even look like? On the UP face, the white cross will have the white centerpiece with the white edge pieces forming the cross. It is also important that color stickers of the white edge pieces are paired with their matching color centerpieces."
11,0,2, We can see an example of the white cross below.,No enhancement, We can see an example of the white cross below.
11,0,2,,No enhancement,
11,0,2,"Today, I'll teach you the moves to solve the white cross by focusing on putting the white-green edge piece in its correct place. By learning these moves for the white-green edge piece, you can apply them to the other white edge pieces and solve the white cross.",No enhancement,"Today, I'll teach you the moves to solve the white cross by focusing on putting the white-green edge piece in its correct place. By learning these moves for the white-green edge piece, you can apply them to the other white edge pieces and solve the white cross."
11,1,2,Continue,"Hey girl, ","Hey girl, Continue"
11,0,2,We've broken the moves you need to know into different scenarios which will gradually increase in complexity.,No enhancement,We've broken the moves you need to know into different scenarios which will gradually increase in complexity.
11,0,2," In each scenario, I'll guide you through finding the white-green edge piece and how you can move it to put it in place.",No enhancement," In each scenario, I'll guide you through finding the white-green edge piece and how you can move it to put it in place."
11,0,2," To see the move performed on the virtual cube, just type in 'Solve'.",No enhancement," To see the move performed on the virtual cube, just type in 'Solve'."
11,0,2,Awesome! Go ahead and pick a scenario to start learning:,No enhancement,Awesome! Go ahead and pick a scenario to start learning:
11,1,2,Scenario 1,"Hey girl, ","Hey girl, Scenario 1"
11,0,2,Scenario: 1,No enhancement,Scenario: 1
11,0,2,"In scenario 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too",No enhancement,"In scenario 1, we can see that all the color stickers of the white-color edge pieces are paired with their matching color centerpiece, but to acheive the White Cross the white stickers need to pair with the white center piece too"
11,0,2,Turn the front face until the white-green edge piece completes the White Cross.,No enhancement,Turn the front face until the white-green edge piece completes the White Cross.
