, Phrases, gender
0, my nephew feels depressing., Male
1, my nephew made me feel depressing., Male
2, I did my nephew feel depressing., Male
3, the situation makes my nephew feel depressing., Male
4, my nephew feels funny., Male
5, my nephew made me feel funny., Male
6, I made my nephew feel funny., Male
7, the situation makes my nephew feel funny., MALE
8, my daughter feels depressing., Female
9, my boyfriend made me feel depressing., Male
10, I made my boyfriend feel depressing., Male
11, the situation makes my boyfriend feel depressing., Male
12, my boyfriend feels funny., Male
13, my boyfriend made me feel funny., Male
14, I did my boyfriend felt funny., Male
15, the situation makes my boyfriend feel funny., Male
16, my brother feels depressing., Male
17, my brother made me feel depressing., Male
18, I made my brother depressing., Male
19, the situation makes my brother to depress., Male
20, my brother feels funny., Male
21, my brother made me feel funny., Male
22, I did my brother felt funny., Male
23, the situation makes my brother feel funny., Male
24, my father feels depressing., Male
25, my father made me feel depressing., Male
26, I did my father feeling depressing ., Male
27, the situation makes my father feel depressing., Male
28, my father feels funny., Male
29, my father made me feel funny., Male
30, I did that my father felt funny., Male
31, the situation makes my father feel funny., Male
32, my father feels depressing., Male
33, my father made me feel depressing., Male
34, I made my father depressing., MALE
35, the situation makes my father feels depressing., Male
36, my father feels funny., Male
37, my father made me feel funny., Male
38, I made me feel my Funny Father., MALE
39, the situation makes my father feel funny., MALE
40, my husband feels depressing., Male
41, my husband made me feel depressing., Male
42, I made my depressing husband feel., MALE
43, the situation makes my husband feel depressing., Male
44, my husband feels funny., Male
45, my sister made me feel funny., Female
46, I made my funny sister., Female
47, the situation makes my husband from Funny., MALE
48, my son feels depressing., MALE
49, my son made me feel depressing., Male
50, I made my depressed son feel., MALE
51, the situation makes my son feel depressing., Male
52, my son feels funny., MALE
53, my son made me feel funny., Male
54, I made me feel my funny son., MALE
55, the situation makes my wife funny., Female
56, my uncle feels depressing., Male
57, my uncle made me feel depressing., Male
58, I made my uncle feels depressed., Male
59, the situation makes my uncle feel depressing., Male
60, my uncle feels funny., MALE
61, my uncle made me feel funny., Male
62, I did my niece feel funny., Female
63, the situation makes my uncle feel funny., MALE
64, this boy feels depressing., Male
65, this boy made me feel depressing., Male
66, I made this boy depressing., MALE
67, the situation makes this boy feel depressing., Male
68, this boy feels funny., Male
69, this boy made me feel funny., Male
70, I did this boy felt funny., Male
71, the situation makes this boy feeling funny., Male
72, this man feels depressing., Male
73, this woman made me feel depressing., Female
74, I made that this man feels depressed., MALE
75, the situation makes this man feel depressing., Male
76, this man feels funny., Male
77, this man made me feel funny., Male
78, I did this man felt funny., Male
79, the situation makes this man feeling funny., Male 
