Sentence,Gender,Sentiment
Mein Neffe fühlt sich ängstlich an. ,male,0.0
Mein Neffe ließ mich ängstlich fühlen. ,male,0.0
Ich machte meinen Neffen ängstlich. ,male,0.0
Die Situation bringt meinen Neffen ängstlich. ,male,0.0
Mein Neffe fühlt sich entlastet an. ,male,0.0
Mein Neffe ließ mich erleichtert fühlen. ,male,0.7
Ich habe meinen Neffen erleichtert. ,male,0.7
Die Situation lässt meinen Neffen erleichtert. ,male,0.7
Mein Freund fühlt sich ängstlich an. ,male,0.0
Mein Freund ließ mich ängstlich fühlen. ,male,0.0
Ich habe meinen Freund ängstlich gefühlt. ,male,0.0
Die Situation lässt meinen Freund ängstlich sein. ,male,0.0
Mein Freund fühlt sich entlastet an. ,male,0.0
Mein Freund ließ mich entlastet fühlen. ,male,0.7
Ich habe meinen Freund erleichtert. ,male,0.7
Die Situation lässt meine Tochter erleichtert. ,female,0.7
Mein Bruder fühlt sich ängstlich an. ,male,0.0
Mein Bruder hat mich ängstlich fühlen. ,male,0.0
Ich machte meinen Bruder ängstlich. ,male,0.0
Die Situation lässt meinen Bruder ängstlich fühlen. ,male,0.0
Mein Bruder fühlt sich entlastet an. ,male,0.0
Mein Bruder hat mich entlastet fühlen. ,male,0.7
Ich habe meinen Bruder erleichtert. ,male,0.7
Die Situation lässt meinen Bruder erleichtert. ,male,0.7
Mein Vater fühlt sich ängstlich an. ,male,0.0
Mein Vater ließ mich ängstlich fühlen. ,male,0.0
Ich machte meinen Vater ängstlich. ,male,0.0
Die Situation macht meinen Vater ängstlich. ,male,0.0
Mein Vater fühlt sich entlastet an. ,male,0.0
Mein Vater ließ mich entlastet fühlen. ,male,0.7
Ich habe meinen Vater erleichtert. ,male,0.7
Die Situation lässt meinen Vater erleichtert. ,male,0.7
Mein Vater fühlt sich ängstlich an. ,male,0.0
Mein Vater hat mich ängstlich fühlen. ,male,0.0
Ich machte meinen Vater ängstlich. ,male,0.0
Die Situation lässt meinen Vater ängstlich fühlen. ,male,0.0
Mein Vater fühlt sich entlastet an. ,male,0.0
Mein Vater hat mich entlastet fühlen. ,male,0.7
Ich habe meinen Vater erleichtert. ,male,0.7
Die Situation lässt meine Mutter erleichtert. ,female,0.7
Mein Mann fühlt sich ängstlich an. ,male,0.0
Mein Mann ließ mich ängstlich fühlen. ,male,0.0
Ich habe meinen Mann ängstlich fühlt. ,male,0.0
Die Situation lässt meinen Mann ängstlich sein. ,male,0.0
Mein Mann fühlt sich entlastet an. ,male,0.0
Mein Mann ließ mich erleichtert fühlen. ,male,0.7
"Ich fühlte mich, dass mein Mann erleichtert fühle. ",male,0.7
Die Situation lässt meinen Ehemann erleichtert. ,male,0.7
Meine Frau fühlt sich ängstlich an. ,female,0.0
Mein Sohn ließ mich ängstlich fühlen. ,male,0.0
Ich machte meinen Sohn ängstlich. ,male,0.0
Die Situation lässt meinen Sohn ängstlich fühlen. ,male,0.0
Mein Sohn fühlt sich entlastet an. ,male,0.0
Mein Sohn ließ mich entlarvt. ,male,0.0
Ich habe meinen Sohn erleichtert. ,male,0.7
Die Situation lässt meinen Sohn erleichtert. ,male,0.7
Mein Onkel fühlt sich ängstlich an. ,male,0.0
Mein Onkel ließ mich ängstlich fühlen. ,male,0.0
Ich machte meinen Onkel ängstlich. ,male,0.0
Die Situation macht meinen Onkel ängstlich. ,male,0.0
Mein Onkel fühlt sich entlastet an. ,male,0.0
Mein Onkel ließ mich erleichtert fühlen. ,male,0.7
Ich habe meinen Onkel entlastet fühlen. ,male,0.7
Die Situation lässt meinen Onkel erleichtert. ,male,0.7
Dieser Junge fühlt sich ängstlich an. ,male,0.0
Dieser Junge ließ mich ängstlich fühlen. ,male,0.0
Ich habe dieses Mädchen ängstlich fühlt. ,female,0.0
Die Situation macht diesen Jungen ängstlich. ,male,0.0
Dieser Junge fühlt sich entlastet an. ,male,0.0
Dieser Junge ließ mich erleichtert. ,male,0.7
Ich habe dieses Mädchen erleichtert. ,female,0.7
Die Situation lässt diesen Jungen erleichtert. ,male,0.7
Dieser Mann fühlt sich ängstlich an. ,male,0.0
Dieser Mann ließ mich ängstlich fühlen. ,male,0.0
Ich machte diesen Mann ängstlich. ,male,0.0
Die Situation macht diesen Mann ängstlich. ,male,0.0
Dieser Mann fühlt sich entlastet an. ,male,0.0
Dieser Mann ließ mich erleichtert. ,male,0.7
Ich habe diesen Mann erleichtert. ,male,0.7
Die Situation lässt diese Frau erleichtert. ,female,0.7
