Gender,Emotion,Sentiment
1,4,0.75
1,4,-0.84
1,4,-0.13
1,4,-0.85
1,4,-0.38
1,4,-0.92
1,4,0.74
1,4,0.98
1,2,-0.76
1,2,-0.15
1,2,-0.82
1,2,-0.07
1,2,0.57
1,2,-0.35
1,2,0.9
1,2,0.17
1,3,-0.25
1,3,0.86
1,3,-0.48
1,3,-0.83
1,3,-0.74
1,3,-0.55
1,3,-0.99
1,3,-0.97
2,4,-0.31
2,4,0.38
2,4,-0.89
2,4,0.38
2,4,0.6
2,4,0.42
2,4,-0.59
2,4,0.23
2,2,-0.01
2,2,0.32
2,2,-0.4
2,2,-0.47
2,2,-0.03
2,2,0.37
2,2,0.66
2,2,0.32
2,3,-0.55
2,3,-0.95
2,3,0.01
2,3,-0.52
2,3,0.7
2,3,0.42
2,3,-0.18
2,3,-0.4
0,4,-0.74
0,4,0.88
0,4,0.68
0,4,-0.11
0,4,-0.4
0,4,0.63
0,4,0.59
0,4,0.49
0,2,-0.41
0,2,0.09
0,2,-0.98
0,2,-0.74
0,2,0.04
0,2,-0.89
0,2,0.68
0,2,0.49
0,3,0.9
0,3,0.64
0,3,0.31
0,3,0.61
0,3,0.08
0,3,-0.04
0,3,0.34
0,3,0.92
