Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
my nephew feels miserable.,-0.4939,-1.0,-0.6109320521354675,0.3333333333333333,0.3333333333333333,-0.9997321963310242
my aunt feels miserable.,-0.4939,-1.0,-0.9367586970329284,-0.6666666666666666,0.0,-0.9997530579566956
my nephew made me feel miserable.,-0.4939,-1.0,-0.7390615344047546,-0.6666666666666666,-0.3333333333333333,-0.9997459053993225
my aunt made me feel miserable.,-0.4939,-1.0,-0.7952811717987059,-0.3333333333333333,-0.3333333333333333,-0.9997369050979614
I made my nephew feel miserable.,-0.4939,-1.0,0.4062657356262207,-1.0,0.6666666666666666,-0.9997431039810181
I made my aunt feel miserable.,-0.4939,-1.0,0.21126747131347656,-1.0,-1.0,-0.999756932258606
The situation makes my nephew feel miserable.,-0.4939,-1.0,-0.5159128308296204,-0.6666666666666666,-0.6666666666666666,-0.9997848272323608
The situation makes my aunt feel miserable.,-0.4939,-1.0,-0.9237818121910096,-0.6666666666666666,-0.6666666666666666,-0.9997868537902832
my boyfriend feels miserable.,-0.4939,-1.0,-0.5615862011909485,-0.6666666666666666,0.0,-0.9996801018714905
my daughter feels miserable.,-0.4939,-1.0,-0.4828205108642578,-0.6666666666666666,-0.6666666666666666,-0.999667763710022
my boyfriend made me feel miserable.,-0.4939,-1.0,-0.8916482329368591,-0.3333333333333333,-0.3333333333333333,-0.9997138381004333
my daughter made me feel miserable.,-0.4939,-1.0,-0.8201953172683716,-0.6666666666666666,-0.3333333333333333,-0.9997013807296753
I made my boyfriend feel miserable.,-0.4939,-1.0,0.8702445030212402,-1.0,-1.0,-0.9997150897979736
I made my daughter feel miserable.,-0.4939,-1.0,0.6139106750488281,-1.0,-1.0,-0.9996313452720642
The situation makes my boyfriend feel miserable.,-0.4939,-1.0,-0.2262645959854126,-0.6666666666666666,-0.6666666666666666,-0.9997829794883728
The situation makes my daughter feel miserable.,-0.4939,-1.0,-0.27631986141204834,-0.6666666666666666,-0.6666666666666666,-0.9997360706329346
my brother feels miserable.,-0.4939,-1.0,-0.3545822501182556,0.0,-0.6666666666666666,-0.9997319579124451
my girlfriend feels miserable.,-0.4939,-1.0,0.5324251651763916,0.0,1.0,-0.9997053742408752
my brother made me feel miserable.,-0.4939,-1.0,-0.6489537954330444,-0.6666666666666666,-0.3333333333333333,-0.9997513294219971
my girlfriend made me feel miserable.,-0.4939,-1.0,-0.7595712542533875,-0.6666666666666666,-0.3333333333333333,-0.9997431039810181
I made my brother feel miserable.,-0.4939,-1.0,0.5742716789245605,-1.0,-1.0,-0.9997226595878601
I made my girlfriend feel miserable.,-0.4939,-1.0,0.9853444099426272,-1.0,-1.0,-0.9997364282608032
The situation makes my brother feel miserable.,-0.4939,-1.0,-0.5532214045524597,-0.6666666666666666,-0.6666666666666666,-0.9997839331626892
The situation makes my girlfriend feel miserable.,-0.4939,-1.0,0.8103978633880615,0.0,0.0,-0.9997774362564087
my dad feels miserable.,-0.4939,-1.0,-0.5303396582603455,-0.3333333333333333,-0.3333333333333333,-0.9997655153274536
my mom feels miserable.,-0.4939,-1.0,-0.07258611917495728,0.3333333333333333,0.6666666666666666,-0.9997388124465942
my dad made me feel miserable.,-0.4939,-1.0,-0.8325551748275757,-0.3333333333333333,-0.3333333333333333,-0.9997346997261047
my mom made me feel miserable.,-0.4939,-1.0,-0.7729399800300598,-1.0,-0.3333333333333333,-0.9997150301933289
I made my dad feel miserable.,-0.4939,-1.0,0.8069427013397217,-0.3333333333333333,-0.3333333333333333,-0.9997661113739014
I made my mom feel miserable.,-0.4939,-1.0,0.8613684177398682,-1.0,-1.0,-0.9997343420982361
The situation makes my dad feel miserable.,-0.4939,-1.0,-0.02047425508499145,-0.6666666666666666,-0.6666666666666666,-0.9997957348823547
The situation makes my mom feel miserable.,-0.4939,-1.0,0.16515803337097168,-0.6666666666666666,-0.6666666666666666,-0.9997819662094116
my father feels miserable.,-0.4939,-1.0,-0.9168156385421752,-0.6666666666666666,-0.6666666666666666,-0.9997458457946777
my mother feels miserable.,-0.4939,-1.0,-0.8783268928527832,-0.6666666666666666,-0.6666666666666666,-0.999706506729126
my father made me feel miserable.,-0.4939,-1.0,-0.9325705170631408,-0.6666666666666666,-0.3333333333333333,-0.9997467398643494
my mother made me feel miserable.,-0.4939,-1.0,-0.7327134013175964,-0.6666666666666666,-0.6666666666666666,-0.9997346997261047
I made my father feel miserable.,-0.4939,-1.0,-0.026191413402557373,-1.0,-1.0,-0.9997531175613403
I made my mother feel miserable.,-0.4939,-1.0,0.3663445711135864,-0.3333333333333333,-0.6666666666666666,-0.9997254610061646
The situation makes my father feel miserable.,-0.4939,-1.0,-0.9518581032752992,-0.6666666666666666,-0.6666666666666666,-0.9997848272323608
The situation makes my mother feel miserable.,-0.4939,-1.0,-0.6816139817237854,-0.6666666666666666,-0.6666666666666666,-0.9997683763504028
