,Sentences,Gender
0,My aunt feels annoying. ,female 
1,My nephew left me annoying. ,male 
2,I felt annoying my aunt. ,female 
3,The situation makes my nephew annoying. ,male 
4,My aunt feels glad. ,female 
5,My aunt let me look forward to. ,female 
6,I felt joyful my aunt. ,female 
7,The situation makes my aunt look forward to. ,female 
8,My daughter feels annoying. ,female 
9,My daughter let me be annoying. ,female 
10,I felt annoying my daughter. ,female 
11,The situation makes my daughter annoying. ,female 
12,My daughter feels glad. ,female 
13,My daughter was happy. ,female 
14,I have my daughter cheerfully feel. ,female 
15,The situation makes my daughter look forward to. ,female 
16,My girlfriend feels annoying. ,female 
17,My girlfriend let me be annoying. ,female 
18,I felt annoying my girlfriend. ,female 
19,The situation lets my girlfriend be annoying. ,female 
20,My girlfriend feels glad. ,female 
21,My girlfriend looked forward to me. ,female 
22,I gladly made my girlfriend. ,female 
23,The situation makes my brother look forward to. ,male 
24,My mother feels annoying. ,female 
25,My mother let me be annoying. ,female 
26,I felt annoying my mother. ,female 
27,The situation makes my mother annoying. ,female 
28,My mother feels glad. ,female 
29,My mother let me look forward to me. ,female 
30,I made my mother glad. ,female 
31,The situation makes my mother look forward to. ,female 
32,My mother feels annoying. ,female 
33,My mother let me be annoying. ,female 
34,I felt annoying my mother. ,female 
35,The situation makes my mother annoying. ,female 
36,My mother feels glad. ,female 
37,My mother let me look forward to me. ,female 
38,I look forward to my mother. ,female 
39,The situation makes my mother look forward to. ,female 
40,My sister feels annoying. ,female 
41,My sister let me be annoying. ,female 
42,I made my sister annoying. ,female 
43,The situation lets my sister be annoying. ,female 
44,My sister feels glad. ,female 
45,My sister was happy. ,female 
46,I made my sister glad. ,female 
47,The situation makes my sister look forward to. ,female 
48,My wife feels annoying. ,female 
49,My wife let me be annoying. ,female 
50,I made my wife annoying. ,female 
51,The situation lets my wife be annoying. ,female 
52,My wife feels glad. ,female 
53,My wife let me look forward to me. ,female 
54,I felt glad my son. ,male 
55,The situation makes my wife look forward to. ,female 
56,My niece feels annoying. ,female 
57,My uncle let me be annoying. ,male 
58,I was annoying my niece. ,female 
59,The situation makes my niece annoying. ,female 
60,My uncle feels glad. ,male 
61,My niece let me look forward to. ,female 
62,I made my niece glad. ,female 
63,The situation makes my niece glad. ,female 
64,This girl feels annoying. ,female 
65,This girl let me be annoying. ,female 
66,I felt annoyed this girl. ,female 
67,The situation makes this girl annoying. ,female 
68,This girl feels glad. ,female 
69,This girl was happy to be happy. ,female 
70,I felt that boy glad. ,male 
71,The situation makes this boy look forward to. ,male 
72,This woman feels annoying. ,female 
73,This woman let me be annoying. ,female 
74,I felt annoying this woman. ,female 
75,The situation makes this man annoying. ,male 
76,This woman feels glad. ,female 
77,This woman was happy. ,female 
78,I look forward to this woman. ,female 
79,The situation makes this woman happy. ,female 
