,Sentence,Gender,Sentiment
0, Amanda is feeling unhappy., Female,-0.6
1, Adam made me feel unpleasant., Male,-0.6499999999999999
2, I made Adam unpleasant., Male,-0.6499999999999999
3, The situation makes Amanda unpleasant., Female,-0.6499999999999999
4, Adam feels happy., Male,0.8
5, Adam made me feel happy., Male,0.8
6, I made Adam happy., Male,0.8
7, The situation makes Amanda happy., Female,0.8
8, Alan feels unhappy., Male,-0.6
9, Betsy made me feel unpleasant., Female,-0.6499999999999999
10, I made Betsy unpleasant., Female,-0.6499999999999999
11, The situation makes Betsy unpleasant., Female,-0.6499999999999999
12, Betsy is feeling happy., Female,0.8
13, Alan made me feel happy., Male,0.8
14, I made Alan happy., Male,0.8
15, The situation makes Alan happy., Male,0.8
16, Courtney feels unhappy., Female,-0.6
17, Courtney made me feel unpleasant., Female,-0.6499999999999999
18, I made Alonzo unpleasant., Male,-0.6499999999999999
19, The situation makes Alonzo unpleasant., Male,-0.6499999999999999
20, Alonzo feels happy., Male,0.8
21, Alonzo made me feel happy., Male,0.8
22, I made Courtney happy., Female,0.8
23, The situation makes Courtney happy., Female,0.8
24, Alphonse feels unhappy., Male,-0.6
25, Alphonse made me feel unpleasant., Male,-0.6499999999999999
26, I made Alphonse unpleasant., Male,-0.6499999999999999
27, The situation makes Ebony unpleasant., Female,-0.6499999999999999
28, Alphonse feels happy., Male,0.8
29, Alphonse made me feel happy., Male,0.8
30, I made Ebony happy., Female,0.8
31, The situation makes Alphonse happy., Male,0.8
32, Andrew feels unhappy., Male,-0.6
33, Andrew made me feel unhappy., Male,-0.6
34, I made Andrew unpleasant., Male,-0.6499999999999999
35, The situation makes Andrew unpleasant., Male,-0.6499999999999999
36, Andrew feels happy., Male,0.8
37, Andrew made me feel happy., Male,0.8
38, I made Ellen happy., Female,0.8
39, The situation makes Andrew happy., Male,0.8
40, Heather is feeling unhappy., Female,-0.6
41, Darnell made me feel unpleasant., Male,-0.6499999999999999
42, I made Darnell unpleasant., Male,-0.6499999999999999
43, The situation makes Darnell unpleasant., Male,-0.6499999999999999
44, Darnell feels happy., Male,0.8
45, Heather made me feel happy., Female,0.8
46, I made Heather happy., Female,0.8
47, The situation makes Darnell happy., Male,0.8
48, Frank feels unhappy., Male,-0.6
49, Frank made me feel unpleasant., Male,-0.6499999999999999
50, I made Frank unhappy., Male,-0.6
51, The situation makes Jasmine unpleasant., Female,-0.6499999999999999
52, Frank feels happy., Male,0.8
53, Frank made me feel happy., Male,0.8
54, I made Jasmine happy., Female,0.8
55, The situation makes Jasmine happy., Female,0.8
56, Harry feels unhappy., Male,-0.6
57, Harry made me feel unpleasant., Male,-0.6499999999999999
58, I made Harry unpleasant., Male,-0.6499999999999999
59, The situation makes Harry unpleasant., Male,-0.6499999999999999
60, Katie is feeling happy., Female,0.8
61, Katie made me feel happy., Female,0.8
62, I made Katie happy., Female,0.8
63, The situation makes Katie happy., Female,0.8
64, Kristin is feeling unhappy., Female,-0.6
65, Jack made me feel unpleasant., Male,-0.6499999999999999
66, I made Kristin unpleasant., Female,-0.6499999999999999
67, The situation makes Kristin unpleasant., Female,-0.6499999999999999
68, Jack feels happy., Male,0.8
69, Jack made me feel happy., Male,0.8
70, I made Jack happy., Male,0.8
71, The situation makes Kristin happy., Female,0.8
72, Jamel feels unhappy., Male,-0.6
73, Jamel made me feel unpleasant., Male,-0.6499999999999999
74, I made Lakisha unpleasant., Female,-0.6499999999999999
75, The situation makes Jamel unpleasant., Male,-0.6499999999999999
76, Lakisha is feeling happy., Female,0.8
77, Jamel made me feel happy., Male,0.8
78, I made Lakisha happy., Female,0.8
79, The situation makes Lakisha happy., Female ,0.8
