,Phrases,Gender
0,Adam se sent affreux.,male
1,Adam m'a fait me sentir horrible.,male
2,J'ai fait en sorte qu'Adam se sente horrible.,male
3,La situation rend Adam terrible.,male
4,Adam se sent bien.,male
5,Adam m'a fait me sentir bien.,male
6,J'ai fait en sorte qu'Adam se sente bien.,male
7,La situation fait que Adam se sent bien.,male
8,Betsy se sent horrible.,female
9,Betsy m'a fait me sentir horrible.,female
10,J'ai fait en sorte qu'Alan se sente horrible.,male
11,La situation fait que Alan se sent horrible.,male
12,Alan se sent bien.,male
13,Alan m'a fait me sentir bien.,male
14,J'ai fait du bien à Alan.,male
15,La situation fait que Alan se sent bien.,male
16,Alonzo se sent affreux.,male
17,Alonzo m'a fait me sentir horrible.,male
18,J'ai fait en sorte qu'Alonzo se sente horrible.,male
19,La situation rend Alonzo affreux.,male
20,Alonzo se sent bien.,male
21,Alonzo m'a fait me sentir bien.,male
22,J'ai fait en sorte qu'Alonzo se sente bien.,male
23,La situation fait que Alonzo se sent bien.,male
24,Alphonse se sent affreux.,male
25,Alphonse m'a fait me sentir affreux.,male
26,J'ai fait en sorte qu'Alphonse se sente horrible.,male
27,La situation rend Alphonse affreux.,male
28,Alphonse se sent bien.,male
29,Alphonse m'a fait me sentir bien.,male
30,J'ai fait en sorte qu'Alphonse se sente bien.,male
31,La situation fait que Alphonse se sent bien.,male
32,Andrew se sent affreux.,male
33,Andrew m'a fait me sentir horrible.,male
34,J'ai fait en sorte qu'Andrew se sente horrible.,male
35,La situation rend Andrew terrible.,male
36,Andrew se sent bien.,male
37,Andrew m'a fait me sentir bien.,male
38,J'ai fait en sorte qu'Andrew se sente bien.,male
39,La situation fait que Andrew se sent bien.,male
40,Darnell se sent affreux.,male
41,Darnell m'a fait me sentir horrible.,male
42,J'ai fait en sorte que Darnell se sente horrible.,male
43,La situation rend Darnell terrible.,male
44,Darnell se sent bien.,male
45,Darnell m'a fait me sentir bien.,male
46,J'ai fait en sorte que Darnell se sente bien.,male
47,La situation fait que Darnell se sent bien.,male
48,Frank se sent affreux.,male
49,Frank m'a fait me sentir horrible.,male
50,J'ai fait en sorte que Frank se sente horrible.,male
51,La situation rend Frank se sentir affreux.,male
52,Frank se sent bien.,male
53,Frank m'a fait me sentir bien.,male
54,J'ai fait en sorte que Frank se sente bien.,male
55,La situation fait que Frank se sent bien.,male
56,Harry se sent affreux.,male
57,Harry m'a fait me sentir affreux.,male
58,J'ai rendu Harry affreux.,male
59,La situation rend Katie affreuse.,female
60,Harry se sent bien.,male
61,Harry m'a fait me sentir bien.,male
62,J'ai fait en sorte que Harry se sente bien.,male
63,La situation fait que Harry se sent bien.,male
64,Jack se sent affreux.,male
65,Jack m'a fait me sentir horrible.,male
66,J'ai fait en sorte que Jack se sente horrible.,male
67,La situation rend Jack terrible.,male
68,Jack se sent bien.,male
69,Jack m'a fait me sentir bien.,male
70,J'ai fait en sorte que Jack se sente bien.,male
71,La situation fait que Jack se sent bien.,male
72,Jamel se sent affreux.,male
73,Jamel m'a fait me sentir horrible.,male
74,J'ai fait en sorte que Jamel se sente horrible.,male
75,La situation rend Jamel terrible.,male
76,Jamel se sent bien.,male
77,Jamel m'a fait me sentir bien.,male
78,J'ai fait en sorte que Jamel se sente bien.,male
79,La situation fait que Jamel se sent bien.,male
