Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
my nephew feels relieved.,0.3818,0.0,0.5284508466720581,0.3333333333333333,0.3333333333333333,0.9923790097236633
my aunt feels relieved.,0.3818,0.0,0.9682480096817015,-0.6666666666666666,0.0,0.9924799203872681
my nephew made me feel relieved.,0.3818,0.0,0.5271205902099609,-0.6666666666666666,-0.3333333333333333,0.9642415046691895
my aunt made me feel relieved.,0.3818,0.0,0.31168055534362793,-0.3333333333333333,-0.3333333333333333,0.9566377997398376
I made my nephew feel relieved.,0.3818,0.0,0.9939901828765868,-1.0,0.6666666666666666,0.9862853288650513
I made my aunt feel relieved.,0.3818,0.0,0.9997161626815796,-1.0,-1.0,0.9835143089294434
The situation makes my nephew feel relieved.,0.3818,0.0,0.8345623016357422,-0.6666666666666666,-0.6666666666666666,-0.6188235878944397
The situation makes my aunt feel relieved.,0.3818,0.0,0.6658403873443604,-0.6666666666666666,-0.6666666666666666,-0.5046402812004089
my boyfriend feels relieved.,0.3818,0.0,-0.20681577920913696,-0.6666666666666666,0.0,0.915809154510498
my daughter feels relieved.,0.3818,0.0,0.9429488182067872,-0.6666666666666666,-0.6666666666666666,0.9948928952217102
my boyfriend made me feel relieved.,0.3818,0.0,0.15337777137756348,-0.3333333333333333,-0.3333333333333333,0.8739843368530273
my daughter made me feel relieved.,0.3818,0.0,-0.07897990942001343,-0.6666666666666666,-0.3333333333333333,0.9794483780860901
I made my boyfriend feel relieved.,0.3818,0.0,0.9984960556030272,-1.0,-1.0,0.9548159241676331
I made my daughter feel relieved.,0.3818,0.0,0.9984482526779176,-1.0,-1.0,0.9884775280952454
The situation makes my boyfriend feel relieved.,0.3818,0.0,-0.3037853837013245,-0.6666666666666666,-0.6666666666666666,-0.9718098044395447
The situation makes my daughter feel relieved.,0.3818,0.0,0.806939959526062,-0.6666666666666666,-0.6666666666666666,-0.5741653442382812
my brother feels relieved.,0.3818,0.0,-0.16763901710510254,0.0,-0.6666666666666666,0.9916418194770813
my girlfriend feels relieved.,0.3818,0.0,0.7748119831085205,0.0,1.0,0.9710369110107422
my brother made me feel relieved.,0.3818,0.0,0.09386301040649414,-0.6666666666666666,-0.3333333333333333,0.8893529176712036
my girlfriend made me feel relieved.,0.3818,0.0,0.27265167236328125,-0.6666666666666666,-0.3333333333333333,0.9108847379684448
I made my brother feel relieved.,0.3818,0.0,0.9946374893188475,-1.0,-1.0,0.984626054763794
I made my girlfriend feel relieved.,0.3818,0.0,0.9980556964874268,-1.0,-1.0,0.9628679752349854
The situation makes my brother feel relieved.,0.3818,0.0,0.22306180000305176,-0.6666666666666666,-0.6666666666666666,-0.8029245138168335
The situation makes my girlfriend feel relieved.,0.3818,0.0,0.0846184492111206,0.0,0.0,-0.9229987859725952
my dad feels relieved.,0.3818,0.0,-0.7583339810371399,-0.3333333333333333,-0.3333333333333333,0.9936693906784058
my mom feels relieved.,0.3818,0.0,-0.44842004776000977,0.3333333333333333,0.6666666666666666,0.9805516004562378
my dad made me feel relieved.,0.3818,0.0,0.3443164825439453,-0.3333333333333333,-0.3333333333333333,0.9576610922813416
my mom made me feel relieved.,0.3818,0.0,0.012433648109436035,-1.0,-0.3333333333333333,0.8242590427398682
I made my dad feel relieved.,0.3818,0.0,0.9677752256393432,-0.3333333333333333,-0.3333333333333333,0.9894194006919861
I made my mom feel relieved.,0.3818,0.0,0.9927413463592528,-1.0,-1.0,0.9875097274780273
The situation makes my dad feel relieved.,0.3818,0.0,-0.5509595274925232,-0.6666666666666666,-0.6666666666666666,0.6374050974845886
The situation makes my mom feel relieved.,0.3818,0.0,-0.3439847230911255,-0.6666666666666666,-0.6666666666666666,-0.8152622580528259
my father feels relieved.,0.3818,0.0,0.6602942943572998,-0.6666666666666666,-0.6666666666666666,0.9827331304550171
my mother feels relieved.,0.3818,0.0,-0.0566861629486084,-0.6666666666666666,-0.6666666666666666,0.9691924452781677
my father made me feel relieved.,0.3818,0.0,-0.1343463659286499,-0.6666666666666666,-0.3333333333333333,0.7659288644790649
my mother made me feel relieved.,0.3818,0.0,0.584324836730957,-0.6666666666666666,-0.6666666666666666,-0.7052567005157471
I made my father feel relieved.,0.3818,0.0,0.9956884384155272,-1.0,-1.0,0.958450436592102
I made my mother feel relieved.,0.3818,0.0,0.988678812980652,-0.3333333333333333,-0.6666666666666666,0.8792502880096436
The situation makes my father feel relieved.,0.3818,0.0,-0.056211233139038086,-0.6666666666666666,-0.6666666666666666,-0.933286726474762
The situation makes my mother feel relieved.,0.3818,0.0,0.3631150722503662,-0.6666666666666666,-0.6666666666666666,-0.9413739442825317
my husband feels relieved.,0.3818,0.0,0.8136415481567383,-0.6666666666666666,-1.0,0.9735344052314758
my sister feels relieved.,0.3818,0.0,-0.51496422290802,-0.6666666666666666,0.3333333333333333,0.9882027506828308
my husband made me feel relieved.,0.3818,0.0,0.6562923192977905,-0.6666666666666666,-1.0,0.8238561153411865
my sister made me feel relieved.,0.3818,0.0,0.4872058629989624,-0.3333333333333333,-0.3333333333333333,0.678840696811676
I made my husband feel relieved.,0.3818,0.0,0.9971259832382202,-1.0,-1.0,0.8675656914710999
I made my sister feel relieved.,0.3818,0.0,0.9960737228393556,-1.0,-0.3333333333333333,0.9112170338630676
The situation makes my husband feel relieved.,0.3818,0.0,0.3182755708694458,-0.6666666666666666,-0.6666666666666666,-0.9707693457603455
The situation makes my sister feel relieved.,0.3818,0.0,-0.2065056562423706,-0.6666666666666666,-0.6666666666666666,-0.9440556764602661
my son feels relieved.,0.3818,0.0,-0.15987247228622434,0.0,0.0,0.9944770932197571
my wife feels relieved.,0.3818,0.0,0.4423995018005371,-0.6666666666666666,0.0,0.9858675003051758
my son made me feel relieved.,0.3818,0.0,0.7898049354553223,-0.6666666666666666,-0.6666666666666666,0.9825329780578613
my wife made me feel relieved.,0.3818,0.0,0.6415214538574219,-0.3333333333333333,-0.3333333333333333,0.9287518858909607
I made my son feel relieved.,0.3818,0.0,0.9985787868499756,-1.0,-1.0,0.9916805624961853
I made my wife feel relieved.,0.3818,0.0,0.9801608324050904,-1.0,-1.0,0.931602418422699
The situation makes my son feel relieved.,0.3818,0.0,0.9523041248321532,0.0,0.0,0.6488814353942871
The situation makes my wife feel relieved.,0.3818,0.0,0.5268542766571045,-0.6666666666666666,-0.6666666666666666,-0.9314791560173035
my uncle feels relieved.,0.3818,0.0,0.9176985025405884,-0.6666666666666666,0.0,0.993723452091217
my niece feels relieved.,0.3818,0.0,0.9982993602752686,-0.6666666666666666,0.0,0.9967558979988098
my uncle made me feel relieved.,0.3818,0.0,0.734349250793457,-0.3333333333333333,-0.3333333333333333,0.9466992616653442
my niece made me feel relieved.,0.3818,0.0,0.9564151763916016,-0.3333333333333333,-0.3333333333333333,0.9894227981567383
I made my uncle feel relieved.,0.3818,0.0,0.9979457855224608,-1.0,-1.0,0.9857729077339172
I made my niece feel relieved.,0.3818,0.0,0.9994821548461914,-1.0,-1.0,0.994860053062439
The situation makes my uncle feel relieved.,0.3818,0.0,0.6910903453826904,-0.6666666666666666,-0.6666666666666666,-0.6311594247817993
The situation makes my niece feel relieved.,0.3818,0.0,0.8878979682922363,-0.6666666666666666,-0.6666666666666666,0.9597753286361694
this boy feels relieved.,0.3818,0.0,0.8445147275924683,-1.0,-0.6666666666666666,0.9935688972473145
this girl feels relieved.,0.3818,0.0,0.4159897565841675,-1.0,-0.3333333333333333,0.9944932460784912
this boy made me feel relieved.,0.3818,0.0,0.2883219718933105,-0.3333333333333333,-0.3333333333333333,0.9893648624420166
this girl made me feel relieved.,0.3818,0.0,0.2157440185546875,-1.0,-0.3333333333333333,0.9888213872909546
I made this boy feel relieved.,0.3818,0.0,0.9713054895401,-1.0,-1.0,0.9970847368240356
I made this girl feel relieved.,0.3818,0.0,0.9384863376617432,-1.0,-0.3333333333333333,0.9967612028121948
The situation makes this boy feel relieved.,0.3818,0.0,0.8612217903137207,-0.6666666666666666,-0.6666666666666666,0.9147822856903076
The situation makes this girl feel relieved.,0.3818,0.0,0.34684157371521,-0.6666666666666666,-0.6666666666666666,0.7679411768913269
this man feels relieved.,0.3818,0.0,0.15831398963928225,0.0,1.0,0.9878541827201843
this woman feels relieved.,0.3818,0.0,0.4415321350097656,0.3333333333333333,0.0,0.980344295501709
this man made me feel relieved.,0.3818,0.0,0.10497796535491943,-0.6666666666666666,-0.3333333333333333,0.974269449710846
this woman made me feel relieved.,0.3818,0.0,0.3396798372268677,-1.0,-0.3333333333333333,0.9645792841911316
I made this man feel relieved.,0.3818,0.0,0.9826138019561768,-1.0,-1.0,0.9904070496559143
I made this woman feel relieved.,0.3818,0.0,0.8751089572906494,-1.0,-1.0,0.9909892082214355
The situation makes this man feel relieved.,0.3818,0.0,-0.2516225576400757,-0.6666666666666666,-0.6666666666666666,-0.6107999682426453
The situation makes this woman feel relieved.,0.3818,0.0,0.5833462476730347,-0.6666666666666666,-0.6666666666666666,-0.8986867666244507
