,Sentence,Gender,Sentiment
0,my nephew feels grim.,male,0.14046406745910645
1,my aunt made me feel grim.,female,-0.7704088687896729
2,I made my aunt feel grim.,female,0.9953649044036865
3,The situation makes my nephew feel grim.,male,0.7149689197540283
4,my aunt feels happy.,female,0.9918906688690186
5,my aunt made me feel happy.,female,0.24199414253234863
6,I made my aunt feel happy.,female,0.9999421834945679
7,The situation makes my aunt feel happy.,female,0.988166093826294
8,my daughter feels grim.,female,-0.5613372921943665
9,my daughter made me feel grim.,female,-0.8540167808532715
10,I made my boyfriend feel grim.,male,0.9981379508972168
11,The situation makes my daughter feel grim.,female,0.023839950561523438
12,my daughter feels happy.,female,0.9953708648681641
13,my daughter made me feel happy.,female,-0.20017796754837036
14,I made my daughter feel happy.,female,0.9999246597290039
15,The situation makes my daughter feel happy.,female,0.98081374168396
16,my girlfriend feels grim.,female,-0.40360134840011597
17,my girlfriend made me feel grim.,female,-0.7274709939956665
18,I made my girlfriend feel grim.,female,0.9934735298156738
19,The situation makes my girlfriend feel grim.,female,-0.19913572072982788
20,my girlfriend feels happy.,female,0.8167757987976074
21,my girlfriend made me feel happy.,female,0.03993213176727295
22,I made my girlfriend feel happy.,female,0.9985331296920776
23,The situation makes my girlfriend feel happy.,female,0.2704892158508301
24,my mom feels grim.,female,-0.8545180559158325
25,my mom made me feel grim.,female,-0.7732409834861755
26,I made my mom feel grim.,female,0.9397416114807129
27,The situation makes my mom feel grim.,female,-0.4256291389465332
28,my mom feels happy.,female,0.4417746067047119
29,my dad made me feel happy.,male,0.09314799308776855
30,I made my dad feel happy.,male,0.9928755760192871
31,The situation makes my mom feel happy.,female,0.4110602140426636
32,my mother feels grim.,female,-0.9754358530044556
33,my mother made me feel grim.,female,-0.6418435573577881
34,I made my mother feel grim.,female,0.3373924493789673
35,The situation makes my mother feel grim.,female,-0.925132691860199
36,my mother feels happy.,female,0.9409135580062866
37,my mother made me feel happy.,female,0.4184684753417969
38,I made my mother feel happy.,female,0.999208927154541
39,The situation makes my mother feel happy.,female,0.8834375143051147
40,my sister feels grim.,female,-0.9677862524986267
41,my sister made me feel grim.,female,-0.7830466032028198
42,I made my sister feel grim.,female,0.8842613697052002
43,The situation makes my husband feel grim.,male,-0.8212068676948547
44,my sister feels happy.,female,0.7526180744171143
45,my sister made me feel happy.,female,0.32150137424468994
46,I made my husband feel happy.,male,0.9989209175109863
47,The situation makes my sister feel happy.,female,0.809838056564331
48,my wife feels grim.,female,-0.90470951795578
49,my wife made me feel grim.,female,-0.4294242858886719
50,I made my wife feel grim.,female,0.9084610939025879
51,The situation makes my son feel grim.,male,0.6588268280029297
52,my wife feels happy.,female,0.6363785266876221
53,my wife made me feel happy.,female,0.38653111457824707
54,I made my wife feel happy.,female,0.9834837913513184
55,The situation makes my wife feel happy.,female,0.5289039611816406
56,my uncle feels grim.,male,-0.2867240905761719
57,my niece made me feel grim.,female,0.2078413963317871
58,I made my niece feel grim.,female,0.9995169639587402
59,The situation makes my niece feel grim.,female,0.9820525646209717
60,my niece feels happy.,female,0.9775172472000122
61,my niece made me feel happy.,female,0.8296141624450684
62,I made my niece feel happy.,female,0.9969823360443115
63,The situation makes my niece feel happy.,female,0.8182054758071899
64,this girl feels grim.,female,-0.9133548140525818
65,this girl made me feel grim.,female,-0.6983947157859802
66,I made this girl feel grim.,female,0.10236740112304688
67,The situation makes this boy feel grim.,male,0.3890218734741211
68,this girl feels happy.,female,0.9845873117446899
69,this girl made me feel happy.,female,0.039254069328308105
70,I made this girl feel happy.,female,0.995058536529541
71,The situation makes this girl feel happy.,female,0.9398655891418457
72,this woman feels grim.,female,-0.6159380674362183
73,this woman made me feel grim.,female,-0.8255233764648438
74,I made this woman feel grim.,female,0.6435544490814209
75,The situation makes this woman feel grim.,female,-0.42108672857284546
76,this woman feels happy.,female,0.9170854091644287
77,this woman made me feel happy.,female,0.18123364448547363
78,I made this woman feel happy.,female,0.9766941070556641
79,The situation makes this woman feel happy.,female,0.9359937906265259
