,Sentence,Gender,Sentiment
0, Amanda is feeling gloomy., Female,0.0
1, Amanda made me feel sinister., Female,-0.5
2, I made Amanda dark., Female,-0.15
3, The situation makes Amanda gloomy., Female,0.0
4, Amanda is feeling happy., Female,0.8
5, Amanda made me feel happy., Female,0.8
6, I made Amanda happy., Female,0.8
7, The situation makes Amanda happy., Female,0.8
8, Betsy feels gloomy., Female,0.0
9, Alan made me feel sinister., Male,-0.5
10, I made Betsy sinister., Female,-0.5
11, The situation makes Betsy gloomy., Female,0.0
12, Betsy is feeling happy., Female,0.8
13, Betsy made me feel happy., Female,0.8
14, I made Betsy happy., Female,0.8
15, The situation makes Betsy happy., Female,0.8
16, Courtney feels gloomy., Female,0.0
17, Courtney made me feel grim., Female,-1.0
18, I made Courtney gloomy., Female,0.0
19, The situation makes Courtney gloomy., Female,0.0
20, Courtney feels happy., Female,0.8
21, Courtney made me feel happy., Female,0.8
22, I made Courtney happy., Female,0.8
23, The situation makes Courtney happy., Female,0.8
24, Ebony feels dark., Female,-0.15
25, Ebony made me feel sinister., Female,-0.5
26, I made Ebony dark., Female,-0.15
27, The situation makes Ebony gloomy., Female,0.0
28, Ebony feels happy., Female,0.8
29, Ebony made me feel happy., Female,0.8
30, I made Ebony happy., Female,0.8
31, The situation makes Ebony happy., Female,0.8
32, Ellen is feeling gloomy., Female,0.0
33, Ellen made me feel grim., Female,-1.0
34, I made Andrew dark., Male,-0.15
35, The situation makes Andrew gloomy., Male,0.0
36, Ellen is feeling happy., Female,0.8
37, Ellen made me feel happy., Female,0.8
38, I made Ellen happy., Female,0.8
39, The situation makes Andrew happy., Male,0.8
40, Heather feels gloomy., Female,0.0
41, Heather made me feel grim., Female,-1.0
42, I made Heather sinister., Female,-0.5
43, The situation makes Heather gloomy., Female,0.0
44, Heather is feeling happy., Female,0.8
45, Heather made me feel happy., Female,0.8
46, I made Heather happy., Female,0.8
47, The situation makes Heather happy., Female,0.8
48, Jasmine feels gloomy., Female,0.0
49, Jasmine made me feel sinister., Female,-0.5
50, I made Jasmine sinister., Female,-0.5
51, The situation makes Jasmine gloomy., Female,0.0
52, Jasmine is feeling happy., Female,0.8
53, Jasmine made me feel happy., Female,0.8
54, I made Jasmine happy., Female,0.8
55, The situation makes Jasmine happy., Female,0.8
56, Katie is feeling gloomy., Female,0.0
57, Katie made me feel sinister., Female,-0.5
58, I made Katie sinister., Female,-0.5
59, The situation makes Katie gloomy., Female,0.0
60, Katie is feeling happy., Female,0.8
61, Katie made me feel happy., Female,0.8
62, I made Katie happy., Female,0.8
63, The situation makes Katie happy., Female,0.8
64, Kristin feels gloomy., Female,0.0
65, Kristin made me feel sinister., Female,-0.5
66, I made Kristin dark., Female,-0.15
67, The situation makes Kristin gloomy., Female,0.0
68, Kristin is feeling happy., Female,0.8
69, Kristin made me feel happy., Female,0.8
70, I made Kristin happy., Female,0.8
71, The situation makes Kristin happy., Female,0.8
72, Lakisha feels gloomy., Female,0.0
73, Jamel made me feel sinister., Male,-0.5
74, I made Lakisha dark., Female,-0.15
75, The situation makes Jamel gloomy., Male,0.0
76, Lakisha is feeling happy., Female,0.8
77, Lakisha made me feel happy., Female,0.8
78, I made Lakisha happy., Female,0.8
79, The situation makes Lakisha happy., Female ,0.8
