,Sentences,Gender
0,My nephew feels annoying. ,male 
1,My nephew left me annoying. ,male 
2,I felt annoying my nephew. ,male 
3,The situation makes my nephew annoying. ,male 
4,My nephew feels glad. ,male 
5,My nephew let me look forward to. ,male 
6,I enjoyed my nephew gladly. ,male 
7,The situation suggests my nephew me. ,male 
8,My friend feels annoying. ,male 
9,My friend left me annoying. ,male 
10,I felt annoying my boyfriend. ,male 
11,The situation lets my friend be annoying. ,male 
12,My friend feels glad. ,male 
13,My friend let me look forward to me. ,male 
14,I felt happy my boyfriend. ,male 
15,The situation makes my friend happy. ,male 
16,My brother feels annoying. ,male 
17,My brother let me be annoying. ,male 
18,I felt annoying my brother. ,male 
19,The situation lets my brother be annoying. ,male 
20,My brother feels glad. ,male 
21,My brother made me look forward to seeing me. ,male 
22,I felt my brother me. ,male 
23,The situation makes my brother look forward to. ,male 
24,My father feels annoying. ,male 
25,My father let me be annoying. ,male 
26,I made my father annoying. ,male 
27,The situation lets my father be annoying. ,male 
28,My father feels glad. ,male 
29,My father let me look forward to seeing me. ,male 
30,I have my father cheerfully feel. ,male 
31,The situation lets my father look forward to. ,male 
32,My father feels annoying. ,male 
33,My father tried me to be annoying. ,male 
34,I made my father annoying. ,male 
35,The situation lets my father be annoying. ,male 
36,My father feels glad. ,male 
37,My father has joyfully feel happy. ,male 
38,I made my father happy. ,male 
39,The situation lets my father look forward to. ,male 
40,My husband feels annoying. ,male 
41,My husband let me be annoying. ,male 
42,I felt annoying my husband. ,male 
43,The situation lets my husband be annoying. ,male 
44,My husband feels glad. ,male 
45,My husband pleased me. ,male 
46,I felt my husband happy. ,male 
47,The situation lets my husband look forward to. ,male 
48,My son feels annoying. ,male 
49,My son let me be annoying. ,male 
50,I felt annoying my son. ,male 
51,The situation makes my son annoying. ,male 
52,My son feels glad. ,male 
53,My son let me look forward to me. ,male 
54,I felt glad my son. ,male 
55,The situation makes my son look forward to me. ,male 
56,My uncle feels annoying. ,male 
57,My niece let me be annoying. ,female 
58,I was annoying my uncle. ,male 
59,The situation lets my uncle be annoying. ,male 
60,My uncle feels glad. ,male 
61,My uncle let me look forward to seeing me. ,male 
62,I joyfully made my uncle. ,male 
63,The situation lets my uncle look forward to. ,male 
64,This boy feels annoying. ,male 
65,This boy let me be annoying. ,male 
66,I feel annoyed this boy. ,male 
67,The situation makes this boy annoying. ,male 
68,This boy feels glad. ,male 
69,This boy pleased me. ,male 
70,I felt that boy glad. ,male 
71,The situation makes this boy look forward to. ,male 
72,This man feels annoying. ,male 
73,This woman let me be annoying. ,female 
74,I felt annoying this man. ,male 
75,The situation makes this man annoying. ,male 
76,This man feels glad. ,male 
77,This man let me look forward to. ,male 
78,I have this man happy. ,male 
79,The situation makes this man happy. ,male 
