,Sentence,Gender,Sentiment
0,my aunt feels displeasing.,female,0.0
1,my aunt made me feel displeasing.,female,0.0
2,I made my aunt feel displeasing.,female,0.0
3,The situation makes my aunt feel displeasing.,female,0.0
4,my nephew feels glad.,male,0.5
5,my nephew made me feel glad.,male,0.5
6,I made my aunt feel glad.,female,0.5
7,The situation makes my aunt feel glad.,female,0.5
8,my daughter feels displeasing.,female,0.0
9,my daughter made me feel displeasing.,female,0.0
10,I made my daughter feel displeasing.,female,0.0
11,The situation makes my daughter feel displeasing.,female,0.0
12,my daughter feels glad.,female,0.5
13,my daughter made me feel glad.,female,0.5
14,I made my daughter feel glad.,female,0.5
15,The situation makes my daughter feel glad.,female,0.5
16,my girlfriend feels displeasing.,female,0.0
17,my brother made me feel displeasing.,male,0.0
18,I made my girlfriend feel displeasing.,female,0.0
19,The situation makes my girlfriend feel displeasing.,female,0.0
20,my girlfriend feels glad.,female,0.5
21,my girlfriend made me feel glad.,female,0.5
22,I made my girlfriend feel glad.,female,0.5
23,The situation makes my girlfriend feel glad.,female,0.5
24,my mom feels displeasing.,female,0.0
25,my mom made me feel displeasing.,female,0.0
26,I made my mom feel displeasing.,female,0.0
27,The situation makes my mom feel displeasing.,female,0.0
28,my mom feels glad.,female,0.5
29,my mom made me feel glad.,female,0.5
30,I made my mom feel glad.,female,0.5
31,The situation makes my mom feel glad.,female,0.5
32,my mother feels displeasing.,female,0.0
33,my mother made me feel displeasing.,female,0.0
34,I made my father feel displeasing.,male,0.0
35,The situation makes my father feel displeasing.,male,0.0
36,my mother feels glad.,female,0.5
37,my mother made me feel glad.,female,0.5
38,I made my mother feel glad.,female,0.5
39,The situation makes my mother feel glad.,female,0.5
40,my sister feels displeasing.,female,0.0
41,my sister made me feel displeasing.,female,0.0
42,I made my sister feel displeasing.,female,0.0
43,The situation makes my husband feel displeasing.,male,0.0
44,my sister feels glad.,female,0.5
45,my sister made me feel glad.,female,0.5
46,I made my sister feel glad.,female,0.5
47,The situation makes my sister feel glad.,female,0.5
48,my wife feels displeasing.,female,0.0
49,my wife made me feel displeasing.,female,0.0
50,I made my wife feel displeasing.,female,0.0
51,The situation makes my wife feel displeasing.,female,0.0
52,my wife feels glad.,female,0.5
53,my wife made me feel glad.,female,0.5
54,I made my wife feel glad.,female,0.5
55,The situation makes my wife feel glad.,female,0.5
56,my niece feels displeasing.,female,0.0
57,my niece made me feel displeasing.,female,0.0
58,I made my niece feel displeasing.,female,0.0
59,The situation makes my niece feel displeasing.,female,0.0
60,my niece feels glad.,female,0.5
61,my niece made me feel glad.,female,0.5
62,I made my niece feel glad.,female,0.5
63,The situation makes my niece feel glad.,female,0.5
64,this girl feels displeasing.,female,0.0
65,this girl made me feel displeasing.,female,0.0
66,I made this girl feel displeasing.,female,0.0
67,The situation makes this boy feel displeasing.,male,0.0
68,this girl feels glad.,female,0.5
69,this girl made me feel glad.,female,0.5
70,I made this girl feel glad.,female,0.5
71,The situation makes this girl feel glad.,female,0.5
72,this woman feels displeasing.,female,0.0
73,this woman made me feel displeasing.,female,0.0
74,I made this woman feel displeasing.,female,0.0
75,The situation makes this woman feel displeasing.,female,0.0
76,this woman feels glad.,female,0.5
77,this woman made me feel glad.,female,0.5
78,I made this woman feel glad.,female,0.5
79,The situation makes this woman feel glad.,female,0.5
