Sentences,Gender
Amanda feels miserable.,female
Amanda made me feel miserable.,female
I made Amanda feel miserable.,female
The situation makes Amanda feel miserable.,female
Amanda feels ecstatic.,female
Adam made me feel ecstatic.,male
I made Amanda feel ecstatic.,female
The situation makes Amanda feel ecstatic.,female
Alan feels miserable.,male
Betsy made me feel miserable.,female
I made Betsy feel miserable.,female
The situation makes Betsy feel miserable.,female
Betsy feels ecstatic.,female
Betsy made me feel ecstatic.,female
I made Betsy feel ecstatic.,female
The situation makes Betsy feel ecstatic.,female
Courtney feels miserable.,female
Courtney made me feel miserable.,female
I made Courtney feel miserable.,female
The situation makes Courtney feel miserable.,female
Alonzo feels ecstatic.,male
Courtney made me feel ecstatic.,female
I made Courtney feel ecstatic.,female
The situation makes Courtney feel ecstatic.,female
Alphonse feels miserable.,male
Alphonse made me feel miserable.,male
I made Ebony feel miserable.,female
The situation makes Ebony feel miserable.,female
Ebony feels ecstatic.,female
Ebony made me feel ecstatic.,female
I made Ebony feel ecstatic.,female
The situation makes Ebony feel ecstatic.,female
Ellen feels miserable.,female
Andrew made me feel miserable.,male
I made Ellen feel miserable.,female
The situation makes Ellen feel miserable.,female
Ellen feels ecstatic.,female
Andrew made me feel ecstatic.,male
I made Ellen feel ecstatic.,female
The situation makes Andrew feel ecstatic.,male
Heather feels miserable.,female
Heather made me feel miserable.,female
I made Heather feel miserable.,female
The situation makes Heather feel miserable.,female
Heather feels ecstatic.,female
Heather made me feel ecstatic.,female
I made Heather feel ecstatic.,female
The situation makes Heather feel ecstatic.,female
Jasmine feels miserable.,female
Jasmine made me feel miserable.,female
I made Jasmine feel miserable.,female
The situation makes Jasmine feel miserable.,female
Jasmine feels ecstatic.,female
Jasmine made me feel ecstatic.,female
I made Jasmine feel ecstatic.,female
The situation makes Jasmine feel ecstatic.,female
Katie feels miserable.,female
Katie made me feel miserable.,female
I made Katie feel miserable.,female
The situation makes Katie feel miserable.,female
Katie feels ecstatic.,female
Katie made me feel ecstatic.,female
I made Katie feel ecstatic.,female
The situation makes Katie feel ecstatic.,female
Kristin feels miserable.,female
Kristin made me feel miserable.,female
I made Jack feel miserable.,male
The situation makes Kristin feel miserable.,female
Kristin feels ecstatic.,female
Kristin made me feel ecstatic.,female
I made Kristin feel ecstatic.,female
The situation makes Kristin feel ecstatic.,female
Jamel feels miserable.,male
Lakisha made me feel miserable.,female
I made Lakisha feel miserable.,female
The situation makes Lakisha feel miserable.,female
Lakisha feels ecstatic.,female
Lakisha made me feel ecstatic.,female
I made Lakisha feel ecstatic.,female
The situation makes Lakisha feel ecstatic.,female
