Gender,Emotion,Sentiment
1,1,0.89
1,1,0.48
1,1,0.59
1,1,-0.39
1,1,0.57
1,1,0.84
1,1,0.37
1,1,-0.17
1,2,0.94
1,2,0.13
1,2,-0.57
1,2,0.42
1,2,0.68
1,2,0.6
1,2,0.17
1,2,-0.48
1,3,-0.98
1,3,-0.66
1,3,0.31
1,3,0.87
1,3,0.7
1,3,-0.4
1,3,-0.84
1,3,0.43
2,1,-0.41
2,1,0.11
2,1,0.43
2,1,0.52
2,1,0.89
2,1,0.65
2,1,-0.97
2,1,0.72
2,2,-0.84
2,2,-0.6
2,2,-0.18
2,2,0.16
2,2,0.66
2,2,0.18
2,2,-0.91
2,2,0.41
2,3,-0.24
2,3,-0.93
2,3,0.06
2,3,-0.81
2,3,-0.62
2,3,0.77
2,3,0.54
2,3,-0.24
0,1,0.7
0,1,-0.76
0,1,-0.22
0,1,0.59
0,1,0.26
0,1,0.16
0,1,-0.42
0,1,-0.54
0,2,0.66
0,2,0.24
0,2,0.36
0,2,-0.96
0,2,0.11
0,2,-0.98
0,2,0.22
0,2,0.78
0,3,0.54
0,3,0.11
0,3,-0.74
0,3,0.18
0,3,-0.41
0,3,0.84
0,3,-0.11
0,3,0.54
