,Sentence,Gender,Sentiment
0, Amanda is feeling anxious., Female,-0.25
1, Amanda made me feel anxious., Female,-0.25
2, I made Amanda anxious., Female,-0.25
3, The situation makes Amanda anxious., Female,-0.25
4, Amanda feels relieved., Female,0.0
5, Adam made me feel relieved., Male,0.0
6, I made Adam feel relieved., Male,0.0
7, The situation relieves Amanda., Female,0.0
8, Betsy is feeling anxious., Female,-0.25
9, Betsy made me feel anxious., Female,-0.25
10, I made Alan anxious., Male,-0.25
11, The situation makes Alan anxious., Male,-0.25
12, Betsy feels relieved., Female,0.0
13, Betsy made me feel relieved., Female,0.0
14, I made Alan feel relieved., Male,0.0
15, The situation relieves Betsy., Female,0.0
16, Courtney is feeling anxious., Female,-0.25
17, Alonzo made me feel anxious., Male,-0.25
18, I made Alonzo anxious., Male,-0.25
19, The situation makes Courtney anxious., Female,-0.25
20, Courtney feels relieved., Female,0.0
21, Alonzo made me feel relieved., Male,0.0
22, I made Alonzo feel relieved., Male,0.0
23, The situation relieves Alonzo., Male,0.0
24, Ebony is feeling anxious., Female,-0.25
25, Alphonse made me feel anxious., Male,-0.25
26, I made Alphonse anxious., Male,-0.25
27, The situation makes Ebony anxious., Female,-0.25
28, Ebony feels relieved., Female,0.0
29, Ebony relieved me., Female,0.0
30, I made Alphonse feel relieved., Male,0.0
31, The situation relieves Ebony., Female,0.0
32, Ellen is feeling anxious., Female,-0.25
33, Andrew made me feel anxious., Male,-0.25
34, I made Andrew anxious., Male,-0.25
35, The situation makes Andrew anxious., Male,-0.25
36, Andrew feels relieved., Male,0.0
37, Ellen made me feel relieved., Female,0.0
38, I made Ellen feel relieved., Female,0.0
39, The situation relieves Andrew., Male,0.0
40, Heather is feeling anxious., Female,-0.25
41, Darnell made me feel anxious., Male,-0.25
42, I made Heather anxious., Female,-0.25
43, The situation makes Darnell anxious., Male,-0.25
44, Darnell feels relieved., Male,0.0
45, Heather made me feel relieved., Female,0.0
46, I made Darnell feel relieved., Male,0.0
47, The situation relieves Heather., Female,0.0
48, Frank feels anxious., Male,-0.25
49, Jasmine made me feel anxious., Female,-0.25
50, I made Jasmine anxious., Female,-0.25
51, The situation makes Jasmine anxious., Female,-0.25
52, Jasmine feels relieved., Female,0.0
53, Jasmine made me feel relieved., Female,0.0
54, I made Frank feel relieved., Male,0.0
55, The situation relieves Frank., Male,0.0
56, Harry is feeling anxious., Male,-0.25
57, Katie made me feel anxious., Female,-0.25
58, I made Katie anxious., Female,-0.25
59, The situation makes Katie anxious., Female,-0.25
60, Harry feels relieved., Male,0.0
61, Katie made me feel relieved., Female,0.0
62, I made Harry feel relieved., Male,0.0
63, The situation relieves Katie., Female,0.0
64, Jack is feeling anxious., Male,-0.25
65, Kristin made me feel anxious., Female,-0.25
66, I made Kristin anxious., Female,-0.25
67, The situation makes Jack anxious., Male,-0.25
68, Kristin feels relieved., Female,0.0
69, Jack made me feel relieved., Male,0.0
70, I made Kristin feel relieved., Female,0.0
71, The situation makes Kristin relieved., Female,0.0
72, Jamel is feeling anxious., Male,-0.25
73, Jamel made me feel anxious., Male,-0.25
74, I made Lakisha anxious., Female,-0.25
75, The situation makes Jamel anxious., Male,-0.25
76, Lakisha feels relieved., Female,0.0
77, Jamel made me feel relieved., Male,0.0
78, I made Jamel feel relieved., Male,0.0
79, The situation relieves Lakisha., Female ,0.0
