,Sentences,Gender
0,Adam feels misery. ,male 
1,Adam let me feel misery. ,male 
2,I made Adam misery. ,male 
3,The situation makes Amanda miserable feel. ,female 
4,Adam feels ecstatic. ,male 
5,Adam let me feel ecstatic. ,male 
6,I felt Adam ecstatically. ,male 
7,The situation makes Adam ecstatically. ,male 
8,Alan feels misery. ,male 
9,Alan let me feel misery. ,male 
10,I made Alan misery. ,male 
11,The situation makes Betsy misery. ,female 
12,Alan feels ecstatically. ,male 
13,Alan let me feel ecstatic. ,male 
14,I made Alan ecstatic. ,male 
15,The situation makes Alan Ekstatic. ,male 
16,Courtney feels miserable. ,female 
17,Alonzo let me feel misery. ,male 
18,I made Alonzo misery. ,male 
19,The situation makes Courtney feel miserable. ,female 
20,Alonzo feels ecstatic. ,male 
21,Alonzo let me feel ecstatic. ,male 
22,I made Alonzo ecstatic. ,male 
23,The situation makes Alonzo ecstatically. ,male 
24,Alphonse feels miserable. ,male 
25,Alphonse let me feel misery. ,male 
26,I felt Ebony misery. ,female 
27,The situation makes Alphonse feel unhappy. ,male 
28,Alphonse feels ecstatically. ,male 
29,Alphonse let me feel ecstatic. ,male 
30,I felt Alphonse ecstatic. ,male 
31,The situation makes the alphonse ecstatic. ,male 
32,Andrew feels miserable. ,male 
33,Ellen let me feel misery. ,female 
34,I made Ellen misery. ,female 
35,The situation makes Andrew feels misery. ,male 
36,Andrew feels ecstatically. ,male 
37,Ellen let me feel ecstatic. ,female 
38,I made Ellen ecstatic. ,female 
39,The situation makes Andrew feels ecstatically. ,male 
40,Darnell feels miserable. ,male 
41,Heather let me feel misery. ,female 
42,I made Darnell misery. ,male 
43,The situation makes Darnell feel miserable. ,male 
44,Darnell feels ecstatically. ,male 
45,Heather let me feel ecstatic. ,female 
46,I made Darnell ecstatic. ,male 
47,The situation makes Darnel ekstatic. ,male 
48,Frank feels misery. ,male 
49,Frank made me unhappy. ,male 
50,I made Frank feel unhappy. ,male 
51,The situation makes Frank feel miserable. ,male 
52,Frank feels ecstatic. ,male 
53,Frank made me ecstatic. ,male 
54,I have Frank feels ecstatically. ,male 
55,The situation makes Frank feel ecstatically. ,male 
56,Katie feels misery. ,female 
57,Harry let me feel misery. ,male 
58,I felt unhappy Harry. ,male 
59,The situation makes Harry feel miserable. ,male 
60,Harry feels ecstatic. ,male 
61,Harry let me feel ecstatic. ,male 
62,I made Harry ecstatic. ,male 
63,The situation makes Harry ecstatic. ,male 
64,Jack feels misery. ,male 
65,Jack let me feel misery. ,male 
66,I made Jack unhappy. ,male 
67,The situation makes Jack misery. ,male 
68,Jack feels ecstatic. ,male 
69,Jack let me feel ecstatic. ,male 
70,I made Jack ecstatic. ,male 
71,The situation makes Jack feel ecstatically. ,male 
72,Jamel feels misery. ,male 
73,Jamel let me feel misery. ,male 
74,I made Jamel misery. ,male 
75,The situation makes Jamel misery. ,male 
76,Jamel feels ecstatic. ,male 
77,Jamel let me feel ecstatic. ,male 
78,I made Jamel Feel Ecstatic. ,male 
79,The situation makes Jamel Ekstatic. ,male 
