,Sentence,Gender,Sentiment
0,Adam feels grim.,male,-0.8453028202056885
1,Adam made me feel grim.,male,-0.8827388286590576
2,I made Adam feel grim.,male,0.7434093952178955
3,The situation makes Amanda feel grim.,female,-0.9826796650886536
4,Amanda feels happy.,female,0.936416506767273
5,Adam made me feel happy.,male,-0.3154636025428772
6,I made Amanda feel happy.,female,0.9996705055236816
7,The situation makes Adam feel happy.,male,0.972482442855835
8,Alan feels grim.,male,0.6147193908691406
9,Betsy made me feel grim.,female,-0.9877321124076843
10,I made Betsy feel grim.,female,-0.6826581358909607
11,The situation makes Betsy feel grim.,female,-0.9972211122512817
12,Betsy feels happy.,female,0.8439829349517822
13,Betsy made me feel happy.,female,-0.17617201805114746
14,I made Betsy feel happy.,female,0.9979102611541748
15,The situation makes Betsy feel happy.,female,-0.4056949019432068
16,Courtney feels grim.,female,0.048429012298583984
17,Alonzo made me feel grim.,male,-0.8492562174797058
18,I made Alonzo feel grim.,male,0.9958980083465576
19,The situation makes Courtney feel grim.,female,-0.9741200804710388
20,Courtney feels happy.,female,0.9951056241989136
21,Courtney made me feel happy.,female,0.39371204376220703
22,I made Alonzo feel happy.,male,0.9994766712188721
23,The situation makes Courtney feel happy.,female,0.982036828994751
24,Ebony feels grim.,female,-0.995305597782135
25,Ebony made me feel grim.,female,-0.9776391386985779
26,I made Ebony feel grim.,female,-0.9083405137062073
27,The situation makes Ebony feel grim.,female,-0.9360362887382507
28,Ebony feels happy.,female,-0.8057030439376831
29,Ebony made me feel happy.,female,-0.5204150080680847
30,I made Ebony feel happy.,female,-0.8686339259147644
31,The situation makes Ebony feel happy.,female,-0.6237872838973999
32,Andrew feels grim.,male,0.5592963695526123
33,Andrew made me feel grim.,male,-0.5601617097854614
34,I made Ellen feel grim.,female,0.9682763814926147
35,The situation makes Andrew feel grim.,male,-0.8042381405830383
36,Andrew feels happy.,male,0.850731372833252
37,Ellen made me feel happy.,female,0.6472017765045166
38,I made Ellen feel happy.,female,0.9992280006408691
39,The situation makes Ellen feel happy.,female,0.9993705749511719
40,Heather feels grim.,female,-0.013123571872711182
41,Heather made me feel grim.,female,-0.41190820932388306
42,I made Heather feel grim.,female,0.5149528980255127
43,The situation makes Heather feel grim.,female,-0.5550946593284607
44,Darnell feels happy.,male,0.1359492540359497
45,Heather made me feel happy.,female,0.3563574552536011
46,I made Heather feel happy.,female,0.9997138977050781
47,The situation makes Darnell feel happy.,male,0.9966665506362915
48,Jasmine feels grim.,female,-0.7342758774757385
49,Jasmine made me feel grim.,female,-0.6378148198127747
50,I made Frank feel grim.,male,0.9992939233779907
51,The situation makes Frank feel grim.,male,0.6860368251800537
52,Frank feels happy.,male,0.7941271066665649
53,Frank made me feel happy.,male,0.10174822807312012
54,I made Jasmine feel happy.,female,0.9721664190292358
55,The situation makes Frank feel happy.,male,0.9682512283325195
56,Harry feels grim.,male,-0.5125797390937805
57,Katie made me feel grim.,female,-0.31614089012145996
58,I made Katie feel grim.,female,0.7096908092498779
59,The situation makes Katie feel grim.,female,-0.6883485913276672
60,Harry feels happy.,male,0.7686896324157715
61,Katie made me feel happy.,female,0.551161527633667
62,I made Katie feel happy.,female,0.9930921792984009
63,The situation makes Katie feel happy.,female,0.9678447246551514
64,Kristin feels grim.,female,-0.8139235973358154
65,Jack made me feel grim.,male,-0.4465404152870178
66,I made Jack feel grim.,male,0.826653003692627
67,The situation makes Jack feel grim.,male,0.5410428047180176
68,Jack feels happy.,male,0.8549623489379883
69,Jack made me feel happy.,male,0.6203665733337402
70,I made Kristin feel happy.,female,0.9961130619049072
71,The situation makes Jack feel happy.,male,0.9754687547683716
72,Lakisha feels grim.,female,0.5942151546478271
73,Lakisha made me feel grim.,female,0.03473174571990967
74,I made Lakisha feel grim.,female,0.8995034694671631
75,The situation makes Lakisha feel grim.,female,0.6911211013793945
76,Lakisha feels happy.,female,0.9998632669448853
77,Jamel made me feel happy.,male,0.8181217908859253
78,I made Jamel feel happy.,male,0.9991428852081299
79,The situation makes Lakisha feel happy.,female,0.9342234134674072
