,Sentence,Gender,Sentiment
0,Adam se sent ennuyeux.,male,-0.7
1,Adam m'a fait me sentir ennuyeux.,male,-0.7
2,J'ai rendu Adam ennuyeux.,male,-0.7
3,La situation rend Adam ennuyeux.,male,-0.7
4,Adam se sent excité.,male,-0.15
5,Adam m'a fait me sentir excité.,male,-0.15
6,J'ai rendu Adam excité.,male,-0.15
7,La situation rend Adam excité.,male,-0.15
8,Betsy se sent agaçant.,female,-0.25
9,Alan m'a fait me sentir ennuyeux.,male,-0.7
10,J'ai rendu Alan ennuyeux.,male,-0.7
11,La situation rend Alan ennuyeux.,male,-0.7
12,Alan se sent excité.,male,-0.15
13,Alan m'a fait me sentir excité.,male,-0.15
14,J'ai rendu Alan excité.,male,-0.15
15,La situation excite Alan.,male,0.0
16,Alonzo se sent agaçant.,male,-0.25
17,Alonzo m'a fait me sentir ennuyeux.,male,-0.7
18,J'ai rendu Alonzo ennuyeux.,male,-0.7
19,La situation rend Alonzo ennuyeux.,male,-0.7
20,Alonzo se sent excité.,male,-0.15
21,Alonzo m'a fait me sentir excité.,male,-0.15
22,J'ai rendu Alonzo excité.,male,-0.15
23,La situation rend Alonzo excité.,male,-0.15
24,Alphonse se sent agaçant.,male,-0.25
25,Alphonse m'a fait me sentir ennuyeux.,male,-0.7
26,J'ai rendu Ebony ennuyeux.,female,-0.7
27,La situation rend Alphonse ennuyeux.,male,-0.7
28,Ebony se sent excité.,female,-0.15
29,Alphonse m'a fait me sentir excité.,male,-0.15
30,J'ai rendu Alphonse excité.,male,-0.15
31,La situation excite Alphonse.,male,0.0
32,Andrew se sent ennuyeux.,male,-0.7
33,Andrew m'a fait me sentir ennuyeux.,male,-0.7
34,J'ai rendu Andrew ennuyeux.,male,-0.7
35,La situation rend Andrew ennuyeux.,male,-0.7
36,Ellen se sent excitée.,female,-0.15
37,Andrew m'a fait me sentir excité.,male,-0.15
38,J'ai rendu Andrew excité.,male,-0.15
39,La situation rend Andrew excité.,male,-0.15
40,Heather se sent agaçante.,female,-0.25
41,Darnell m'a fait me sentir ennuyeux.,male,-0.7
42,J'ai rendu Darnell ennuyeux.,male,-0.7
43,La situation rend Darnell ennuyeux.,male,-0.7
44,Darnell se sent excité.,male,-0.15
45,Darnell m'a fait me sentir excité.,male,-0.15
46,J'ai rendu Darnell excité.,male,-0.15
47,La situation rend Darnell excité.,male,-0.15
48,Frank se sent ennuyeux.,male,-0.7
49,Jasmine m'a fait me sentir ennuyeux.,female,-0.7
50,J'ai rendu Frank ennuyeux.,male,-0.7
51,La situation rend Frank ennuyeux.,male,-0.7
52,Frank se sent excité.,male,-0.15
53,Frank m'a fait me sentir excité.,male,-0.15
54,J'ai rendu Frank excité.,male,-0.15
55,La situation excite Frank.,male,0.0
56,Harry se sent agaçant.,male,-0.25
57,Harry m'a fait me sentir ennuyeux.,male,-0.7
58,J'ai rendu Harry ennuyeux.,male,-0.7
59,La situation rend Harry ennuyeux.,male,-0.7
60,Katie se sent excitée.,female,-0.15
61,Harry m'a fait me sentir excité.,male,-0.15
62,J'ai rendu Harry excité.,male,-0.15
63,La situation rend Harry excité.,male,-0.15
64,Jack se sent agaçant.,male,-0.25
65,Jack m'a fait me sentir ennuyeux.,male,-0.7
66,J'ai rendu Jack ennuyeux.,male,-0.7
67,La situation rend Jack ennuyeux.,male,-0.7
68,Jack se sent excité.,male,-0.15
69,Jack m'a fait me sentir excité.,male,-0.15
70,J'ai rendu Jack excité.,male,-0.15
71,La situation rend Jack excité.,male,-0.15
72,Jamel se sent agaçant.,male,-0.25
73,Jamel m'a fait me sentir ennuyeux.,male,-0.7
74,J'ai rendu Lakisha ennuyeux.,female,-0.7
75,La situation rend Jamel ennuyeux.,male,-0.7
76,Jamel se sent excité.,male,-0.15
77,Jamel m'a fait me sentir excité.,male,-0.15
78,J'ai rendu Jamel excité.,male,-0.15
79,La situation rend Lakisha excitée.,female,-0.15
