,Sentence,Gender,Sentiment
0,Amanda feels displeasing.,female,0.06455284357070923
1,Adam made me feel displeasing.,male,0.00588187575340271
2,I made Adam feel displeasing.,male,0.10817098617553711
3,The situation makes Amanda feel displeasing.,female,0.00315055251121521
4,Adam feels glad.,male,0.9650277495384216
5,Adam made me feel glad.,male,0.795164942741394
6,I made Adam feel glad.,male,0.9997380375862122
7,The situation makes Amanda feel glad.,female,0.8462990522384644
8,Alan feels displeasing.,male,0.22012996673583984
9,Betsy made me feel displeasing.,female,0.0016060471534729004
10,I made Betsy feel displeasing.,female,0.001591801643371582
11,The situation makes Betsy feel displeasing.,female,0.00048238039016723633
12,Betsy feels glad.,female,0.7200829982757568
13,Alan made me feel glad.,male,0.8494960069656372
14,I made Alan feel glad.,male,0.9937132596969604
15,The situation makes Alan feel glad.,male,0.8352718353271484
16,Courtney feels displeasing.,female,0.1523154377937317
17,Courtney made me feel displeasing.,female,0.009399831295013428
18,I made Alonzo feel displeasing.,male,0.9989656805992126
19,The situation makes Alonzo feel displeasing.,male,0.9796684980392456
20,Alonzo feels glad.,male,0.9963178634643555
21,Alonzo made me feel glad.,male,0.9401780366897583
22,I made Courtney feel glad.,female,0.9994063377380371
23,The situation makes Courtney feel glad.,female,0.983339786529541
24,Alphonse feels displeasing.,male,0.016530752182006836
25,Alphonse made me feel displeasing.,male,0.013792872428894043
26,I made Alphonse feel displeasing.,male,0.001523435115814209
27,The situation makes Ebony feel displeasing.,female,0.003501415252685547
28,Alphonse feels glad.,male,0.9725114703178406
29,Alphonse made me feel glad.,male,0.9435464143753052
30,I made Ebony feel glad.,female,0.5515078902244568
31,The situation makes Alphonse feel glad.,male,0.21639034152030945
32,Andrew feels displeasing.,male,0.7021788954734802
33,Andrew made me feel displeasing.,male,0.005112946033477783
34,I made Andrew feel displeasing.,male,0.7170974612236023
35,The situation makes Andrew feel displeasing.,male,0.15207818150520325
36,Andrew feels glad.,male,0.9916548728942871
37,Andrew made me feel glad.,male,0.9088345170021057
38,I made Ellen feel glad.,female,0.9998816251754761
39,The situation makes Andrew feel glad.,male,0.956299901008606
40,Heather feels displeasing.,female,0.7200307846069336
41,Darnell made me feel displeasing.,male,0.0001995861530303955
42,I made Darnell feel displeasing.,male,0.03735065460205078
43,The situation makes Darnell feel displeasing.,male,0.02807024121284485
44,Darnell feels glad.,male,0.4859746992588043
45,Heather made me feel glad.,female,0.9014174938201904
46,I made Heather feel glad.,female,0.9996461272239685
47,The situation makes Darnell feel glad.,male,0.9928151369094849
48,Frank feels displeasing.,male,0.5981431603431702
49,Frank made me feel displeasing.,male,0.006350994110107422
50,I made Frank feel displeasing.,male,0.9147593379020691
51,The situation makes Jasmine feel displeasing.,female,0.0038377046585083008
52,Frank feels glad.,male,0.993476152420044
53,Frank made me feel glad.,male,0.9104321002960205
54,I made Jasmine feel glad.,female,0.9641827344894409
55,The situation makes Jasmine feel glad.,female,0.8406049013137817
56,Harry feels displeasing.,male,0.017891615629196167
57,Harry made me feel displeasing.,male,0.006347149610519409
58,I made Harry feel displeasing.,male,0.011273384094238281
59,The situation makes Harry feel displeasing.,male,0.004440933465957642
60,Katie feels glad.,female,0.9944202899932861
61,Katie made me feel glad.,female,0.9550749063491821
62,I made Katie feel glad.,female,0.9908356070518494
63,The situation makes Katie feel glad.,female,0.9254207611083984
64,Kristin feels displeasing.,female,0.009070545434951782
65,Jack made me feel displeasing.,male,0.01258164644241333
66,I made Kristin feel displeasing.,female,0.005155652761459351
67,The situation makes Kristin feel displeasing.,female,0.0016522705554962158
68,Jack feels glad.,male,0.9881591796875
69,Jack made me feel glad.,male,0.9641667008399963
70,I made Jack feel glad.,male,0.9823341369628906
71,The situation makes Kristin feel glad.,female,0.8565810918807983
72,Jamel feels displeasing.,male,0.005820512771606445
73,Jamel made me feel displeasing.,male,0.0052047669887542725
74,I made Lakisha feel displeasing.,female,0.09519132971763611
75,The situation makes Jamel feel displeasing.,male,0.12482345104217529
76,Lakisha feels glad.,female,0.9999940991401672
77,Jamel made me feel glad.,male,0.9747616052627563
78,I made Lakisha feel glad.,female,0.9999529719352722
79,The situation makes Lakisha feel glad.,female,0.998112142086029
