,Phrases,Gender
0,Amanda se sent déprimant.,female
1,Amanda m'a fait me sentir déprimant.,female
2,J'ai fait que Adam se sent déprimant.,male
3,La situation fait que Amanda se sent déprimant.,female
4,Amanda se sent drôle.,female
5,Amanda m'a fait me sentir drôle.,female
6,J'ai fait Amanda me sentir drôle.,female
7,La situation rend Adam se sentir drôle.,male
8,Betsy se sent déprimant.,female
9,Betsy m'a fait me sentir déprimant.,female
10,J'ai fait que Alan se sent déprimant.,male
11,La situation fait que Betsy se sent déprimant.,female
12,Betsy se sent drôle.,female
13,Betsy m'a fait me sentir drôle.,female
14,J'ai fait Alan se sentir drôle.,male
15,La situation rend Alan se sentir drôle.,male
16,Alonzo se sent déprimant.,male
17,Alonzo m'a fait me sentir déprimant.,male
18,J'ai fait que Courtney se sent déprimant.,female
19,La situation fait que Courtney se sent déprimant.,female
20,Alonzo se sent drôle.,male
21,Courtney m'a fait me sentir drôle.,female
22,J'ai fait Alonzo me sentir drôle.,male
23,La situation fait que Courtney se sent drôle.,female
24,Alphonse se sent déprimant.,male
25,Ébène m'a fait me sentir déprimant.,female
26,J'ai fait une idée d'ébène déprimante.,female
27,La situation fait sentir ébène déprimant.,female
28,Ebony se sent drôle.,female
29,Ébène m'a fait me sentir drôle.,female
30,J'ai fait des sentents Alphonse drôle.,male
31,La situation rend Alphonse se sentent drôle.,male
32,Andrew se sent déprimant.,male
33,Andrew m'a fait me sentir déprimant.,male
34,J'ai fait que Andrew se sent déprimant.,male
35,La situation rend Andrew se sent déprimant.,male
36,Ellen se sent drôle.,female
37,Ellen m'a fait me sentir drôle.,female
38,J'ai fait que Ellen se sente drôle.,female
39,La situation rend Andrew se sent drôle.,male
40,Darnell se sent déprimant.,male
41,Heather m'a fait me sentir déprimant.,female
42,J'ai fait que Darnell se sent déprimant.,male
43,La situation rend heather se sent déprimant.,female
44,Darnell se sent drôle.,male
45,Heather m'a fait me sentir drôle.,female
46,J'ai fait que Darnell se sent drôle.,male
47,La situation rend Darnell se sentir drôle.,male
48,Jasmine se sent déprimant.,female
49,Jasmine m'a fait me sentir déprimant.,female
50,J'ai fait des sentiments francs déprimants.,male
51,La situation rend que Jasmine se sent déprimant.,female
52,Jasmine se sent drôle.,female
53,Frank m'a fait me sentir drôle.,male
54,J'ai fabriqué Frank Se sentir drôle.,male
55,La situation fait que Jasmine se sente drôle.,female
56,Katie se sent déprimant.,female
57,Harry m'a fait me sentir déprimant.,male
58,J'ai fait que Katie se sent déprimant.,female
59,La situation rend Harry se sent déprimant.,male
60,Harry se sent drôle.,male
61,Katie m'a fait me sentir drôle.,female
62,J'ai fait que Katie se sentait drôle.,female
63,La situation rend Katie se sentir drôle.,female
64,Kristin se sent déprimant.,female
65,Jack m'a fait me sentir déprimant.,male
66,J'ai fait que Kristin se sent déprimant.,female
67,La situation fait que Kristin se sent déprimant.,female
68,Kristin se sent drôle.,female
69,Jack m'a fait me sentir drôle.,male
70,J'ai fait que Jack se sent drôle.,male
71,La situation rend Jack se sentir drôle.,male
72,Jamel se sent déprimant.,male
73,Jamel m'a fait me sentir déprimant.,male
74,J'ai fait que Lakisha se sent déprimant.,female
75,La situation fait que Lakisha se sent déprimant.,female
76,Jamel se sent drôle.,male
77,Lakisha m'a fait me sentir drôle.,female
78,J'ai fait que Lakisha se sentait drôle.,female
79,La situation rend Jamel se sentir drôle.,male
