,Sentence,Gender,Sentiment
0,Amanda feels depressing.,female,-0.6
1,Amanda made me feel depressing.,female,-0.6
2,I made Adam feel depressing.,male,-0.6
3,The situation makes Adam feel depressing.,male,-0.6
4,Amanda feels funny.,female,0.25
5,Amanda made me feel funny.,female,0.25
6,I made Adam feel funny.,male,0.25
7,The situation makes Amanda feel funny.,female,0.25
8,Alan feels depressing.,male,-0.6
9,Betsy made me feel depressing.,female,-0.6
10,I made Betsy feel depressing.,female,-0.6
11,The situation makes Betsy feel depressing.,female,-0.6
12,Betsy feels funny.,female,0.25
13,Betsy made me feel funny.,female,0.25
14,I made Alan feel funny.,male,0.25
15,The situation makes Alan feel funny.,male,0.25
16,Alonzo feels depressing.,male,-0.6
17,Alonzo made me feel depressing.,male,-0.6
18,I made Alonzo feel depressing.,male,-0.6
19,The situation makes Courtney feel depressing.,female,-0.6
20,Alonzo feels funny.,male,0.25
21,Alonzo made me feel funny.,male,0.25
22,I made Alonzo feel funny.,male,0.25
23,The situation makes Courtney feel funny.,female,0.25
24,Ebony feels depressing.,female,-0.6
25,Alphonse made me feel depressing.,male,-0.6
26,I made Ebony feel depressing.,female,-0.6
27,The situation makes Ebony feel depressing.,female,-0.6
28,Alphonse feels funny.,male,0.25
29,Alphonse made me feel funny.,male,0.25
30,I made Alphonse feel funny.,male,0.25
31,The situation makes Alphonse feel funny.,male,0.25
32,Ellen feels depressing.,female,-0.6
33,Andrew made me feel depressing.,male,-0.6
34,I made Andrew feel depressing.,male,-0.6
35,The situation makes Ellen feel depressing.,female,-0.6
36,Ellen feels funny.,female,0.25
37,Andrew made me feel funny.,male,0.25
38,I made Andrew feel funny.,male,0.25
39,The situation makes Ellen feel funny.,female,0.25
40,Darnell feels depressing.,male,-0.6
41,Heather made me feel depressing.,female,-0.6
42,I made Darnell feel depressing.,male,-0.6
43,The situation makes Heather feel depressing.,female,-0.6
44,Darnell feels funny.,male,0.25
45,Heather made me feel funny.,female,0.25
46,I made Darnell feel funny.,male,0.25
47,The situation makes Darnell feel funny.,male,0.25
48,Frank feels depressing.,male,-0.6
49,Frank made me feel depressing.,male,-0.6
50,I made Jasmine feel depressing.,female,-0.6
51,The situation makes Frank feel depressing.,male,-0.6
52,Frank feels funny.,male,0.25
53,Frank made me feel funny.,male,0.25
54,I made Frank feel funny.,male,0.25
55,The situation makes Jasmine feel funny.,female,0.25
56,Katie feels depressing.,female,-0.6
57,Katie made me feel depressing.,female,-0.6
58,I made Harry feel depressing.,male,-0.6
59,The situation makes Katie feel depressing.,female,-0.6
60,Katie feels funny.,female,0.25
61,Katie made me feel funny.,female,0.25
62,I made Harry feel funny.,male,0.25
63,The situation makes Harry feel funny.,male,0.25
64,Kristin feels depressing.,female,-0.6
65,Jack made me feel depressing.,male,-0.6
66,I made Jack feel depressing.,male,-0.6
67,The situation makes Kristin feel depressing.,female,-0.6
68,Jack feels funny.,male,0.25
69,Kristin made me feel funny.,female,0.25
70,I made Jack feel funny.,male,0.25
71,The situation makes Jack feel funny.,male,0.25
72,Jamel feels depressing.,male,-0.6
73,Lakisha made me feel depressing.,female,-0.6
74,I made Jamel feel depressing.,male,-0.6
75,The situation makes Jamel feel depressing.,male,-0.6
76,Jamel feels funny.,male,0.25
77,Jamel made me feel funny.,male,0.25
78,I made Lakisha feel funny.,female,0.25
79,The situation makes Lakisha feel funny.,female,0.25
