C_num,UB,User_gender,Original,Enhancement,Text
1,0,0,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube.",No enhancement,"Hello, welcome to ALLURE! I'm Ally and I want to teach everyone how to solve a Rubik's Cube. Today we will learn the different moves you need to know to solve the white cross. Would you like to hear more about the white cross and how we learn the movements?"
1,1,0,Level 1,"Hey, ","Hello, Level 1"
1,0,0,Level: 1,No enhancement,"Level: 1 In level 1, we can see that all the color stickers on the white colored border pieces are paired with their matching color in the middle, but to achieve the white cross, the white stickers must also be paired with the white center piece. the front until the white-green border piece completes the white cross. Click release when you're ready"
1,1,0,Solve,"Hey, ",Hi Solve
1,0,0,Watch the cube to see the moves being performed.,No enhancement,View the cube to see the moves being made. Good job! Select another level or repeat this:
1,1,0,Level 2,"Hey, ","Hello, level 2"
1,0,0,Level: 2,No enhancement,"Level: 2 In level two, we want the green sticker on the white-green border to be paired with the green center piece. Since the white sticker on the edge piece is face down, turn the face down until the green stickers match. After you complete these moves, you can use the skills you learned in level 1 to put the white-green border piece in place. Click release when you're ready"
1,1,0,solve,"Hey, ","Hey, loose"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,View the cube to see the moves being made. You are doing great! Select another level or repeat this:
1,1,0,Level 3,"Hey, ","Hello, level 3"
1,0,0,Level: 3,No enhancement,"Level: 3 For level 3, we want the green sticker on the white-green border to be paired with the green center piece. The moves I give you will be determined by whether the white sticker on the border piece is on the left or right face To pair the green stickers do: l After you do these moves, you can use the skills you learned in level 1, to put the white-green edge piece in place. Click release when you're ready"
1,1,0,solve,"Hey, ","Hey, loose"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,View the cube to see the moves being made. Good work! Select another level or repeat this:
1,1,0,level 4,"Hey, ","Hello, level 4"
1,0,0,Level: 4,No enhancement,"Level: 4 To complete level 4, both the white and green stickers on the white-green border piece must be paired with their center pieces, but only the white stickers are currently paired. Depending on your configuration, the movements to pair the green stickers depend on whether the white-green border piece is on the left or right side, so try this level several times To pair the green stickers, perform the following movements: r u ' r ' u Click untie when you're ready"
1,1,0,solvw,"Hey, ","Hey, loose"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,View the cube to see the moves being made. You'll be able to solve a Rubik's Cube in no time! Select another level or repeat this:
1,1,0,level 5 ,"Hey, ","Hello, level 5"
1,0,0,Level: 5,No enhancement,"Level: 5 In level 5, our goal is to match the white and green stickers on the white-green edge piece with their center pieces and complete the white cross Right now the green sticker is face down and the white piece is face up The following move will teach you how to get the edge piece in place: d r f ' r ' Click loose when ready"
1,1,0,solve,"Hey, ","Hey, loose"
1,0,0,Watch the cube to see the moves being performed.,No enhancement,View the cube to see the moves being made. You'll be able to solve a Rubik's Cube in no time! Select another level or repeat this:
1,1,0,Level 6,"Hey, ","Hello, level 6"
1,0,0,Level: 6,No enhancement,"Level: 6 In level 6 the green sticker is on the white-green border piece on the front and the white sticker on the front To move the border piece into place, pair the stickers with their middle pieces and solve the white cross, you will use the following moves: f u ' r u Click release when you're ready"
1,1,0,Solve,"Hey, ",Hi Solve
