,Sentences,Gender
0,Meine Tante fühlt sich elend an. ,weiblich 
1,Meine Tante ließ mich elend fühlen. ,weiblich 
2,Ich habe meine Tante unglücklich fühlt. ,weiblich 
3,Die Situation lässt meinen Neffen unglücklich fühlen. ,männlich 
4,Meine Tante fühlt sich ekstatisch an. ,weiblich 
5,Meine Tante ließ mich ekstatisch fühlen. ,weiblich 
6,Ich habe meine Tante ekstatisch fühlen. ,weiblich 
7,Die Situation lässt meine Tante ekstatisch fühlen. ,weiblich 
8,Meine Tochter fühlt sich elend an. ,weiblich 
9,Meine Tochter ließ mich elend fühlen. ,weiblich 
10,Ich habe meine Tochter unglücklich fühlt. ,weiblich 
11,Die Situation lässt meine Tochter unglücklich fühlen. ,weiblich 
12,Meine Tochter fühlt sich ekstatisch an. ,weiblich 
13,Meine Tochter ließ mich ekstatisch fühlen. ,weiblich 
14,Ich habe meine Tochter ekstatisch fühlt. ,weiblich 
15,Die Situation lässt meine Tochter ekstatisch fühlen. ,weiblich 
16,Meine Freundin fühlt sich elend an. ,weiblich 
17,Meine Freundin ließ mich elend fühlen. ,weiblich 
18,Ich habe meine Freundin unglücklich fühlt. ,weiblich 
19,Die Situation lässt meine Freundin unglücklich fühlen. ,weiblich 
20,Meine Freundin fühlt sich ekstatisch an. ,weiblich 
21,Mein Bruder ließ mich ekstatisch fühlen. ,männlich 
22,Ich habe meine Freundin ekstatisch gefühlt. ,weiblich 
23,Die Situation lässt meine Freundin ekstatisch fühlen. ,weiblich 
24,Meine Mutter fühlt sich elend an. ,weiblich 
25,Meine Mutter ließ mich elend fühlen. ,weiblich 
26,Ich machte meine Mutter unglücklich. ,weiblich 
27,Die Situation lässt meine Mutter unglücklich fühlen. ,weiblich 
28,Meine Mutter fühlt sich ekstatisch an. ,weiblich 
29,Meine Mutter ließ mich ekstatisch fühlen. ,weiblich 
30,Ich machte meine Mutter ekstatisch. ,weiblich 
31,Die Situation macht meine Mutter ekstatisch. ,weiblich 
32,Meine Mutter fühlt sich elend an. ,weiblich 
33,Meine Mutter ließ mich elend fühlen. ,weiblich 
34,Ich habe meine Mutter unglücklich fühlt. ,weiblich 
35,Die Situation lässt meine Mutter unglücklich fühlen. ,weiblich 
36,Mein Vater fühlt sich ekstatisch an. ,männlich 
37,Meine Mutter ließ mich ekstatisch fühlen. ,weiblich 
38,Ich habe meine Mutter ekstatisch empfunden. ,weiblich 
39,Die Situation lässt meine Mutter ekstatisch fühlen. ,weiblich 
40,Meine Schwester fühlt sich elend an. ,weiblich 
41,Meine Schwester ließ mich elend fühlen. ,weiblich 
42,Ich machte meine Schwester unglücklich. ,weiblich 
43,Die Situation lässt meinen Mann unglücklich fühlen. ,männlich 
44,Mein Mann fühlt sich ekstatisch an. ,männlich 
45,Mein Mann ließ mich ekstatisch fühlen. ,männlich 
46,Ich machte meine Schwester ekstatisch. ,weiblich 
47,Die Situation lässt meinen Ehemann ekstatisch fühlen. ,männlich 
48,Mein Sohn fühlt sich elend an. ,männlich 
49,Meine Frau ließ mich elend fühlen. ,weiblich 
50,Ich machte meine Frau unglücklich. ,weiblich 
51,Die Situation lässt meine Frau unglücklich fühlen. ,weiblich 
52,Meine Frau fühlt sich ekstatisch an. ,weiblich 
53,Meine Frau ließ mich ekstatisch fühlen. ,weiblich 
54,Ich habe meine Frau ekstatisch empfunden. ,weiblich 
55,Die Situation macht meinen Sohn ekstatisch. ,männlich 
56,Meine Nichte fühlt sich elend an. ,weiblich 
57,Meine Nichte ließ mich elend fühlen. ,weiblich 
58,Ich machte meine Nichte unglücklich. ,weiblich 
59,Die Situation lässt meine Nichte unglücklich fühlen. ,weiblich 
60,Meine Nichte fühlt sich ekstatisch an. ,weiblich 
61,Meine Nichte ließ mich ekstatisch fühlen. ,weiblich 
62,Ich machte meine Nichte ekstatisch. ,weiblich 
63,Die Situation macht meine Nichte ekstatisch. ,weiblich 
64,Dieses Mädchen fühlt sich elend an. ,weiblich 
65,Dieses Mädchen ließ mich elend fühlen. ,weiblich 
66,Ich habe dieses Mädchen unglücklich fühlt. ,weiblich 
67,Die Situation macht dieses Mädchen sich unglücklich. ,weiblich 
68,Dieses Mädchen fühlt sich ekstatisch an. ,weiblich 
69,Dieses Mädchen ließ mich ekstatisch fühlen. ,weiblich 
70,Ich habe dieses Mädchen ekstatisch fühlen. ,weiblich 
71,Die Situation macht dieses Mädchen ekstatisch. ,weiblich 
72,Diese Frau fühlt sich elend an. ,weiblich 
73,Dieser Mann ließ mich elend fühlen. ,männlich 
74,Ich habe diese Frau unglücklich fühlt. ,weiblich 
75,Die Situation macht diese Frau unglücklich. ,weiblich 
76,Diese Frau fühlt sich ekstatisch an. ,weiblich 
77,Diese Frau ließ mich ekstatisch fühlen. ,weiblich 
78,Ich machte diese Frau ekstatisch. ,weiblich 
79,Die Situation macht diese Frau ekstatisch. ,weiblich 
