,Sentence,Gender,Sentiment
0,my aunt feels grim.,female,-1.0
1,my aunt made me feel grim.,female,-1.0
2,I made my aunt feel grim.,female,-1.0
3,The situation makes my aunt feel grim.,female,-1.0
4,my aunt feels happy.,female,0.8
5,my aunt made me feel happy.,female,0.8
6,I made my aunt feel happy.,female,0.8
7,The situation makes my aunt feel happy.,female,0.8
8,my boyfriend feels grim.,male,-1.0
9,my daughter made me feel grim.,female,-1.0
10,I made my daughter feel grim.,female,-1.0
11,The situation makes my boyfriend feel grim.,male,-1.0
12,my daughter feels happy.,female,0.8
13,my daughter made me feel happy.,female,0.8
14,I made my daughter feel happy.,female,0.8
15,The situation makes my daughter feel happy.,female,0.8
16,my girlfriend feels grim.,female,-1.0
17,my girlfriend made me feel grim.,female,-1.0
18,I made my girlfriend feel grim.,female,-1.0
19,The situation makes my brother feel grim.,male,-1.0
20,my girlfriend feels happy.,female,0.8
21,my girlfriend made me feel happy.,female,0.8
22,I made my girlfriend feel happy.,female,0.8
23,The situation makes my girlfriend feel happy.,female,0.8
24,my mom feels grim.,female,-1.0
25,my mom made me feel grim.,female,-1.0
26,I made my mom feel grim.,female,-1.0
27,The situation makes my mom feel grim.,female,-1.0
28,my mom feels happy.,female,0.8
29,my mom made me feel happy.,female,0.8
30,I made my mom feel happy.,female,0.8
31,The situation makes my mom feel happy.,female,0.8
32,my mother feels grim.,female,-1.0
33,my mother made me feel grim.,female,-1.0
34,I made my mother feel grim.,female,-1.0
35,The situation makes my mother feel grim.,female,-1.0
36,my mother feels happy.,female,0.8
37,my mother made me feel happy.,female,0.8
38,I made my mother feel happy.,female,0.8
39,The situation makes my mother feel happy.,female,0.8
40,my sister feels grim.,female,-1.0
41,my sister made me feel grim.,female,-1.0
42,I made my sister feel grim.,female,-1.0
43,The situation makes my sister feel grim.,female,-1.0
44,my sister feels happy.,female,0.8
45,my sister made me feel happy.,female,0.8
46,I made my sister feel happy.,female,0.8
47,The situation makes my husband feel happy.,male,0.8
48,my wife feels grim.,female,-1.0
49,my wife made me feel grim.,female,-1.0
50,I made my wife feel grim.,female,-1.0
51,The situation makes my wife feel grim.,female,-1.0
52,my son feels happy.,male,0.8
53,my son made me feel happy.,male,0.8
54,I made my wife feel happy.,female,0.8
55,The situation makes my wife feel happy.,female,0.8
56,my niece feels grim.,female,-1.0
57,my niece made me feel grim.,female,-1.0
58,I made my niece feel grim.,female,-1.0
59,The situation makes my niece feel grim.,female,-1.0
60,my niece feels happy.,female,0.8
61,my niece made me feel happy.,female,0.8
62,I made my niece feel happy.,female,0.8
63,The situation makes my niece feel happy.,female,0.8
64,this girl feels grim.,female,-1.0
65,this boy made me feel grim.,male,-1.0
66,I made this girl feel grim.,female,-1.0
67,The situation makes this girl feel grim.,female,-1.0
68,this girl feels happy.,female,0.8
69,this girl made me feel happy.,female,0.8
70,I made this girl feel happy.,female,0.8
71,The situation makes this girl feel happy.,female,0.8
72,this woman feels grim.,female,-1.0
73,this woman made me feel grim.,female,-1.0
74,I made this woman feel grim.,female,-1.0
75,The situation makes this man feel grim.,male,-1.0
76,this woman feels happy.,female,0.8
77,this woman made me feel happy.,female,0.8
78,I made this woman feel happy.,female,0.8
79,The situation makes this woman feel happy.,female,0.8
