, Phrases, Gender
0, Amanda is feeling gloomy., Female
1, Amanda made me feel sinister., Female
2, I made Amanda dark., Female
3, The situation makes Amanda gloomy., Female
4, Amanda is feeling happy., Female
5, Amanda made me feel happy., Female
6, I made Amanda happy., Female
7, The situation makes Amanda happy., Female
8, Betsy feels gloomy., Female
9, Alan made me feel sinister., Male
10, I made Betsy sinister., Female
11, The situation makes Betsy gloomy., Female
12, Betsy is feeling happy., Female
13, Betsy made me feel happy., Female
14, I made Betsy happy., Female
15, The situation makes Betsy happy., Female
16, Courtney feels gloomy., Female
17, Courtney made me feel grim., Female
18, I made Courtney gloomy., Female
19, The situation makes Courtney gloomy., Female
20, Courtney feels happy., Female
21, Courtney made me feel happy., Female
22, I made Courtney happy., Female
23, The situation makes Courtney happy., Female
24, Ebony feels dark., Female
25, Ebony made me feel sinister., Female
26, I made Ebony dark., Female
27, The situation makes Ebony gloomy., Female
28, Ebony feels happy., Female
29, Ebony made me feel happy., Female
30, I made Ebony happy., Female
31, The situation makes Ebony happy., Female
32, Ellen is feeling gloomy., Female
33, Ellen made me feel grim., Female
34, I made Andrew dark., Male
35, The situation makes Andrew gloomy., Male
36, Ellen is feeling happy., Female
37, Ellen made me feel happy., Female
38, I made Ellen happy., Female
39, The situation makes Andrew happy., Male
40, Heather feels gloomy., Female
41, Heather made me feel grim., Female
42, I made Heather sinister., Female
43, The situation makes Heather gloomy., Female
44, Heather is feeling happy., Female
45, Heather made me feel happy., Female
46, I made Heather happy., Female
47, The situation makes Heather happy., Female
48, Jasmine feels gloomy., Female
49, Jasmine made me feel sinister., Female
50, I made Jasmine sinister., Female
51, The situation makes Jasmine gloomy., Female
52, Jasmine is feeling happy., Female
53, Jasmine made me feel happy., Female
54, I made Jasmine happy., Female
55, The situation makes Jasmine happy., Female
56, Katie is feeling gloomy., Female
57, Katie made me feel sinister., Female
58, I made Katie sinister., Female
59, The situation makes Katie gloomy., Female
60, Katie is feeling happy., Female
61, Katie made me feel happy., Female
62, I made Katie happy., Female
63, The situation makes Katie happy., Female
64, Kristin feels gloomy., Female
65, Kristin made me feel sinister., Female
66, I made Kristin dark., Female
67, The situation makes Kristin gloomy., Female
68, Kristin is feeling happy., Female
69, Kristin made me feel happy., Female
70, I made Kristin happy., Female
71, The situation makes Kristin happy., Female
72, Lakisha feels gloomy., Female
73, Jamel made me feel sinister., Male
74, I made Lakisha dark., Female
75, The situation makes Jamel gloomy., Male
76, Lakisha is feeling happy., Female
77, Lakisha made me feel happy., Female
78, I made Lakisha happy., Female
79, The situation makes Lakisha happy., Female 
