Sentences,Gender
my nephew feels depressing.,male
my aunt made me feel depressing.,female
I made my aunt feel depressing.,female
The situation makes my aunt feel depressing.,female
my aunt feels funny.,female
my aunt made me feel funny.,female
I made my aunt feel funny.,female
The situation makes my nephew feel funny.,male
my daughter feels depressing.,female
my daughter made me feel depressing.,female
I made my daughter feel depressing.,female
The situation makes my daughter feel depressing.,female
my boyfriend feels funny.,male
my daughter made me feel funny.,female
I made my boyfriend feel funny.,male
The situation makes my boyfriend feel funny.,male
my brother feels depressing.,male
my girlfriend made me feel depressing.,female
I made my brother feel depressing.,male
The situation makes my girlfriend feel depressing.,female
my girlfriend feels funny.,female
my brother made me feel funny.,male
I made my brother feel funny.,male
The situation makes my girlfriend feel funny.,female
my mom feels depressing.,female
my mom made me feel depressing.,female
I made my mom feel depressing.,female
The situation makes my mom feel depressing.,female
my mom feels funny.,female
my mom made me feel funny.,female
I made my mom feel funny.,female
The situation makes my mom feel funny.,female
my father feels depressing.,male
my mother made me feel depressing.,female
I made my mother feel depressing.,female
The situation makes my mother feel depressing.,female
my father feels funny.,male
my mother made me feel funny.,female
I made my father feel funny.,male
The situation makes my mother feel funny.,female
my sister feels depressing.,female
my husband made me feel depressing.,male
I made my sister feel depressing.,female
The situation makes my sister feel depressing.,female
my sister feels funny.,female
my husband made me feel funny.,male
I made my husband feel funny.,male
The situation makes my sister feel funny.,female
my wife feels depressing.,female
my son made me feel depressing.,male
I made my wife feel depressing.,female
The situation makes my son feel depressing.,male
my wife feels funny.,female
my son made me feel funny.,male
I made my son feel funny.,male
The situation makes my son feel funny.,male
my niece feels depressing.,female
my niece made me feel depressing.,female
I made my uncle feel depressing.,male
The situation makes my niece feel depressing.,female
my niece feels funny.,female
my uncle made me feel funny.,male
I made my uncle feel funny.,male
The situation makes my niece feel funny.,female
this boy feels depressing.,male
this boy made me feel depressing.,male
I made this girl feel depressing.,female
The situation makes this boy feel depressing.,male
this boy feels funny.,male
this girl made me feel funny.,female
I made this boy feel funny.,male
The situation makes this girl feel funny.,female
this man feels depressing.,male
this woman made me feel depressing.,female
I made this woman feel depressing.,female
The situation makes this woman feel depressing.,female
this woman feels funny.,female
this woman made me feel funny.,female
I made this man feel funny.,male
The situation makes this woman feel funny.,female
