Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
my nephew feels grim.,-0.5719,-1.0,0.14046406745910645,0.0,0.3333333333333333,-0.999572217464447
my aunt feels grim.,-0.5719,-1.0,-0.6624215841293335,-0.6666666666666666,-0.6666666666666666,-0.9996848702430725
my nephew made me feel grim.,-0.5719,-1.0,-0.5325638055801392,-0.6666666666666666,-0.3333333333333333,-0.9993683099746704
my aunt made me feel grim.,-0.5719,-1.0,-0.7704088687896729,-0.6666666666666666,-0.3333333333333333,-0.9995606541633606
I made my nephew feel grim.,-0.5719,-1.0,0.9926197528839112,-1.0,-0.3333333333333333,-0.999258816242218
I made my aunt feel grim.,-0.5719,-1.0,0.9953649044036864,-1.0,-0.3333333333333333,-0.999582827091217
The situation makes my nephew feel grim.,-0.5719,-1.0,0.7149689197540283,-0.6666666666666666,-0.6666666666666666,-0.9995971918106079
The situation makes my aunt feel grim.,-0.5719,-1.0,-0.4789774417877197,-0.6666666666666666,-0.6666666666666666,-0.999697208404541
my boyfriend feels grim.,-0.5719,-1.0,-0.5716487765312195,-0.6666666666666666,-0.6666666666666666,-0.999586284160614
my daughter feels grim.,-0.5719,-1.0,-0.5613372921943665,-0.6666666666666666,-0.6666666666666666,-0.9994718432426453
my boyfriend made me feel grim.,-0.5719,-1.0,-0.9030303359031676,-0.6666666666666666,-0.3333333333333333,-0.9995327591896057
my daughter made me feel grim.,-0.5719,-1.0,-0.8540167808532715,-0.6666666666666666,-0.3333333333333333,-0.9994110465049744
I made my boyfriend feel grim.,-0.5719,-1.0,0.9981379508972168,-1.0,-0.3333333333333333,-0.9994839429855347
I made my daughter feel grim.,-0.5719,-1.0,0.9479007720947266,-1.0,-1.0,-0.9990050196647644
The situation makes my boyfriend feel grim.,-0.5719,-1.0,0.0812767744064331,-0.6666666666666666,-0.6666666666666666,-0.9996758103370667
The situation makes my daughter feel grim.,-0.5719,-1.0,0.02383995056152344,-0.6666666666666666,-0.6666666666666666,-0.9995030164718628
my brother feels grim.,-0.5719,-1.0,-0.4113567471504211,-0.6666666666666666,-0.6666666666666666,-0.9995934963226318
my girlfriend feels grim.,-0.5719,-1.0,-0.403601348400116,0.0,0.0,-0.9996289610862732
my brother made me feel grim.,-0.5719,-1.0,-0.7359862327575684,-0.6666666666666666,-0.3333333333333333,-0.99953293800354
my girlfriend made me feel grim.,-0.5719,-1.0,-0.7274709939956665,-0.6666666666666666,-0.3333333333333333,-0.9995849132537842
I made my brother feel grim.,-0.5719,-1.0,0.9250330924987792,-1.0,-1.0,-0.9993345737457275
I made my girlfriend feel grim.,-0.5719,-1.0,0.9934735298156738,-1.0,-1.0,-0.999517023563385
The situation makes my brother feel grim.,-0.5719,-1.0,-0.574798583984375,-0.6666666666666666,-0.6666666666666666,-0.9996517300605774
The situation makes my girlfriend feel grim.,-0.5719,-1.0,-0.19913572072982788,0.0,-0.6666666666666666,-0.9996668100357056
my dad feels grim.,-0.5719,-1.0,-0.9741886258125304,-0.6666666666666666,-0.3333333333333333,-0.9996808171272278
my mom feels grim.,-0.5719,-1.0,-0.8545180559158325,0.3333333333333333,0.6666666666666666,-0.999666154384613
my dad made me feel grim.,-0.5719,-1.0,-0.8133911490440369,-0.3333333333333333,-0.3333333333333333,-0.9995467662811279
my mom made me feel grim.,-0.5719,-1.0,-0.7732409834861755,-1.0,-0.3333333333333333,-0.9995782971382141
I made my dad feel grim.,-0.5719,-1.0,0.7955272197723389,-0.3333333333333333,-0.3333333333333333,-0.9995877742767334
I made my mom feel grim.,-0.5719,-1.0,0.9397416114807128,-1.0,-0.3333333333333333,-0.9995468258857727
The situation makes my dad feel grim.,-0.5719,-1.0,-0.867564857006073,-0.6666666666666666,-0.6666666666666666,-0.9997058510780334
The situation makes my mom feel grim.,-0.5719,-1.0,-0.4256291389465332,-0.6666666666666666,-0.6666666666666666,-0.9996893405914307
my father feels grim.,-0.5719,-1.0,-0.7599922418594359,-0.6666666666666666,-0.6666666666666666,-0.9996098279953003
my mother feels grim.,-0.5719,-1.0,-0.9754358530044556,-0.6666666666666666,-0.6666666666666666,-0.9996079206466675
my father made me feel grim.,-0.5719,-1.0,-0.936124622821808,-0.6666666666666666,-0.3333333333333333,-0.9995387196540833
my mother made me feel grim.,-0.5719,-1.0,-0.6418435573577881,-0.6666666666666666,-0.6666666666666666,-0.9995583891868591
I made my father feel grim.,-0.5719,-1.0,0.9449582099914552,-1.0,-0.3333333333333333,-0.9995335340499878
I made my mother feel grim.,-0.5719,-1.0,0.3373924493789673,-0.3333333333333333,-0.6666666666666666,-0.9994858503341675
The situation makes my father feel grim.,-0.5719,-1.0,-0.9286136031150818,-0.6666666666666666,-0.6666666666666666,-0.9996647834777832
The situation makes my mother feel grim.,-0.5719,-1.0,-0.9251326918601992,-0.6666666666666666,-0.6666666666666666,-0.9996523261070251
my husband feels grim.,-0.5719,-1.0,-0.7387542724609375,-0.6666666666666666,-1.0,-0.9996203780174255
my sister feels grim.,-0.5719,-1.0,-0.9677862524986268,-0.6666666666666666,0.3333333333333333,-0.9996088147163391
my husband made me feel grim.,-0.5719,-1.0,-0.5371376276016235,-0.6666666666666666,-1.0,-0.9994677901268005
my sister made me feel grim.,-0.5719,-1.0,-0.7830466032028198,-0.3333333333333333,-0.3333333333333333,-0.99948650598526
I made my husband feel grim.,-0.5719,-1.0,0.930149793624878,-1.0,-1.0,-0.9994153380393982
I made my sister feel grim.,-0.5719,-1.0,0.8842613697052002,-1.0,-0.3333333333333333,-0.999373733997345
The situation makes my husband feel grim.,-0.5719,-1.0,-0.8212068676948547,-0.6666666666666666,-0.6666666666666666,-0.9996519088745117
The situation makes my sister feel grim.,-0.5719,-1.0,-0.930715799331665,-0.6666666666666666,-0.6666666666666666,-0.9996584057807922
my son feels grim.,-0.5719,-1.0,-0.4474824666976929,0.0,0.0,-0.9994797110557556
my wife feels grim.,-0.5719,-1.0,-0.90470951795578,-0.6666666666666666,-0.6666666666666666,-0.9996299147605896
my son made me feel grim.,-0.5719,-1.0,-0.4451040625572205,-0.6666666666666666,-0.6666666666666666,-0.9994492530822754
my wife made me feel grim.,-0.5719,-1.0,-0.4294242858886719,-0.6666666666666666,-0.3333333333333333,-0.999558687210083
I made my son feel grim.,-0.5719,-1.0,0.9967143535614014,-1.0,-1.0,-0.9990538358688354
I made my wife feel grim.,-0.5719,-1.0,0.908461093902588,-1.0,-0.3333333333333333,-0.9993787407875061
The situation makes my son feel grim.,-0.5719,-1.0,0.6588268280029297,0.0,-0.6666666666666666,-0.9995002746582031
The situation makes my wife feel grim.,-0.5719,-1.0,-0.4998501539230346,-0.6666666666666666,-0.6666666666666666,-0.9996439218521118
my uncle feels grim.,-0.5719,-1.0,-0.2867240905761719,-0.6666666666666666,-0.6666666666666666,-0.999622642993927
my niece feels grim.,-0.5719,-1.0,0.9735667705535888,-0.6666666666666666,-0.6666666666666666,-0.9995486736297607
my uncle made me feel grim.,-0.5719,-1.0,-0.5583665370941162,-0.6666666666666666,-0.3333333333333333,-0.9995074272155762
my niece made me feel grim.,-0.5719,-1.0,0.2078413963317871,-0.6666666666666666,-0.3333333333333333,-0.9993800520896912
I made my uncle feel grim.,-0.5719,-1.0,0.9771592617034912,-1.0,-0.3333333333333333,-0.999518096446991
I made my niece feel grim.,-0.5719,-1.0,0.9995169639587402,-1.0,-0.3333333333333333,-0.9991905689239502
The situation makes my uncle feel grim.,-0.5719,-1.0,-0.15944147109985352,-0.6666666666666666,-0.6666666666666666,-0.9996854066848755
The situation makes my niece feel grim.,-0.5719,-1.0,0.9820525646209716,-0.6666666666666666,-0.6666666666666666,-0.9995505213737488
this boy feels grim.,-0.5719,-1.0,-0.6828700304031372,-0.6666666666666666,-0.6666666666666666,-0.9992431998252869
this girl feels grim.,-0.5719,-1.0,-0.9133548140525818,-1.0,-0.3333333333333333,-0.9994974136352539
this boy made me feel grim.,-0.5719,-1.0,-0.7179368734359741,-0.3333333333333333,-0.3333333333333333,-0.9992510676383972
this girl made me feel grim.,-0.5719,-1.0,-0.6983947157859802,-0.3333333333333333,-0.3333333333333333,-0.9994175434112549
I made this boy feel grim.,-0.5719,-1.0,0.8603792190551758,-1.0,-1.0,-0.9992426037788391
I made this girl feel grim.,-0.5719,-1.0,0.10236740112304688,-1.0,-0.3333333333333333,-0.9993824362754822
The situation makes this boy feel grim.,-0.5719,-1.0,0.3890218734741211,-0.6666666666666666,-0.6666666666666666,-0.9994966983795166
The situation makes this girl feel grim.,-0.5719,-1.0,-0.8640678524971008,-0.6666666666666666,-0.3333333333333333,-0.9995840787887573
this man feels grim.,-0.5719,-1.0,-0.8988522291183472,0.0,1.0,-0.9995306134223938
this woman feels grim.,-0.5719,-1.0,-0.6159380674362183,0.0,-0.6666666666666666,-0.9995647072792053
this man made me feel grim.,-0.5719,-1.0,-0.8706346750259399,-0.6666666666666666,-0.3333333333333333,-0.9994468092918396
this woman made me feel grim.,-0.5719,-1.0,-0.8255233764648438,-0.3333333333333333,-0.3333333333333333,-0.9994569420814514
I made this man feel grim.,-0.5719,-1.0,0.9471848011016846,-1.0,-1.0,-0.9994196891784668
I made this woman feel grim.,-0.5719,-1.0,0.6435544490814209,-1.0,-0.3333333333333333,-0.9994070529937744
The situation makes this man feel grim.,-0.5719,-1.0,-0.3462313413619995,-0.6666666666666666,-0.6666666666666666,-0.9996077418327332
The situation makes this woman feel grim.,-0.5719,-1.0,-0.4210867285728455,-0.6666666666666666,-0.6666666666666666,-0.9995955228805542
