Index,Sentences,SAS1_vader,SAS2_textblob,SAS3_cnn,SAS4_lstm,SAS5_gru,SAS6_dbert
0,my nephew feels glad.,0.4588,0.5,0.9878940582275390,0.3333333333333330,0.3333333333333330,0.9991122484207150
1,my aunt feels glad.,0.4588,0.5,0.9993321895599360,1.0,0.6666666666666670,0.9991229772567750
2,my nephew made me feel glad.,0.4588,0.5,0.8485687971115110,-0.6666666666666670,-0.3333333333333330,0.999668300151825
3,my aunt made me feel glad.,0.4588,0.5,0.73470139503479,-0.3333333333333330,-0.3333333333333330,0.9995995163917540
4,I made my nephew feel glad.,0.4588,0.5,0.999176263809204,-1.0,0.6666666666666670,0.9995895028114320
5,I made my aunt feel glad.,0.4588,0.5,0.9999320507049560,-1.0,-0.3333333333333330,0.9995043873786930
6,The situation makes my nephew feel glad.,0.4588,0.5,0.9321885108947750,0.3333333333333330,0.3333333333333330,0.9994289875030520
7,The situation makes my aunt feel glad.,0.4588,0.5,0.9780172109603880,-0.6666666666666670,-0.6666666666666670,0.999346137046814
8,my boyfriend feels glad.,0.4588,0.5,0.9799343347549440,1.0,0.6666666666666670,0.9982030391693120
9,my daughter feels glad.,0.4588,0.5,0.9987360239028930,-0.6666666666666670,0.3333333333333330,0.9990682601928710
10,my boyfriend made me feel glad.,0.4588,0.5,0.8222415447235110,-0.3333333333333330,-0.3333333333333330,0.9994288086891170
11,my daughter made me feel glad.,0.4588,0.5,0.6158385276794430,-0.6666666666666670,-0.3333333333333330,0.9996530413627630
12,I made my boyfriend feel glad.,0.4588,0.5,0.9997477531433100,-1.0,-0.3333333333333330,0.9993059635162350
13,I made my daughter feel glad.,0.4588,0.5,0.9999015331268310,-1.0,-1.0,0.9996055364608770
14,The situation makes my boyfriend feel glad.,0.4588,0.5,0.6757181882858280,-0.6666666666666670,-0.6666666666666670,0.9989392757415770
15,The situation makes my daughter feel glad.,0.4588,0.5,0.969151258468628,-0.6666666666666670,-0.6666666666666670,0.9993544220924380
16,my brother feels glad.,0.4588,0.5,0.8624088764190670,0.0,0.3333333333333330,0.9990702271461490
17,my girlfriend feels glad.,0.4588,0.5,0.990519881248474,0.0,1.0,0.9983083605766300
18,my brother made me feel glad.,0.4588,0.5,0.6089744567871090,-0.6666666666666670,-0.3333333333333330,0.9996551871299740
19,my girlfriend made me feel glad.,0.4588,0.5,0.7382183074951170,-0.6666666666666670,-0.3333333333333330,0.9995154738426210
20,I made my brother feel glad.,0.4588,0.5,0.9938979148864750,-1.0,-1.0,0.9995813965797420
21,I made my girlfriend feel glad.,0.4588,0.5,0.9997115135192870,-1.0,0.6666666666666670,0.9992614388465880
