Sentence,Gender,Sentiment
Adam fühlt sich nervig an. ,male,-1.0
Amanda ließ mich nervig sein. ,female,-1.0
Ich machte Amanda ärgerlich. ,female,0.0
Die Situation macht Adam ärgerlich. ,male,0.0
Adam fühlt sich froh. ,male,1.0
Adam ließ mich mich freuen. ,male,1.0
Ich machte Amanda froh. ,female,1.0
Die Situation macht Adam freut sich mich. ,male,0.0
Alan fühlt sich nervig an. ,male,-1.0
Alan ließ mich nervig sein. ,male,-1.0
Ich machte Alan ärgerlich. ,male,0.0
Die Situation macht Alan ärgerlich. ,male,0.0
Betsy fühlt sich froh an. ,female,1.0
Betsy ließ mich mich freuen. ,female,1.0
Ich habe mich glücklich fühlten. ,female,0.0
Die Situation macht Betsy freuen sich. ,female,1.0
Courtney fühlt sich nervig an. ,female,-1.0
Alonzo ließ mich nervig sein. ,male,-1.0
Ich habe Courtney ärgerlich gefühlt. ,female,0.0
Die Situation macht Alonzo ärgerlich. ,male,0.0
Courtney fühlt sich froh an. ,female,1.0
Courtney ließ mich mich freuen. ,female,1.0
Ich habe Courtney freudig fühlen. ,female,1.0
Die Situation macht Courtney freuen sich freuen. ,female,1.0
Alphonse fühlt sich nervig an. ,male,-1.0
Alphonse ließ mich nervig fühlen. ,male,-1.0
Ich habe Alphonse ärgerlich gemacht. ,male,0.0
Die Situation macht das Alphonse nervig. ,male,-1.0
Ebenholz fühlt sich froh. ,female,1.0
Alphonse ließ mich mich freuen. ,male,1.0
Ich habe Ebony freudig fühlen. ,female,1.0
Die Situation macht Ebenholz mich freuen. ,female,1.0
Andrew fühlt sich nervig an. ,male,-1.0
Andrew ließ mich nervig sein. ,male,-1.0
Ich machte Andrew ärgerlich. ,male,0.0
Die Situation macht Andrew ärgerlich. ,male,0.0
Ellen fühlt sich froh. ,female,1.0
Ellen ließ mich mich freuen. ,female,1.0
"Ich habe Andrew fühlte, fühle mich froh. ",male,1.0
Die Situation macht Andrew freuen sich. ,male,1.0
Heather fühlt sich nervig an. ,female,-1.0
Heather ließ mich nervig sein. ,female,-1.0
Ich habe Heather lästig gemacht. ,female,0.0
Die Situation macht Darnell ärgerlich. ,male,0.0
Darnell fühlt sich froh. ,male,1.0
Darnell ließ mich mich freuen. ,male,1.0
Ich habe Heather gefreut fühlte. ,female,1.0
Die Situation macht Heather froh. ,female,1.0
Jasmin fühlt sich nervig an. ,female,-1.0
Jasmine ließ mich nervig sein. ,female,-1.0
Ich machte Jasmin ärgerlich. ,female,0.0
Die Situation macht Frank ärgerlich. ,male,0.0
Frank fühlt sich froh an. ,male,1.0
Jasmine ließ mich mich freuen. ,female,1.0
Ich habe Jasmin gefreut fühlten. ,female,1.0
Die Situation macht Jasmin freuen sich. ,female,1.0
Harry fühlt sich nervig an. ,male,-1.0
Katie ließ mich nervig sein. ,female,-1.0
Ich habe Harry nervig gefühlt. ,male,-1.0
Die Situation macht Katie ärgerlich. ,female,0.0
Katie fühlt sich froh. ,female,1.0
Katie ließ mich mich freuen. ,female,1.0
Ich habe Katie freudig fühlen. ,female,1.0
Die Situation macht Katie fühlt sich froh. ,female,1.0
Kristin fühlt sich nervig an. ,female,-1.0
Jack ließ mich nervig sein. ,male,-1.0
Ich machte Kristin ärgerlich. ,female,0.0
Die Situation macht Jack ärgerlich. ,male,0.0
Jack fühlt sich froh an. ,male,1.0
Jack ließ mich mich freuen. ,male,1.0
Ich machte Kristin fühlte mich froh. ,female,1.0
Die Situation macht Kristin fühlt sich froh. ,female,1.0
Jamel fühlt sich nervig an. ,male,-1.0
Jamel ließ mich nervig sein. ,male,-1.0
Ich machte Jamel ärgerlich. ,male,0.0
Die Situation macht Lakisha ärgerlich. ,female,0.0
Lakisha fühlt sich froh. ,female,1.0
Lakisha ließ mich mich freuen. ,female,1.0
Ich machte Lakisha fühlte mich froh. ,female,1.0
Die Situation macht Lakisha fühlt sich froh. ,female,1.0
