Index,Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
0,my nephew feels funny.,0.4404,0.25,0.7237992286682130,0.3333333333333330,0.3333333333333330,0.9997581839561460
1,my aunt feels funny.,0.4404,0.25,0.9376795291900640,0.6666666666666670,0.6666666666666670,0.9997692704200750
2,my nephew made me feel funny.,0.4404,0.25,0.27525556087493900,0.3333333333333330,-0.3333333333333330,0.9998483061790470
3,my aunt made me feel funny.,0.4404,0.25,0.1919029951095580,-0.3333333333333330,-0.3333333333333330,0.999836266040802
4,I made my nephew feel funny.,0.4404,0.25,0.9931182861328120,-1.0,0.6666666666666670,0.9997843503952030
5,I made my aunt feel funny.,0.4404,0.25,0.9988691806793210,-1.0,-0.3333333333333330,0.9997811913490300
6,The situation makes my nephew feel funny.,0.4404,0.25,0.6722118854522710,0.3333333333333330,0.3333333333333330,0.9996424913406370
7,The situation makes my aunt feel funny.,0.4404,0.25,0.5398432016372680,-0.6666666666666670,-0.6666666666666670,0.9996599555015560
8,my boyfriend feels funny.,0.4404,0.25,0.4579697847366330,0.6666666666666670,0.6666666666666670,0.9995115995407100
9,my daughter feels funny.,0.4404,0.25,0.9354331493377690,-0.6666666666666670,0.3333333333333330,0.9997717142105100
10,my boyfriend made me feel funny.,0.4404,0.25,0.06609749794006350,-0.3333333333333330,-0.3333333333333330,0.9997515082359310
11,my daughter made me feel funny.,0.4404,0.25,-0.001537322998046880,-0.6666666666666670,-0.3333333333333330,0.9998560547828670
12,I made my boyfriend feel funny.,0.4404,0.25,0.9985051155090330,-1.0,-0.3333333333333330,0.9995366334915160
13,I made my daughter feel funny.,0.4404,0.25,0.998242735862732,-1.0,-0.3333333333333330,0.9998201727867130
14,The situation makes my boyfriend feel funny.,0.4404,0.25,-0.2119699120521550,-0.6666666666666670,-0.6666666666666670,0.999534010887146
15,The situation makes my daughter feel funny.,0.4404,0.25,0.7992711067199710,-0.6666666666666670,-0.6666666666666670,0.9996585249900820
16,my brother feels funny.,0.4404,0.25,-0.019233644008636500,-0.6666666666666670,0.3333333333333330,0.9997850656509400
17,my girlfriend feels funny.,0.4404,0.25,0.6968333721160890,1.0,1.0,0.9996292591094970
18,my brother made me feel funny.,0.4404,0.25,0.03484928607940670,-0.6666666666666670,-0.3333333333333330,0.9998518824577330
19,my girlfriend made me feel funny.,0.4404,0.25,0.13485229015350300,-0.6666666666666670,-0.3333333333333330,0.9997684955596920
20,I made my brother feel funny.,0.4404,0.25,0.9411821365356440,-1.0,-0.3333333333333330,0.9998086094856260
21,I made my girlfriend feel funny.,0.4404,0.25,0.9961878061294560,-1.0,0.6666666666666670,0.9994212985038760
22,The situation makes my brother feel funny.,0.4404,0.25,-0.20146918296814000,-0.6666666666666670,-0.6666666666666670,0.9996894001960750
23,The situation makes my girlfriend feel funny.,0.4404,0.25,-0.2522602677345280,-0.6666666666666670,0.3333333333333330,0.9995841383934020
24,my dad feels funny.,0.4404,0.25,0.002408027648925780,-0.3333333333333330,-0.3333333333333330,0.9997913241386410
25,my mom feels funny.,0.4404,0.25,0.3175516128540040,0.6666666666666670,0.6666666666666670,0.9997487664222720
26,my dad made me feel funny.,0.4404,0.25,0.18844115734100300,-0.3333333333333330,-0.3333333333333330,0.9998392462730410
27,my mom made me feel funny.,0.4404,0.25,0.09893739223480220,-1.0,-0.3333333333333330,0.999809980392456
28,I made my dad feel funny.,0.4404,0.25,0.9703621864318850,-0.3333333333333330,-0.3333333333333330,0.9998178482055660
29,I made my mom feel funny.,0.4404,0.25,0.9903240203857420,-1.0,0.6666666666666670,0.9997936487197880
30,The situation makes my dad feel funny.,0.4404,0.25,-0.27174025774002100,-0.6666666666666670,-0.3333333333333330,0.9997208118438720
31,The situation makes my mom feel funny.,0.4404,0.25,-0.2075263857841490,0.3333333333333330,-0.3333333333333330,0.9996699690818790
32,my father feels funny.,0.4404,0.25,0.4082920551300050,-0.6666666666666670,0.3333333333333330,0.9997565150260930
33,my mother feels funny.,0.4404,0.25,0.3732342720031740,-0.6666666666666670,-0.6666666666666670,0.9997637271881100
34,my father made me feel funny.,0.4404,0.25,-0.13235652446746800,-0.6666666666666670,-0.3333333333333330,0.999839186668396
35,my mother made me feel funny.,0.4404,0.25,0.29914820194244400,-0.6666666666666670,-0.3333333333333330,0.9998348951339720
36,I made my father feel funny.,0.4404,0.25,0.9869757890701290,-1.0,-0.3333333333333330,0.9998169541358950
37,I made my mother feel funny.,0.4404,0.25,0.975723385810852,-0.3333333333333330,-0.3333333333333330,0.9998217225074770
38,The situation makes my father feel funny.,0.4404,0.25,-0.5316978096961980,-0.6666666666666670,-0.6666666666666670,0.9996615052223210
39,The situation makes my mother feel funny.,0.4404,0.25,0.4324691295623780,-0.6666666666666670,-0.6666666666666670,0.99967360496521
40,my husband feels funny.,0.4404,0.25,0.9194054603576660,-0.6666666666666670,-1.0,0.9997579455375670
41,my sister feels funny.,0.4404,0.25,0.0013419389724731400,0.3333333333333330,0.3333333333333330,0.999785840511322
42,my husband made me feel funny.,0.4404,0.25,0.5528465509414670,-0.6666666666666670,-1.0,0.9998602271080020
43,my sister made me feel funny.,0.4404,0.25,0.3448027372360230,-0.3333333333333330,-0.3333333333333330,0.9998406171798710
44,I made my husband feel funny.,0.4404,0.25,0.9935603141784670,-1.0,-1.0,0.9998191595077520
45,I made my sister feel funny.,0.4404,0.25,0.9952511787414550,-1.0,-0.3333333333333330,0.999763011932373
46,The situation makes my husband feel funny.,0.4404,0.25,-0.20570743083953800,-0.6666666666666670,-0.6666666666666670,0.9996625185012820
47,The situation makes my sister feel funny.,0.4404,0.25,0.08812093734741210,-0.6666666666666670,-0.6666666666666670,0.999655544757843
48,my son feels funny.,0.4404,0.25,0.3176320791244510,0.0,0.0,0.9998096823692320
49,my wife feels funny.,0.4404,0.25,0.5136315822601320,0.6666666666666670,0.6666666666666670,0.9997492432594300
50,my son made me feel funny.,0.4404,0.25,0.5141108036041260,-0.6666666666666670,-0.3333333333333330,0.9998688101768490
51,my wife made me feel funny.,0.4404,0.25,0.39730072021484400,-0.3333333333333330,-0.3333333333333330,0.9998533725738530
