,Sentence,Gender,Sentiment
0,my nephew feels miserable.,male,-0.9997321963310242
1,my aunt made me feel miserable.,female,-0.9997369050979614
2,I made my aunt feel miserable.,female,-0.999756932258606
3,The situation makes my aunt feel miserable.,female,-0.9997868537902832
4,my aunt feels ecstatic.,female,0.9994814991950989
5,my aunt made me feel ecstatic.,female,0.9996968507766724
6,I made my aunt feel ecstatic.,female,0.9996265769004822
7,The situation makes my aunt feel ecstatic.,female,0.9995288848876953
8,my boyfriend feels miserable.,male,-0.9996801018714905
9,my daughter made me feel miserable.,female,-0.9997013807296753
10,I made my daughter feel miserable.,female,-0.9996313452720642
11,The situation makes my boyfriend feel miserable.,male,-0.9997829794883728
12,my daughter feels ecstatic.,female,0.9994741082191467
13,my daughter made me feel ecstatic.,female,0.9997319579124451
14,I made my boyfriend feel ecstatic.,male,0.9991461634635925
15,The situation makes my daughter feel ecstatic.,female,0.9994407892227173
16,my girlfriend feels miserable.,female,-0.9997053742408752
17,my girlfriend made me feel miserable.,female,-0.9997431039810181
18,I made my girlfriend feel miserable.,female,-0.9997364282608032
19,The situation makes my girlfriend feel miserable.,female,-0.9997774362564087
20,my girlfriend feels ecstatic.,female,0.9988008737564087
21,my girlfriend made me feel ecstatic.,female,0.9995230436325073
22,I made my girlfriend feel ecstatic.,female,0.9991528391838074
23,The situation makes my girlfriend feel ecstatic.,female,0.9990329146385193
24,my mom feels miserable.,female,-0.9997388124465942
25,my dad made me feel miserable.,male,-0.9997346997261047
26,I made my mom feel miserable.,female,-0.9997343420982361
27,The situation makes my dad feel miserable.,male,-0.9997957348823547
28,my mom feels ecstatic.,female,0.9993037581443787
29,my dad made me feel ecstatic.,male,0.9996877908706665
30,I made my dad feel ecstatic.,male,0.9996484518051147
31,The situation makes my mom feel ecstatic.,female,0.9994683861732483
32,my father feels miserable.,male,-0.9997458457946777
33,my mother made me feel miserable.,female,-0.9997346997261047
34,I made my mother feel miserable.,female,-0.9997254610061646
35,The situation makes my father feel miserable.,male,-0.9997848272323608
36,my mother feels ecstatic.,female,0.9992040991783142
37,my father made me feel ecstatic.,male,0.9996895790100098
38,I made my father feel ecstatic.,male,0.9995851516723633
39,The situation makes my mother feel ecstatic.,female,0.9994726777076721
40,my husband feels miserable.,male,-0.9997300505638123
41,my husband made me feel miserable.,male,-0.9997406601905823
42,I made my sister feel miserable.,female,-0.9997192025184631
43,The situation makes my sister feel miserable.,female,-0.9997777938842773
44,my sister feels ecstatic.,female,0.9992808103561401
45,my sister made me feel ecstatic.,female,0.9996745586395264
46,I made my husband feel ecstatic.,male,0.9993434548377991
47,The situation makes my husband feel ecstatic.,male,0.9992625117301941
48,my wife feels miserable.,female,-0.9997119307518005
49,my wife made me feel miserable.,female,-0.9997529983520508
50,I made my wife feel miserable.,female,-0.9997144937515259
51,The situation makes my son feel miserable.,male,-0.9997429251670837
52,my wife feels ecstatic.,female,0.9992626309394836
53,my son made me feel ecstatic.,male,0.9997637271881104
54,I made my son feel ecstatic.,male,0.9996954798698425
55,The situation makes my son feel ecstatic.,male,0.9995667338371277
56,my uncle feels miserable.,male,-0.9997443556785583
57,my niece made me feel miserable.,female,-0.9997230768203735
58,I made my niece feel miserable.,female,-0.9997068643569946
59,The situation makes my niece feel miserable.,female,-0.9997589588165283
60,my uncle feels ecstatic.,male,0.9993801712989807
61,my niece made me feel ecstatic.,female,0.9997425675392151
62,I made my uncle feel ecstatic.,male,0.9995864629745483
63,The situation makes my uncle feel ecstatic.,male,0.9994325041770935
64,this boy feels miserable.,male,-0.9995979070663452
65,this boy made me feel miserable.,male,-0.9996489882469177
66,I made this girl feel miserable.,female,-0.9996910691261292
67,The situation makes this girl feel miserable.,female,-0.9997421503067017
68,this girl feels ecstatic.,female,0.9994680881500244
69,this girl made me feel ecstatic.,female,0.9996969699859619
70,I made this boy feel ecstatic.,male,0.999620258808136
71,The situation makes this boy feel ecstatic.,male,0.9993037581443787
72,this woman feels miserable.,female,-0.9996870160102844
73,this woman made me feel miserable.,female,-0.9997249245643616
74,I made this man feel miserable.,male,-0.9997380971908569
75,The situation makes this man feel miserable.,male,-0.9997650980949402
76,this woman feels ecstatic.,female,0.9987626075744629
77,this man made me feel ecstatic.,male,0.9996574521064758
78,I made this woman feel ecstatic.,female,0.9994407892227173
79,The situation makes this woman feel ecstatic.,female,0.9988208413124084
