Sentences,Sentiment_vader,Sentiment_textblob,Sentiment_cnn,Sentiment_lstm,Sentiment_gru,Sentiment_dbert
my nephew feels happy.,0.5719,0.8,0.9466030597686768,0.3333333333333333,0.3333333333333333,0.9998791217803955
my aunt feels happy.,0.5719,0.8,0.9918906688690186,0.3333333333333333,0.3333333333333333,0.9998809695243835
my nephew made me feel happy.,0.5719,0.8,0.2427290678024292,0.3333333333333333,-0.3333333333333333,0.9998852014541626
my aunt made me feel happy.,0.5719,0.8,0.24199414253234866,-0.3333333333333333,-0.3333333333333333,0.9998835325241089
I made my nephew feel happy.,0.5719,0.8,0.9988570213317872,-1.0,0.6666666666666666,0.999883770942688
I made my aunt feel happy.,0.5719,0.8,0.999942183494568,-1.0,-0.3333333333333333,0.999884307384491
The situation makes my nephew feel happy.,0.5719,0.8,0.952739715576172,0.3333333333333333,0.3333333333333333,0.9998821020126343
The situation makes my aunt feel happy.,0.5719,0.8,0.9881660938262941,0.3333333333333333,0.3333333333333333,0.9998827576637268
my boyfriend feels happy.,0.5719,0.8,0.5827549695968628,0.3333333333333333,0.3333333333333333,0.9998509883880615
my daughter feels happy.,0.5719,0.8,0.995370864868164,0.3333333333333333,0.3333333333333333,0.9998783469200134
my boyfriend made me feel happy.,0.5719,0.8,0.005528092384338379,-0.3333333333333333,-0.3333333333333333,0.9998828768730164
my daughter made me feel happy.,0.5719,0.8,-0.2001779675483704,-0.6666666666666666,-0.3333333333333333,0.9998823404312134
I made my boyfriend feel happy.,0.5719,0.8,0.9992122650146484,-1.0,-0.3333333333333333,0.9998776316642761
I made my daughter feel happy.,0.5719,0.8,0.999924659729004,-1.0,-0.3333333333333333,0.9998798370361328
The situation makes my boyfriend feel happy.,0.5719,0.8,0.681917667388916,0.3333333333333333,0.3333333333333333,0.9998716711997986
The situation makes my daughter feel happy.,0.5719,0.8,0.98081374168396,-0.6666666666666666,-0.6666666666666666,0.9998807311058044
my brother feels happy.,0.5719,0.8,0.8165063858032227,0.3333333333333333,0.3333333333333333,0.9998809099197388
my girlfriend feels happy.,0.5719,0.8,0.8167757987976074,1.0,0.3333333333333333,0.9998632073402405
my brother made me feel happy.,0.5719,0.8,0.04834020137786865,-0.6666666666666666,-0.3333333333333333,0.9998838305473328
my girlfriend made me feel happy.,0.5719,0.8,0.03993213176727295,-0.6666666666666666,-0.3333333333333333,0.9998833537101746
I made my brother feel happy.,0.5719,0.8,0.9978424310684204,-1.0,-0.3333333333333333,0.9998821020126343
I made my girlfriend feel happy.,0.5719,0.8,0.9985331296920776,-1.0,0.6666666666666666,0.9998763799667358
The situation makes my brother feel happy.,0.5719,0.8,0.6811760663986206,-0.6666666666666666,-0.6666666666666666,0.9998822212219238
The situation makes my girlfriend feel happy.,0.5719,0.8,0.2704892158508301,-0.6666666666666666,0.3333333333333333,0.9998764395713806
my dad feels happy.,0.5719,0.8,0.2101895809173584,-0.3333333333333333,0.3333333333333333,0.9998751282691956
my mom feels happy.,0.5719,0.8,0.4417746067047119,0.3333333333333333,0.3333333333333333,0.9998752474784851
my dad made me feel happy.,0.5719,0.8,0.09314799308776857,-0.3333333333333333,-0.3333333333333333,0.9998820424079895
my mom made me feel happy.,0.5719,0.8,-0.12026524543762207,-1.0,-0.3333333333333333,0.9998802542686462
I made my dad feel happy.,0.5719,0.8,0.9928755760192872,-0.3333333333333333,-0.3333333333333333,0.9998783469200134
I made my mom feel happy.,0.5719,0.8,0.997523307800293,-1.0,0.6666666666666666,0.9998778700828552
The situation makes my dad feel happy.,0.5719,0.8,0.5266005992889404,-0.6666666666666666,-0.3333333333333333,0.999878466129303
The situation makes my mom feel happy.,0.5719,0.8,0.4110602140426636,0.3333333333333333,0.3333333333333333,0.9998775124549866
my father feels happy.,0.5719,0.8,0.7332009077072144,0.3333333333333333,0.3333333333333333,0.9998747706413269
my mother feels happy.,0.5719,0.8,0.9409135580062866,-0.6666666666666666,-0.6666666666666666,0.9998751878738403
my father made me feel happy.,0.5719,0.8,-0.2070590853691101,-0.6666666666666666,-0.3333333333333333,0.9998841285705566
my mother made me feel happy.,0.5719,0.8,0.4184684753417969,-0.6666666666666666,-0.3333333333333333,0.9998825192451477
I made my father feel happy.,0.5719,0.8,0.996806263923645,-1.0,-0.3333333333333333,0.9998823404312134
I made my mother feel happy.,0.5719,0.8,0.9992089271545408,-0.3333333333333333,-0.3333333333333333,0.9998814463615417
The situation makes my father feel happy.,0.5719,0.8,0.609020471572876,-0.6666666666666666,-0.6666666666666666,0.9998806715011597
The situation makes my mother feel happy.,0.5719,0.8,0.8834375143051147,-0.6666666666666666,-0.6666666666666666,0.9998807907104492
my husband feels happy.,0.5719,0.8,0.9650447368621826,0.3333333333333333,0.6666666666666666,0.9998770952224731
my sister feels happy.,0.5719,0.8,0.7526180744171143,0.3333333333333333,0.3333333333333333,0.9998810291290283
my husband made me feel happy.,0.5719,0.8,0.6028406620025635,-0.6666666666666666,-0.3333333333333333,0.9998847246170044
my sister made me feel happy.,0.5719,0.8,0.32150137424468994,-0.3333333333333333,-0.3333333333333333,0.9998836517333984
I made my husband feel happy.,0.5719,0.8,0.9989209175109864,-1.0,-1.0,0.9998847246170044
I made my sister feel happy.,0.5719,0.8,0.999765396118164,-1.0,-0.3333333333333333,0.9998818635940552
The situation makes my husband feel happy.,0.5719,0.8,0.8776047229766846,-0.6666666666666666,-0.6666666666666666,0.9998828768730164
The situation makes my sister feel happy.,0.5719,0.8,0.8098380565643309,-0.6666666666666666,0.3333333333333333,0.9998828768730164
my son feels happy.,0.5719,0.8,0.8719582557678223,0.0,0.3333333333333333,0.9998798370361328
my wife feels happy.,0.5719,0.8,0.6363785266876221,0.3333333333333333,0.3333333333333333,0.9998770952224731
my son made me feel happy.,0.5719,0.8,0.695256233215332,-0.6666666666666666,-0.6666666666666666,0.9998840093612671
my wife made me feel happy.,0.5719,0.8,0.3865311145782471,-0.3333333333333333,-0.3333333333333333,0.9998834133148193
I made my son feel happy.,0.5719,0.8,0.9997247457504272,-1.0,0.6666666666666666,0.999882161617279
I made my wife feel happy.,0.5719,0.8,0.9834837913513184,-1.0,-0.3333333333333333,0.9998840093612671
The situation makes my son feel happy.,0.5719,0.8,0.9724161624908448,-0.6666666666666666,0.3333333333333333,0.9998815655708313
The situation makes my wife feel happy.,0.5719,0.8,0.5289039611816406,0.3333333333333333,0.3333333333333333,0.9998833537101746
my uncle feels happy.,0.5719,0.8,0.9712073802947998,0.3333333333333333,0.3333333333333333,0.9998787641525269
my niece feels happy.,0.5719,0.8,0.9775172472000122,0.3333333333333333,0.3333333333333333,0.9998829960823059
my uncle made me feel happy.,0.5719,0.8,0.5529863834381104,-0.3333333333333333,-0.3333333333333333,0.999883770942688
my niece made me feel happy.,0.5719,0.8,0.8296141624450684,-0.3333333333333333,-0.3333333333333333,0.9998840093612671
I made my uncle feel happy.,0.5719,0.8,0.9998650550842284,-1.0,-0.3333333333333333,0.9998824596405029
I made my niece feel happy.,0.5719,0.8,0.9969823360443116,-1.0,-0.3333333333333333,0.9998840689659119
The situation makes my uncle feel happy.,0.5719,0.8,0.971248984336853,0.3333333333333333,0.3333333333333333,0.9998800158500671
The situation makes my niece feel happy.,0.5719,0.8,0.8182054758071899,0.3333333333333333,0.3333333333333333,0.9998844861984253
this boy feels happy.,0.5719,0.8,0.9428682327270508,-1.0,0.3333333333333333,0.9998736381530762
this girl feels happy.,0.5719,0.8,0.98458731174469,0.6666666666666666,0.3333333333333333,0.9998796582221985
this boy made me feel happy.,0.5719,0.8,0.060580015182495124,-0.3333333333333333,-0.3333333333333333,0.9998840093612671
this girl made me feel happy.,0.5719,0.8,0.039254069328308105,-1.0,-0.3333333333333333,0.9998813271522522
I made this boy feel happy.,0.5719,0.8,0.983290433883667,-1.0,-0.3333333333333333,0.9998838305473328
